19348;Anthipes;solitaris;Rufous-browed Flycatcher;;Craig Robson;Vietnam;Tuyen Lam;11.83333;108.61667;song
26303;Anthipes;solitaris;Rufous-browed Flycatcher;;David Edwards;Vietnam;Deo Nui San;11.588342;108.104095;song
26304;Anthipes;solitaris;Rufous-browed Flycatcher;;David Edwards;Vietnam;Deo Nui San;11.588342;108.104095;song
33349;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Mike Catsis;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song
39366;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls
39509;Anthipes;solitaris;Rufous-browed Flycatcher;solitaris;Brian Cox;Indonesia;Danau Ranau, Bukit Barisan Selatan NP, Lampung, Sumatra;-4.9667;103.8501;song
65497;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Sander Pieterse;Malaysia;Gunung Berembun, Cameron Highlands, Pahang;;;song
65498;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Sander Pieterse;Malaysia;Gunung Berembun, Cameron Highlands, Pahang;;;song
68319;Anthipes;solitaris;Rufous-browed Flycatcher;;Frank Lambert;Malaysia;Selangor. Fraser's Hill;3.712;101.728;calls
68320;Anthipes;solitaris;Rufous-browed Flycatcher;;Frank Lambert;Indonesia;Sumatra;-4.9;105.7;song
88518;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7117;101.7364;song
88519;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7117;101.7364;song
88520;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7117;101.7364;song
90809;Anthipes;solitaris;Rufous-browed Flycatcher;;Fabian Ducry  and  David Marques;Indonesia;Tapan Road, West Sumatra, Sumatra;-2.0498;101.3073;song
90899;Anthipes;solitaris;Rufous-browed Flycatcher;;Fabian Ducry  and  David Marques;Indonesia;Way Titias, Bukit Barisan Selatan NP, Lampung, Sumatra;-5.0684;104.0256;song
90917;Anthipes;solitaris;Rufous-browed Flycatcher;;Fabian Ducry  and  David Marques;Indonesia;Danau Ranau, Bukit Barisan Selatan NP, Lampung, Sumatra;-4.9667;103.8501;song
90928;Anthipes;solitaris;Rufous-browed Flycatcher;;Fabian Ducry  and  David Marques;Indonesia;Danau Ranau, Bukit Barisan Selatan NP, Lampung, Sumatra;-4.9667;103.8501;song
90938;Anthipes;solitaris;Rufous-browed Flycatcher;;Fabian Ducry  and  David Marques;Indonesia;Danau Ranau, Bukit Barisan Selatan NP, Lampung, Sumatra;-4.9667;103.8501;song
96665;Anthipes;solitaris;Rufous-browed Flycatcher;malayana;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song
