5546;Arremon;castaneiceps;Olive Finch;;Nick Athanas;Peru;Lower Manu Road, Cuzco;-13.0262;-71.4995;call
5547;Arremon;castaneiceps;Olive Finch;;Nick Athanas;Ecuador;Parque Nacional Podocarpus, sector Rio Bombuscaro, Zamora-Chinchipe;-4.1139;-78.9637;song
10422;Arremon;castaneiceps;Olive Finch;;Wouter Halfwerk;Ecuador;Mindo, Pichincha;-0.0523;-78.7764;song
10980;Arremon;castaneiceps;Olive Finch;;Alejo Mendoza, Diana Moncayo;Colombia;Reserva Rio Ñambi, Barbacoas, Nariño;;;song
17337;Arremon;castaneiceps;Olive Finch;;Andrew Spencer;Ecuador;Cascada de San Rafael, Napo;-0.1028;-77.5839;song
40019;Arremon;castaneiceps;Olive Finch;;Niels Krabbe;Ecuador;Napo Galeras;-0.8334;-77.5667;song after playback
57997;Arremon;castaneiceps;Olive Finch;;Charlie Vogt;Ecuador;Mashpi Road, Pichincha;0.1612;-78.8492;song
59418;Arremon;castaneiceps;Olive Finch;;Andrew Spencer;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;song
59419;Arremon;castaneiceps;Olive Finch;;Andrew Spencer;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;call
67659;Arremon;castaneiceps;Olive Finch;;Frank Lambert;Colombia;Narino. El Pangan Nature Reserve, near Junin;1.32;-78.11;song
67660;Arremon;castaneiceps;Olive Finch;;Frank Lambert;Colombia;Narino. El Pangan Nature Reserve, near Junin;1.32;-78.11;song
76323;Arremon;castaneiceps;Olive Finch;;Ian Davies;Ecuador;La Guatemala, along the Rio Zuñag, Tungurahua;-1.4009;-78.187;Song
