11219;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Doug Knapp;Colombia;Bogota, Quebrada la Vieja;4.6231;-74.0562;Song
12456;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, Sector monteredonde;4.5167;-73.7501;song
12457;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, Sector monteredonde;4.5167;-73.7501;song
12466;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, Sector monteredonde;4.5167;-73.7501;calls
12549;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, sector Palacio;4.5167;-73.7501;calls
12568;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, sector Palacio;4.5167;-73.7501;calls
12569;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, sector Palacio;4.5167;-73.7501;song
12570;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oscar Laverde;Colombia;PNN Chingaza, sector Palacio;4.5167;-73.7501;song
14522;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;song
20436;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;songs
20437;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;songs
28625;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;Song
36395;Atlapetes;pallidinucha;Pale-naped Brush Finch;papallactae;Charlie Vogt;Ecuador;Lagunillas 42 km W of Zumba, Loja;;;call
38437;Atlapetes;pallidinucha;Pale-naped Brush Finch;papallactae;Charlie Vogt;Ecuador;Guango lodge, Napo;-0.3862;-78.5956;song
38768;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Frank Lambert;Ecuador;Reserva Tapichalaca, Valladolid, Zamora-Chinchipe;-4.4959;-79.1323;calls
41457;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Oswaldo Cortes;Colombia;Aurora Alta_Bogota;;;songs
53655;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Finca Buenos Aires, vereda Cocora (Quebrada Cardenas), Quindio;;;Call
55354;Atlapetes;pallidinucha;Pale-naped Brush Finch;gutturalis;Bernabe Lopez-Lanus;Colombia;Reserva La Serrana (Vereda La Serrana), Anori, Antioquia;;;Call
57329;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57330;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57331;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57332;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57333;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57334;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
57335;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Bernabe Lopez-Lanus;Colombia;Reserva Iguaque (SFF), Villa de Leyva, Boyaca;;;Song
67671;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Frank Lambert;Ecuador;Podocarpus National Park;-4.3;-79;song
76290;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Ian Davies;Ecuador;Morona-Santiago: upper Gualaceo-Limón road;-3.0334;-78.6001;Song
76325;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Ian Davies;Ecuador;Gualaceo-Limon Rd;-2.83;-79.21;Song
76326;Atlapetes;pallidinucha;Pale-naped Brush Finch;;Ian Davies;Ecuador;Morona-Santiago: upper Gualaceo-Limón road;-3.0334;-78.6001;Song
84236;Atlapetes;pallidinucha;Pale-naped Brush Finch;pallidinucha;Andrew Spencer;Colombia;Parque Nacional Natural Chingaza, Cundinamarca;4.747;-73.8559;song
84268;Atlapetes;pallidinucha;Pale-naped Brush Finch;pallidinucha;Andrew Spencer;Colombia;RNA El Colibrí del Sol, Páramo de Frontino, Antioquia;6.4381;-76.0884;song
