12407;Bangsia;edwardsi;Moss-backed Tanager;;Oscar Laverde;Colombia;Barbacoas, RN El Pangan, Narino;1.3501;-78.2001;song
12414;Bangsia;edwardsi;Moss-backed Tanager;;Oscar Laverde;Colombia;Barbacoas, RN El Pangan, Narino;1.3501;-78.2001;song
13075;Bangsia;edwardsi;Moss-backed Tanager;;Roger Ahlman;Ecuador;Milpe, Pichincha;0.0287;-78.8628;song
13266;Bangsia;edwardsi;Moss-backed Tanager;;Nick Athanas;Ecuador;Cristal, Esmeraldas;0.8237;-78.5139;song?
13267;Bangsia;edwardsi;Moss-backed Tanager;;Nick Athanas;Ecuador;Cristal, Esmeraldas;0.8237;-78.5139;call
17524;Bangsia;edwardsi;Moss-backed Tanager;;Andrew Spencer;Ecuador;Cristal, Esmeraldas;0.8237;-78.5139;song?
37666;Bangsia;edwardsi;Moss-backed Tanager;;Dušan M. Brinkhuizen;Ecuador;Mashpi Reserve turnoff, 9km past La Delicia, Pichincha;;;call
37667;Bangsia;edwardsi;Moss-backed Tanager;;Dušan M. Brinkhuizen;Ecuador;Mashpi Reserve turnoff, 9km past La Delicia, Pichincha;;;call
62195;Bangsia;edwardsi;Moss-backed Tanager;;Andrew Spencer;Ecuador;Mashpi Road, Pichincha;0.1612;-78.8492;song
67687;Bangsia;edwardsi;Moss-backed Tanager;;Frank Lambert;Colombia;Narino. El Pangan Nature Reserve, near Junin;1.32;-78.11;song
74750;Bangsia;edwardsi;Moss-backed Tanager;;Daniel Lane;Ecuador;2.7km E Alto Tambo, Esmeraldas;0.892;-78.533;song
