1553;Basileuterus;signatus;Pale-legged Warbler;;Sjoerd Mayer;Bolivia;Cerro Bufete, Chuquisaca;-20.834;-64.334;Calls
1558;Basileuterus;signatus;Pale-legged Warbler;;Sjoerd Mayer;Bolivia;Cerro Campanarios, Chuquisaca;-20.8001;-64.4834;Songs, (alarm) calls
3418;Basileuterus;signatus;Pale-legged Warbler;;Sebastian K. Herzog;Bolivia;Old rd Cochabamba - V. Tunari, Camp 2. Carrasco NP, Cochabamba;-17.1667;-65.5834;Song. Calls.
4800;Basileuterus;signatus;Pale-legged Warbler;;Aidan Maccormick;Bolivia;Alarachi, Tarija;-22.1883333333333;-64.6041666666667;Song
4801;Basileuterus;signatus;Pale-legged Warbler;;Aidan Maccormick;Bolivia;Alarachi, Tarija;-22.1883333333333;-64.6041666666667;Song
7961;Basileuterus;signatus;Pale-legged Warbler;signatus;Nick Athanas;Peru;Manu road between Pillahuata and San Pedro, Cusco;-13.1234;-71.5678;song
10969;Basileuterus;signatus;Pale-legged Warbler;;Charles Hesse;Peru;Pillahuata, Manu Road;-13.1681;-71.6076;
10985;Basileuterus;signatus;Pale-legged Warbler;;Charles Hesse;Peru;Suiza, Manu Road;;;Song
11907;Basileuterus;signatus;Pale-legged Warbler;;Frank Lambert;Peru;Manu Road below San Pedro;-13.0242;-71.4728;song and calls
11911;Basileuterus;signatus;Pale-legged Warbler;;Frank Lambert;Peru;Manu Road below Pillahuata;-13.0242;-71.4728;song
16191;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Bolivia;1 km ne. Saila Pata. Ayopaya range (Cochabamba);-16.9167;-66.9501;Song Calls
22806;Basileuterus;signatus;Pale-legged Warbler;;David Geale;Peru;Capiri, Marcapata, Cusco;-13.4151;-70.9167;call
23633;Basileuterus;signatus;Pale-legged Warbler;signatus;Barros/Schmitt;Peru;Chucho Acha;-11.7948;-74.7756;?
23634;Basileuterus;signatus;Pale-legged Warbler;signatus;Barros/Schmitt;Peru;Acobamba 11°46'S - 74°47'W, Huancayo;-11.7667;-74.7834;song
23635;Basileuterus;signatus;Pale-legged Warbler;signatus;Barros/Schmitt;Peru;Acobamba 11°46'S - 74°47'W, Huancayo;-11.7667;-74.7834;song
32438;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Argentina;Jujuy: PN Calilegua, monolith;-23.6834;-64.9001;song and call
32439;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Argentina;Jujuy: PN Calilegua;-23.6834;-64.8834;song
32440;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Argentina;Jujuy: PN Calilegua;-23.6834;-64.8834;song and calls of group
32441;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Argentina;Jujuy: PN Calilegua;-23.6834;-64.8834;call
32442;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Argentina;Jujuy: 4 km WNW monolith in PN Calilegua;-23.6667;-64.9334;call and song
32443;Basileuterus;signatus;Pale-legged Warbler;;Niels Krabbe;Argentina;Jujuy: 4 km WNW monolith in PN Calilegua;-23.6667;-64.9334;song and call
35356;Basileuterus;signatus;Pale-legged Warbler;flavovirens;David Geale;Peru;Wayqechas, Manu Road, Cusco;-13.1745;-71.5878;Song  and  Calls
45802;Basileuterus;signatus;Pale-legged Warbler;;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;calls and song
45803;Basileuterus;signatus;Pale-legged Warbler;;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;calls and song
47318;Basileuterus;signatus;Pale-legged Warbler;flavovirens;Niels Krabbe;Bolivia;near Chuspipata, La Paz;-16.3001;-67.8001;calls of excited group
47319;Basileuterus;signatus;Pale-legged Warbler;flavovirens;Niels Krabbe;Bolivia;Sayani, Zongo Valley, La Paz;-16.1334;-68.1001;duet
48505;Basileuterus;signatus;Pale-legged Warbler;flavovirens;Mike Nelson;Argentina;Calilegua NP, Jujuy;-23.5834;-64.9001;Song
54104;Basileuterus;signatus;Pale-legged Warbler;;Fabricio Gorleri;Argentina;PN Calilegua, Ledesma, Jujuy;;;song
61778;Basileuterus;signatus;Pale-legged Warbler;;Sofia Wasylyk;Argentina;PN Calilegua, El Monolito, Jujuy;;;song
65600;Basileuterus;signatus;Pale-legged Warbler;;Daniel Lane;Peru;Above Pariahuanca, Junin dept.;-12.026;-74.849;song
65601;Basileuterus;signatus;Pale-legged Warbler;;Daniel Lane;Bolivia;'Siberia' NE of Empalme, Santa Cruz dept.;-17.82;-64.678;song, calls
73218;Basileuterus;signatus;Pale-legged Warbler;;Joseph Tobias and Nathalie Seddon;Bolivia;Apa-Apa, La Paz, BO;-16.35211111;-67.50783333;song
73219;Basileuterus;signatus;Pale-legged Warbler;;Joseph Tobias and Nathalie Seddon;Bolivia;Apa-Apa, La Paz, BO;-16.35211111;-67.50783333;song
92329;Basileuterus;signatus;Pale-legged Warbler;;M Villegas, T Molin;Peru;Machu Picchu, Cuzco;-13.167;-72.5;Song
82773;Basileuterus;signatus;Pale-legged Warbler;;David Geale;Peru;Abra Marancunca, Puno;-14.2092;-69.2189;Song and call
83460;Basileuterus;signatus;Pale-legged Warbler;;David Geale;Peru;Ttio, Araza Valley, Cusco;;;Song
90488;Basileuterus;signatus;Pale-legged Warbler;;Glauco Kohler;Peru;Aguas Calientes, Cuzco;-13.152;-72.5348;song
