19355;Bradypterus;seebohmi;Benguet Bush Warbler;;Craig Robson;Vietnam;Cong Troi, South Annam;;;song
19845;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;David Farrow;Thailand;Doi Ang Khang;19.8;98.98333;
23074;Bradypterus;seebohmi;Benguet Bush Warbler;seebohmi;George Wagner;Philippines;Mount Polis, Luzon;16.97472;121.02917;song
35925;Bradypterus;seebohmi;Benguet Bush Warbler;montis;Frank Lambert;Indonesia;Mount Bromo, East Java;-7.9431;112.9539;song
35926;Bradypterus;seebohmi;Benguet Bush Warbler;montis;Frank Lambert;Indonesia;Mount Bromo, East Java;-7.9431;112.9539;song
36858;Bradypterus;seebohmi;Benguet Bush Warbler;montis;Bas van Balen;Indonesia;Mt Merapi, Java;-7.5559;110.4451;
39423;Bradypterus;seebohmi;Benguet Bush Warbler;;Paul Noakes;Philippines;Bay Yo, Mt Polis, Luzon;17.00583;121.01722;
42386;Bradypterus;seebohmi;Benguet Bush Warbler;montis;George Wagner;Indonesia;Ijen, East Java;-8.0739;114.2237;Song
42387;Bradypterus;seebohmi;Benguet Bush Warbler;montis;George Wagner;Indonesia;Ijen, East Java;-8.0739;114.2237;Song
67755;Bradypterus;seebohmi;Benguet Bush Warbler;;Frank Lambert;Philippines;Luzon. Mt. Polis;16.97;121.03;song
79118;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;song
79119;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;song
79120;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;song
79121;Bradypterus;seebohmi;Benguet Bush Warbler;mandelli;Frank Lambert;India;Mandala Pass, Arunachal Pradesh;27.2828;92.2639;song
79260;Bradypterus;seebohmi;Benguet Bush Warbler;;Desmond Allen;Philippines;Bayyo, Mountain Province, Luzon;;;call
81232;Bradypterus;seebohmi;Benguet Bush Warbler;Bradypterus mandelli presumably ssp melanorhynchus;Aurélien Audevard TRAGOPAN;China;Hunan province Hu Ping Shan;30.112;110.797;song
81233;Bradypterus;seebohmi;Benguet Bush Warbler;Bradypterus mandelli ssp melanorhynchus;Jonathan Martinez;China;Guangxi province, Yizhou, Beishanzhen, Shanli;24.316;108.519;song
