8349;Caryothraustes;poliogaster;Black-faced Grosbeak;;Ken Allaire;Panama;Altos del Maria, Panama;8.662488;-80.03128;song
1868;Caryothraustes;poliogaster;Black-faced Grosbeak;;Don Jones;Belize;Logger Trail, Chan Chich;17.348;-89.0277;song
11178;Caryothraustes;poliogaster;Black-faced Grosbeak;;Tom Will;Nicaragua;La Bodega;11.8006;-83.8284;song
18643;Caryothraustes;poliogaster;Black-faced Grosbeak;;Ken Allaire;Panama;Altos del Maria, Panama;8.662488;-80.03128;call
28301;Caryothraustes;poliogaster;Black-faced Grosbeak;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;calls
28305;Caryothraustes;poliogaster;Black-faced Grosbeak;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;Song, calls
28336;Caryothraustes;poliogaster;Black-faced Grosbeak;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;song, calls
72422;Caryothraustes;poliogaster;Black-faced Grosbeak;scapularis;Andrew Spencer;Costa Rica;La Selva, Sarapiqui, Heredia;10.4314;-84.0389;calls
93560;Caryothraustes;poliogaster;Black-faced Grosbeak;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;Song
93681;Caryothraustes;poliogaster;Black-faced Grosbeak;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;
