19678;Chloropsis;aurifrons;Golden-fronted Leafbird;;David Farrow;Cambodia;Okopok camp;;;song and calls
44855;Chloropsis;aurifrons;Golden-fronted Leafbird;frontalis;Sander Bot;India;Molem National Park, Goa;15.3989;74.1759;call
49768;Chloropsis;aurifrons;Golden-fronted Leafbird;;D.Farrow;Cambodia;Chhep;;;song
49769;Chloropsis;aurifrons;Golden-fronted Leafbird;;D.Farrow;India;Munnar;;;song
88487;Chloropsis;aurifrons;Golden-fronted Leafbird;;Frank Lambert;Cambodia;Sangkrous Preychheu Community Forest (2);13.9789;104.1201;song
94073;Chloropsis;aurifrons;Golden-fronted Leafbird;incompta;Mike Nelson;Thailand;Kaeng Krachan NP HQ, Phetchaburi;12.8828;99.6309;Song
94074;Chloropsis;aurifrons;Golden-fronted Leafbird;incompta;Mike Nelson;Thailand;Kaeng Krachan NP HQ, Phetchaburi;12.8828;99.6309;Song
94076;Chloropsis;aurifrons;Golden-fronted Leafbird;incompta;Mike Nelson;Thailand;Kaeng Krachan NP HQ, Phetchaburi;12.8828;99.6309;Song
97192;Chloropsis;aurifrons;Golden-fronted Leafbird;;Ramit Singal;India;Manipal;13.347;74.7889;Song
97344;Chloropsis;aurifrons;Golden-fronted Leafbird;;vir joshi;India;shoolpaneshwar wildlife santcuary;21.675;73.788;song
