20487;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Sander Pieterse  and  Ben Wielstra;Indonesia;Mului, Gunung Lumut Protection Forest, East Kalimantan, Borneo;-1.4512;115.9984;song, calls
33658;Chloropsis;cochinchinensis;Blue-winged Leafbird;viridinucha;Tjalle Boorsma;Indonesia;Swanslutung, Gunung Lumut Protection Forest, East Kalimantan, Borneo;-1.4001;115.8667;Call
61884;Chloropsis;cochinchinensis;Blue-winged Leafbird;moluccensis;Frank Lambert;Malaysia;Banding Dam area, logging road, Perak;5.5678;101.4009;calls of male
64641;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Iain Woxvold;Laos;Vilabouly District, Savannakhet Province;16.9501;105.9334;Song
65348;Chloropsis;cochinchinensis;Blue-winged Leafbird;moluccensis;Rolf A. de By;Malaysia;Johor, Panti Forest Reserve, Bunker Trail;1.8773;103.9184;calls
65379;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Iain Woxvold;Indonesia;Sungai Mahkam,  Berau District, East Kalimantan;2.192;116.7351;Calls
65380;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Iain Woxvold;Indonesia;Sungai Mahkam,  Berau District, East Kalimantan;2.192;116.7351;Calls
71614;Chloropsis;cochinchinensis;Blue-winged Leafbird;icterocephala;Bas van Balen;Indonesia;Martabe, North Sumatra;;;call  note
90268;Chloropsis;cochinchinensis;Blue-winged Leafbird;moluccensis;Frank Lambert;Malaysia;Ulu Mudah, Kedah (nr Earth Lodge);6.1151;100.9634;calls male
91192;Chloropsis;cochinchinensis;Blue-winged Leafbird;icterocephala;Fabian Ducry  and  David Marques;Indonesia;Way Kambas NP, Lampung, Sumatra;-4.9178;105.7489;song
