4089;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Sebastian K. Herzog;Bolivia;Cerro Asunta Pata, La Paz;-15.0417;-68.4778;Song
8575;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Fernando Angulo;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;
13431;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Roger Ahlman;Peru;Cock-of-the-Rock Lodge, San Pedro, Pilcopata Road, Dpto. Cusco;-13.054647;-71.545115;song
14769;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Todd Mark;Peru;Monte Jilgada/El Progreso, S. Cord. del Condor, Cajamarca;-5.3167;-78.6667;song
14770;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Todd Mark;Peru;Monte Jilgada/El Progreso, S. Cord. del Condor, Cajamarca;-5.3167;-78.6667;song
18303;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Herman van Oosten;Colombia;Santuario Otun-Quimbaya, Perreira, Tolima;;;song
20039;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;David Edwards;Peru;Alto Nieve, east of Abra Patricia, San Martín;-5.6776;-77.7737;song
20773;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Nick Athanas;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;call
20774;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Nick Athanas;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;song
22165;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Andrew Spencer;Colombia;El 18, Valle del Cauca;3.4853;-76.6178;song
22972;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;David Geale;Peru;San Pedro, Manu Road, Cusco;-13.0501;-71.5564;song
23472;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Ottavio Janni;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;song
26391;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Hernan Arias;Colombia;Clarita Botero, Ibagué, Tolima;4.4689;-75.2281;Song
26392;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Hernan Arias;Colombia;Clarita Botero, Ibagué, Tolima;4.4689;-75.2281;Song
26393;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Hernan Arias;Colombia;Clarita Botero, Ibagué, Tolima;4.4689;-75.2281;Song
27427;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Niels Krabbe;Colombia;below Méjico, Antioquia;5.5334;-75.7834;song
30327;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Nick Athanas;Ecuador;Guacamayos Ridge, Napo;-0.6237;-77.8403;call  and  song
32105;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;David Geale;Peru;Above Cirialo, Cusco;-12.6673;-72.9087;Song
33208;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;David Geale;Peru;Quita Calzones, Manu Road, Cusco;-13.0242;-71.4728;Song
33209;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;David Geale;Peru;Quita Calzones, Manu Road, Cusco;-13.0242;-71.4728;Song
36011;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Louis Boon;Peru;Paty Trail, Huanuco;-9.6334;-76.1334;call
36112;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;Fabrice Schmitt;Peru;Cock-of-the-Rock Lodge, San Pedro, Pilcopata Road, Dpto. Cusco;-13.054647;-71.545115;song after playback
39043;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Frank Lambert;Peru;Cock-of-the-Rock Lodge, San Pedro, Pilcopata Road, Dpto. Cusco  About 3km down rd from the lodge;;;song
41727;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Roger Ahlman;Ecuador;Guacamayos Ridge, Napo;;;Song
42700;Cyphorhinus;thoracicus;Chestnut-breasted Wren;;Sofia Tello;Colombia;Casasín, Sevilla, Valle, Colombia;;;Song
45781;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;song
45782;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;song
45783;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;song
45784;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;song
45785;Cyphorhinus;thoracicus;Chestnut-breasted Wren;thoracicus;Andrew Spencer;Peru;Abra Maruncunca, Puno;-14.2334;-69.2834;calls
93159;Cyphorhinus;thoracicus;Chestnut-breasted Wren;dichrous;Charlie Vogt;Ecuador;La Sofia road, Sucumbios;0.4328;-77.5789;song
53964;Cyphorhinus;thoracicus;Chestnut-breasted Wren;idichrous;Bernabe Lopez-Lanus;Colombia;Sendero La Aurora (SFF Otun/Quimbaya), corregimiento La Florida, Pereira, Risaralda;;;Song
