8874;Euphonia;gouldi;Olive-backed Euphonia;;Allen T. Chartier;Costa Rica;Siquirres, Viveros Salsipuedes;10.0251;-83.4167;Song?
9080;Euphonia;gouldi;Olive-backed Euphonia;;Allen T. Chartier;Costa Rica;Siquirres, Viveros Salsipuedes;10.0251;-83.4167;Song?
11205;Euphonia;gouldi;Olive-backed Euphonia;;Tom Will;Nicaragua;La Lupe;11.1706;-84.2342;song
15554;Euphonia;gouldi;Olive-backed Euphonia;;Don Jones;Costa Rica;La Selva, Sarapiqui, Heredia;10.4314;-84.039;song
15555;Euphonia;gouldi;Olive-backed Euphonia;;Don Jones;Costa Rica;La Selva, Sarapiqui, Heredia;10.4314;-84.039;song
16091;Euphonia;gouldi;Olive-backed Euphonia;;Ken Allaire;Costa Rica;Selva Verde Lodge;;;song
28507;Euphonia;gouldi;Olive-backed Euphonia;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;song
28475;Euphonia;gouldi;Olive-backed Euphonia;;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;song
72012;Euphonia;gouldi;Olive-backed Euphonia;praetermissa;Andrew Spencer;Costa Rica;Las Heliconias Lodge, Volcan Tenorio, Alajuela;10.7089;-85.057;call
72014;Euphonia;gouldi;Olive-backed Euphonia;praetermissa;Andrew Spencer;Costa Rica;Las Heliconias Lodge, Volcan Tenorio, Alajuela;10.7089;-85.057;song and calls
