19177;Ficedula;dumetoria;Rufous-chested Flycatcher;;Craig Robson;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song
21997;Ficedula;dumetoria;Rufous-chested Flycatcher;muelleri;Nick Athanas;Malaysia;Taman Negara, Pahang;4.3864;102.4017;song
27669;Ficedula;dumetoria;Rufous-chested Flycatcher;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song
27670;Ficedula;dumetoria;Rufous-chested Flycatcher;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;calls
27671;Ficedula;dumetoria;Rufous-chested Flycatcher;;David Edwards;Malaysia;Danum Valley, Sabah, Borneo;4.9767;117.7417;song
33281;Ficedula;dumetoria;Rufous-chested Flycatcher;;Mike Catsis;Malaysia;Taman Negara, Pahang;4.3864;102.4017;song
53800;Ficedula;dumetoria;Rufous-chested Flycatcher;muelleri;Yong Ding Li;Malaysia;Kubah National Park, Sarawak;1.389634;110.684509;Song
68308;Ficedula;dumetoria;Rufous-chested Flycatcher;muelleri;Frank Lambert;Malaysia;Pahang. Deerland;3.53;102.16;song
68309;Ficedula;dumetoria;Rufous-chested Flycatcher;;Frank Lambert;Malaysia;Sabah;5;117;song
68310;Ficedula;dumetoria;Rufous-chested Flycatcher;;Frank Lambert;Malaysia;Sabah;5;117;song
68311;Ficedula;dumetoria;Rufous-chested Flycatcher;;Frank Lambert;Malaysia;Sabah;5;117;song
90903;Ficedula;dumetoria;Rufous-chested Flycatcher;;Fabian Ducry  and  David Marques;Indonesia;Way Titias, Bukit Barisan Selatan NP, Lampung, Sumatra;-5.0684;104.0256;song
94150;Ficedula;dumetoria;Rufous-chested Flycatcher;;Eric Cannizzaro (Bornean Bird Conservation);Malaysia;Planted Forests Zone, Wildlife Buffer, Sarawak;2.724955;113.080902;Song
96127;Ficedula;dumetoria;Rufous-chested Flycatcher;muellieri;Frank Lambert;Malaysia;Pahang. Deerland;3.5298;102.1598;song
