5557;Icterus;gularis;Altamira Oriole;;Antonio Celis Murillo;Mexico;Yucatan;;;Llamado y Canto
7511;Icterus;gularis;Altamira Oriole;;Robin Carter;Mexico;Santa Engracia, Tamaulipas;24.0259;-99.2695;song
8856;Icterus;gularis;Altamira Oriole;;Allen T. Chartier;Mexico;Yucatan, Uxmal Ruins;20.3595;-89.7714;Songs, calls
8857;Icterus;gularis;Altamira Oriole;;Allen T. Chartier;Mexico;Yucatan, Uxmal Ruins;20.3595;-89.7714;Call
11188;Icterus;gularis;Altamira Oriole;;Doug Knapp;Nicaragua;Managua;12.1534;-86.2834;song
31458;Icterus;gularis;Altamira Oriole;;Daniel Lane;Mexico;Near Jardin Botanico S of Puerto Morelos, Quintana Roo;20.8042;-86.947;songs, calls
31459;Icterus;gularis;Altamira Oriole;;Daniel Lane;Mexico;Near Jardin Botanico S of Puerto Morelos, Quintana Roo;20.8042;-86.947;calls
31465;Icterus;gularis;Altamira Oriole;;Daniel Lane;Mexico;Near Jardin Botanico S of Puerto Morelos, Quintana Roo;20.8042;-86.947;calls
76732;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Song
76733;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Song
76734;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Song
76735;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Call
76736;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Call
76737;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Call
82515;Icterus;gularis;Altamira Oriole;;manuel Grosselet;Mexico;Minatitlan, refineria de SAnta Alejandrina, Veracruz;18.002407;-94.565334;song
