5825;Mitrospingus;cassinii;Dusky-faced Tanager;costaricensis;Richard Garrigues;Costa Rica;La Selva, Sarapiqui, Heredia;10.4314;-84.039;Flock calls
6561;Mitrospingus;cassinii;Dusky-faced Tanager;cassinii;Nick Athanas;Ecuador;Rio Silanche, Pedro Vicente Maldonado, Pichincha;0.1431;-79.1334;call
6958;Mitrospingus;cassinii;Dusky-faced Tanager;;Ken Allaire;Panama;El Valle de Anton, Cocle;8.6001;-80.1251;call
15531;Mitrospingus;cassinii;Dusky-faced Tanager;;Don Jones;Costa Rica;La Selva, Sarapiqui, Heredia;10.4314;-84.039;call
36919;Mitrospingus;cassinii;Dusky-faced Tanager;;Oswaldo Cortes;Colombia;Rio Claro, Doradal, Antioquia;5.900189;-74.84848;calls
56181;Mitrospingus;cassinii;Dusky-faced Tanager;cassinii;Mike Nelson;Panama;Torti, San Francisco Nature Reserve, Panama;8.9389;-78.4651;Call
62126;Mitrospingus;cassinii;Dusky-faced Tanager;cassinii;Andrew Spencer;Ecuador;Rio Silanche, Pedro Vicente Maldonado, Pichincha;0.1431;-79.1334;calls
63653;Mitrospingus;cassinii;Dusky-faced Tanager;;Joseph Tobias and Nathalie Seddon;Ecuador;Bilsa Research Station;;;call
74759;Mitrospingus;cassinii;Dusky-faced Tanager;;Daniel Lane;Ecuador;2.7km E Alto Tambo, Esmeraldas;0.892;-78.533;song
76388;Mitrospingus;cassinii;Dusky-faced Tanager;cassinii;Roger Ahlman;Ecuador;Rio Palenque, Patricia Pilar, Pichincha;-0.5889;-79.3626;Song
