1004;Molothrus;aeneus;Bronzed Cowbird;;Robin Carter;Costa Rica;Finca Daniel;10.1167;-84.7001;song
21961;Molothrus;aeneus;Bronzed Cowbird;;Chris Parrish;United States;Welder Wildlife Refuge, San Patricio County, Texas;28.1137;-97.4228;calls in flight
29882;Molothrus;aeneus;Bronzed Cowbird;;Daniel Lane;United States;Baton Rouge, East B. R. Parish, LA;30.4334;-91.1667;song, calls
45251;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo (frente a Barranquilla desde Palermo, sobre el rio Magdalena), Parque Nacional Isla de Salamanca, Magdalena;10.974;-74.748;Song
45252;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo (frente a Barranquilla desde Palermo, sobre el rio Magdalena), Parque Nacional Isla de Salamanca, Magdalena;10.9739;-74.7478;Second song
45253;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo (frente a Barranquilla desde Palermo, sobre el rio Magdalena), Parque Nacional Isla de Salamanca, Magdalena;10.9739;-74.7478;Second song
45254;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Second song
45255;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Second song
45256;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Second song
45258;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga El Convento, Vereda El Puerto, Municipio Sabana Grande (Barranquilla), Atlantico;;;Calls
56962;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song
56963;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song
56965;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song
56966;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song
56995;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga del Convento (Parque Crocodilia), Vereda El Puerto, Sabanagrande, Atlantico;10.854;-74.761;Song
56996;Molothrus;aeneus;Bronzed Cowbird;armenti;Bernabe Lopez-Lanus;Colombia;Cienaga del Convento (Parque Crocodilia), Vereda El Puerto, Sabanagrande, Atlantico;10.854;-74.761;Song
77662;Molothrus;aeneus;Bronzed Cowbird;;Elvis Herrera Rodríguez;Mexico;Universidad Michoacana university campus, Morelia;19.689;-101.206;call
