1083;Myadestes;melanops;Black-faced Solitaire;;Robin Carter;Costa Rica;Hotel Villablanca;10.1612;-84.4834;song
3235;Myadestes;melanops;Black-faced Solitaire;;David Bradley;Panama;Cerro Punta, Chiriqui province;8.8334;-82.5667;song
8915;Myadestes;melanops;Black-faced Solitaire;;Allen T. Chartier;Costa Rica;Tapanti Wildlife Refuge;9.7334;-83.7834;Song
10932;Myadestes;melanops;Black-faced Solitaire;;Rolf A. de By;Costa Rica;Monte Verde Cloud Forest Reserve;10.305;-84.79;song
10933;Myadestes;melanops;Black-faced Solitaire;;Rolf A. de By;Costa Rica;Monte Verde Cloud Forest Reserve;10.305;-84.79;song
31769;Myadestes;melanops;Black-faced Solitaire;;Andrew Spencer;Panama;Sendero Los Quetzales, Chiriqui Province;8.85;-82.53333;song
31770;Myadestes;melanops;Black-faced Solitaire;;Andrew Spencer;Panama;Sendero Los Quetzales, Chiriqui Province;8.85;-82.53333;song
32040;Myadestes;melanops;Black-faced Solitaire;;Andrew Spencer;Panama;Sendero Los Quetzales, Chiriqui Province;8.85;-82.53333;call
60653;Myadestes;melanops;Black-faced Solitaire;;Ken Allaire;Panama;Cerro Santiago, Chiriqui Province;7.8481;-77.7001;song
65660;Myadestes;melanops;Black-faced Solitaire;;Daniel Lane;Costa Rica;Trogon Lodge, W Cerro de la Muerte, San Jose Prov.;9.5778;-83.8014;song
78386;Myadestes;melanops;Black-faced Solitaire;;William Adsett;Panama;Cerro Colorado, Comarca Ngobe-Bugle (formerly Chiriqui province);8.534;-81.805;song
