5013;Nemosia;pileata;Hooded Tanager;pileata;Nick Athanas;Brazil;10km east of São João dos Patos, MA;-6.4895;-43.6162;song
5854;Nemosia;pileata;Hooded Tanager;;Otte Ottema;Suriname;Belwaarde;5.8501;-54.8201;calls
8602;Nemosia;pileata;Hooded Tanager;;Glauco Alves pereira;Brazil;Mata das Cobras, Us. trapiche, Sirinhaém, Pernambuco;;;Calls
10202;Nemosia;pileata;Hooded Tanager;;Glauco Alves Pereira;Brazil;Mata de Sto Anônio, Us. Trapiche, Sirinhaém, Pernambuco;;;Song
15437;Nemosia;pileata;Hooded Tanager;;Juan Mazar Barnett;Brazil;Curaçá, Bahia;-9.01;-39.9001;Calls
26475;Nemosia;pileata;Hooded Tanager;;Eduardo Patrial;Brazil;Estância Patrial, Londrina, PR;;;song
28971;Nemosia;pileata;Hooded Tanager;;Hermann Redies;Brazil;Reserva Ecológica Mãe-da-Lua, Itapajé, Ceará;-3.8114;-39.4737;calls, song
47702;Nemosia;pileata;Hooded Tanager;;Andrew Spencer;Peru;River Island opposite Iquitos, Loreto;-3.707;-73.2064;call
47718;Nemosia;pileata;Hooded Tanager;;Andrew Spencer;Peru;Yarinacocha, Ucayali;-8.3323;-74.6534;calls
49948;Nemosia;pileata;Hooded Tanager;;Rosendo Fraga;Argentina;?;;;call
54338;Nemosia;pileata;Hooded Tanager;;Hermann Redies;Brazil;Reserva Ecológica Mãe-da-Lua, Itapajé, Ceará;-3.8114;-39.4737;Dawn song
65979;Nemosia;pileata;Hooded Tanager;;Daniel Lane;Venezuela;Hato Pinero, Cojedes;8.9498;-68.0831;call
70533;Nemosia;pileata;Hooded Tanager;;Bernabe Lopez-Lanus;Argentina;Estancia San Alonso (CLT), Ibera, Corrientes;;;Female call
84584;Nemosia;pileata;Hooded Tanager;pileata;Jeremy Minns;Brazil;Palmeiras, Chapada Diamantina, Bahia.;-12.530434;-41.575699;Calls
85984;Nemosia;pileata;Hooded Tanager;;Sidnei S. dos Santos;Brazil;Gentio do Ouro, Bahia.;;;Song
86092;Nemosia;pileata;Hooded Tanager;;Oswaldo Cortes;Colombia;Coloso, Sucre, Montes de Maria;9.505;-75.369;songs
86183;Nemosia;pileata;Hooded Tanager;;Oswaldo Cortes;Colombia;Coloso, Sucre, Montes de Maria;9.505;-75.369;songs
90756;Nemosia;pileata;Hooded Tanager;;Marcos Melo;Brazil;Rio do Peixe, Socorro, Sao Paulo state;-22.624;-46.498;calls
98837;Nemosia;pileata;Hooded Tanager;saira;pedroteia;Brazil;Riacho do Olho Dagua Mago-Pão de Açúcar-Alagoas-Brasil;-9.732;-37.435;song
98838;Nemosia;pileata;Hooded Tanager;saira;pedroteia;Brazil;Riacho do Olho Dagua Mago-Pão de Açúcar-Alagoas-Brasil;-9.732;-37.435;song
98840;Nemosia;pileata;Hooded Tanager;saira;pedroteia;Brazil;Riacho do Olho Dagua Mago-Pão de Açúcar-Alagoas-Brasil;-9.732;-37.435;song
98841;Nemosia;pileata;Hooded Tanager;saira;pedroteia;Brazil;Riacho do Olho Dagua Mago-Pão de Açúcar-Alagoas-Brasil;-9.732;-37.435;song
98843;Nemosia;pileata;Hooded Tanager;saira;pedroteia;Brazil;Riacho do Olho Dagua Mago-Pão de Açúcar-Alagoas-Brasil;-9.732;-37.435;song
