20358;Oenanthe;hispanica;Black-eared Wheatear;melanoleuca;Stuart Fisher;Turkey;Goreme, Cappadocia;38.6426;34.8448;Song
29571;Oenanthe;hispanica;Black-eared Wheatear;melanoleuca;Stuart Fisher;Turkey;Kazdağ National Park;39.6462;26.9076;calls of a family
36021;Oenanthe;hispanica;Black-eared Wheatear;;Jordi Calvet;Spain;Serra de Rubió, Anoia, Catalunya;41.6584;1.6148;song
48161;Oenanthe;hispanica;Black-eared Wheatear;;Jordi Calvet;Spain;Serra de Rubió, Anoia, Catalunya;41.6584;1.6148;call
56116;Oenanthe;hispanica;Black-eared Wheatear;;Jordi Calvet;Spain;Serra de Rubió, Anoia, Catalunya;41.6584;1.6148;song
80941;Oenanthe;hispanica;Black-eared Wheatear;;Jordi Calvet;Spain;Bellaguarda, Les Garrigues, Catalunya;41.3359;0.737;alarm call
80942;Oenanthe;hispanica;Black-eared Wheatear;;Jordi Calvet;Spain;Bellaguarda, Les Garrigues, Catalunya;41.3359;0.737;alarm call
81169;Oenanthe;hispanica;Black-eared Wheatear;melanoleuca;Gerard Gorman;Croatia;Paklenica;44.2931;15.4431;Alarm
90856;Oenanthe;hispanica;Black-eared Wheatear;hispanica;Lars Lachmann;Morocco;argan forests south of Essaouira;31.454;-9.779;song
99376;Oenanthe;hispanica;Black-eared Wheatear;melanoleuca;Stuart Fisher;Turkey;Badavut, Ayvalık;39.2748;26.6148;Song
