678;Parula;pitiayumi;Tropical Parula;;John van der Woude;Ecuador;Ayampe river valley;-1.6666;-80.75;song
1125;Parula;pitiayumi;Tropical Parula;;Robin Carter;Costa Rica;Rancho Naturalista;9.832;-83.5639;song
1550;Parula;pitiayumi;Tropical Parula;;Sjoerd Mayer;Bolivia;Camp on east slope Cerro Bufete, Chuquisaca;-20.834;-64.334;Song
1710;Parula;pitiayumi;Tropical Parula;;Sjoerd Mayer;Bolivia;Pampa Grande, Tariquia, Tarija;-22.334;-64.433;Song
2869;Parula;pitiayumi;Tropical Parula;;A. Bennett Hennessey;Bolivia;Serranía Pilón, Pilón Lajas Biosphere Reserve, Beni;-15.117;-67.133;Song
3586;Parula;pitiayumi;Tropical Parula;;Sebastian K. Herzog;Bolivia;Old rd Cochabamba - V. Tunari, Camp 4. Carrasco NP, Cochabamba;-17.1667;-65.5834;Song
3589;Parula;pitiayumi;Tropical Parula;;Sebastian K. Herzog;Bolivia;Old rd Cochabamba - V. Tunari, Camp 4. Carrasco NP, Cochabamba;-17.1667;-65.5834;Calls
4001;Parula;pitiayumi;Tropical Parula;;Don Jones;Ecuador;Old Chiriboga Road, Pichincha;-0.2501;-78.7501;call
4002;Parula;pitiayumi;Tropical Parula;;Don Jones;Ecuador;Old Chiriboga Road, Pichincha;-0.2501;-78.7501;song
4792;Parula;pitiayumi;Tropical Parula;;Aidan Maccormick;Bolivia;Tariquia, Los Pinos, Tarija;-21.9144444444444;-64.1772222222222;Song
4793;Parula;pitiayumi;Tropical Parula;;Aidan Maccormick;Bolivia;Tariquia, El Cajón, Tarija;-22;-64.48333;Call
5174;Parula;pitiayumi;Tropical Parula;;Willem-Pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;song
5203;Parula;pitiayumi;Tropical Parula;;Nathan Pieplow;Mexico;Amatlan, Veracruz;18.8334;-96.9167;song
6112;Parula;pitiayumi;Tropical Parula;;Otte Ottema;Suriname;Brownsberg;4.9301;-55.2101;song
6287;Parula;pitiayumi;Tropical Parula;;Ciro Albano;Brazil;Serra de Baturité, Ceará;-4.2334;-38.9167;song
7290;Parula;pitiayumi;Tropical Parula;;Alvaro Riccetto;Uruguay;Minas;-34.3701;-55.2251;calls,and at the end,song at the backgrounds
7397;Parula;pitiayumi;Tropical Parula;;Glauco Alves Pereira;Brazil;Porteiras, Altinho, Pernambuco;-8.3;-37.75;Calls and song
7828;Parula;pitiayumi;Tropical Parula;pitiayumi;Robin Carter;Costa Rica;Lake Coter Ecolodge;10.5884;-84.9309;song
7962;Parula;pitiayumi;Tropical Parula;;Glauco Alves Pereira;Brazil;Parque Dois Irmãos, Recife, Pernambuco;-8.0539;-34.8809;Song
8300;Parula;pitiayumi;Tropical Parula;;Herman van Oosten;Peru;Quebrada Limon, Lambayeque;-5.6942;-79.7448;song
8391;Parula;pitiayumi;Tropical Parula;;Herman van Oosten;Peru;Morro de Calzada, San Martin;-6.0295;-77.0459;song
11771;Parula;pitiayumi;Tropical Parula;;Ricardo Gagliardi;Brazil;Perequê - Angra dos Reis - RJ;-23.012;-44.5351;song
12270;Parula;pitiayumi;Tropical Parula;;Oscar Laverde;Colombia;Suaita, Santander;6.106418;-73.45562;song
12696;Parula;pitiayumi;Tropical Parula;;Oscar Laverde;Colombia;Soata, Cerca de la Quebrada Municipal, Santander;6.3334;-72.6667;song
12702;Parula;pitiayumi;Tropical Parula;;Oscar Laverde;Colombia;Soata, Cerca de la Quebrada Municipal, Santander;6.3334;-72.6667;song
12917;Parula;pitiayumi;Tropical Parula;;Leonardo Pimentel;Brazil;Reserva Ecológica de Guapiaçu, RJ;-22.5001;-42.7167;Call and song
14363;Parula;pitiayumi;Tropical Parula;;Paul Smith;Paraguay;PROCOSARA, PN San Rafael;-26.48333;-55.71667;song and call
14669;Parula;pitiayumi;Tropical Parula;roraimae;Andrew Spencer;Venezuela;La Escalera, Sierra de Lema, Bolívar;5.9656;-61.3917;song
15304;Parula;pitiayumi;Tropical Parula;;Fernando Jacobs;Brazil;Hidráulica - Capão do Leão, Rio Grande do Sul;-31.72889;-52.48944;song
17704;Parula;pitiayumi;Tropical Parula;pacifica;Andrew Spencer;Ecuador;Buenaventura Reserve, El Oro;-3.6501;-79.7667;call
20693;Parula;pitiayumi;Tropical Parula;?;Nick Athanas;Peru;Villa Rica area, Pasco;-10.7834;-75.2834;song
28767;Parula;pitiayumi;Tropical Parula;;Daniel Lane;Mexico;Nacimiento area of Rio Sabinas, Tamaulipas;23.1162;-99.1414;song
29178;Parula;pitiayumi;Tropical Parula;;Hermann Redies;Brazil;Reserva Ecológica Mãe-da-Lua, Itapajé, Ceará;-3.8114;-39.4737;Song
29667;Parula;pitiayumi;Tropical Parula;;Daniel Lane;Mexico;Rancho Cielito, Tamaulipas;23.1162;-99.1414;Song
29780;Parula;pitiayumi;Tropical Parula;;Daniel Lane;United States;Anzalduas County Park, Hidalgo Co., TX;26.1376;-98.3314;short song
29781;Parula;pitiayumi;Tropical Parula;;Daniel Lane;United States;Garner St Pk, Uvalde Co., TX;29.5826;-99.7309;song, calls
