19447;Phoenicurus;ochruros;Black Redstart;ochruros;Stuart Fisher;Turkey;Uludag;40.0892;29.1445;Male song
25557;Phoenicurus;ochruros;Black Redstart;gibraltariensis;Stuart Fisher;Turkey;Cunda (Alibey) Island;39.3292;26.6298;calls of a juvenile/first winter
25584;Phoenicurus;ochruros;Black Redstart;;Niels Krabbe;Denmark;Keldsnor;54.7334;10.7001;song
25915;Phoenicurus;ochruros;Black Redstart;;Niels Krabbe;Denmark;Egedgarden;54.7334;10.7001;song
27567;Phoenicurus;ochruros;Black Redstart;;Patrik Åberg;Sweden;Skövde, Västergötland;58.3887;13.8481;Song
27568;Phoenicurus;ochruros;Black Redstart;;Patrik Åberg;Sweden;Skövde, Västergötland;58.3887;13.8481;Song
29167;Phoenicurus;ochruros;Black Redstart;;Bram Piot;France;Fort l'Ecluse, Léaz, Ain;46.1228;5.8917;Song
29525;Phoenicurus;ochruros;Black Redstart;ochruros;Stuart Fisher;Turkey;Zemi Valley, Cappadocia;38.6314;34.8398;song
30400;Phoenicurus;ochruros;Black Redstart;;Sander Bot;Morocco;Tafraoute, Anti-Atlas;29.72503;-8.97171;call
38029;Phoenicurus;ochruros;Black Redstart;;Liao Xiao-dong;China;Tareshi Qinghai province;;;song
38030;Phoenicurus;ochruros;Black Redstart;;Liao Xiao-dong;China;Tareshi Qinghai province;;;song
42171;Phoenicurus;ochruros;Black Redstart;;Stuart Fisher;France;Les Baux-de-Provence, Provence;43.7451;4.797;Song
54033;Phoenicurus;ochruros;Black Redstart;;Marco Dragonetti;Italy;Località Poderone, Magliano in Toscana, Grosseto;42.6001;11.2834;contact /  threat calls
55089;Phoenicurus;ochruros;Black Redstart;gibraltariensis;Mike Nelson;France;Domaine du Rey, Lignairolles, France;43.0909;2.0167;Begging call
55316;Phoenicurus;ochruros;Black Redstart;;GROSSELET Olivier;France;F65 - VIELLE-AURE, Granges de Grascoueou;42.837;0.313;song
57276;Phoenicurus;ochruros;Black Redstart;gibraltariensis;Claus Fischer;Germany;Lampertheim, Hessen;49.6001;8.4667;song
57277;Phoenicurus;ochruros;Black Redstart;gibraltariensis;Claus Fischer;Germany;Lampertheim, Hessen;49.6001;8.4667;song
64782;Phoenicurus;ochruros;Black Redstart;gibraltariensis;Stuart Fisher;Croatia;Kupinovik Unesco Heritage site, Stari Grad, Hvar;43.181;16.617;Alarm call
69049;Phoenicurus;ochruros;Black Redstart;;Frank Lambert;China;Qinghai. in Chulan Range between Chulan and Chaka;36.9;92.85;song
69050;Phoenicurus;ochruros;Black Redstart;;Frank Lambert;China;Xizang. near the Yellow River on the Tibetan Plateau;32;92;song
69051;Phoenicurus;ochruros;Black Redstart;;Frank Lambert;China;Xizang. near the Yellow River on the Tibetan Plateau;32;92;song
69052;Phoenicurus;ochruros;Black Redstart;;Frank Lambert;China;Xizang. near the Yellow River on the Tibetan Plateau;32;92;song
75594;Phoenicurus;ochruros;Black Redstart;;Tomas Belka;Czech Republic;Havraníky, Southern Moravia;48.813;16.007;call
