25099;Phylloscopus;sibilatrix;Wood Warbler;;Stuart Fisher;Netherlands;De Hoge Veluwe National Park;52.0409;5.7439;Song
25520;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Poland;Budy;53.3667;22.5667;call
25523;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Poland;Budy;53.3667;22.5667;strange sound (alternate song?)
25681;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Denmark;Gurre Sø;56.0167;12.4834;song
25682;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Denmark;Gurre Sø;56.0167;12.4834;song
26765;Phylloscopus;sibilatrix;Wood Warbler;;Patrik Åberg;Sweden;Amperna, Brevik, Västergötland;58.4453;14.4484;song and calls
26766;Phylloscopus;sibilatrix;Wood Warbler;;Patrik Åberg;Sweden;Källedalen, Fröstorp, Tibro, Västergötland;58.4278;14.2273;Alarm calls
29694;Phylloscopus;sibilatrix;Wood Warbler;;Ante Strand;Sweden;Finnerånger, Uppland;;;Song
29759;Phylloscopus;sibilatrix;Wood Warbler;;Mathias Ritschard;Switzerland;Seewis GR;46.9678;9.6178;calls
29760;Phylloscopus;sibilatrix;Wood Warbler;;Mathias Ritschard;Switzerland;Seewis GR;46.9678;9.6178;song
31624;Phylloscopus;sibilatrix;Wood Warbler;;Hans Petter Kristoffersen;Norway;Pollevann, Aas, Akershus;59.7334;10.7501;song
35019;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;song
35083;Phylloscopus;sibilatrix;Wood Warbler;;Sander Bot;Netherlands;Dwingelderveld, Drenthe;52.8176;6.4326;song and call at sec. 35
42289;Phylloscopus;sibilatrix;Wood Warbler;;Patrik Åberg;Sweden;Bergtäkten, Ransberg, Tibro Västergötland;58.4387;14.2809;song
36184;Phylloscopus;sibilatrix;Wood Warbler;;Christian Brinkman;Netherlands;Gooi area, near Hilversum;;;Song
36424;Phylloscopus;sibilatrix;Wood Warbler;;Tomas Belka;Poland;Biebrza Marshes;53.5001;22.7334;song
36425;Phylloscopus;sibilatrix;Wood Warbler;;Tomas Belka;Poland;Biebrza Marshes;53.5001;22.7334;alarm call
41710;Phylloscopus;sibilatrix;Wood Warbler;;Hans Petter Kristoffersen;Norway;Pollevann, Aas, Akershus;59.7334;10.7501;Song
48778;Phylloscopus;sibilatrix;Wood Warbler;;David Marques;Romania;Celic-Dere Monastery, Dobrogea, Romania;45.126;28.568;song
49890;Phylloscopus;sibilatrix;Wood Warbler;;Matthias Feuersenger;Germany;Viernheimer Heide;49.568;8.511;song
52082;Phylloscopus;sibilatrix;Wood Warbler;;Andrew McCafferty;United Kingdom;Acres Down;50.891;-1.625;Song
53825;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;song and calls
53826;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;song
56005;Phylloscopus;sibilatrix;Wood Warbler;;GROSSELET Olivier;France;F65 - AGOS-VIDALOS, Ayzi;43.046;-0.077;call
56006;Phylloscopus;sibilatrix;Wood Warbler;;GROSSELET Olivier;France;F65 - AGOS-VIDALOS, Ayzi;43.046;-0.077;song
62745;Phylloscopus;sibilatrix;Wood Warbler;;Dougie Preston;United Kingdom;Otterswick, Yell, Shetland;60.5501;-1.0334;calls
62765;Phylloscopus;sibilatrix;Wood Warbler;;Dougie Preston;United Kingdom;Otterswick, Yell, Shetland;60.5501;-1.0334;calls
69789;Phylloscopus;sibilatrix;Wood Warbler;;Louis A. Hansen;Sweden;Falsterbo, Folkparken (behind church and east of);55.3914;12.8431;Song
69790;Phylloscopus;sibilatrix;Wood Warbler;;Louis A. Hansen;Sweden;Falsterbo, Folkparken (behind church and east of);55.3914;12.8431;Song
69791;Phylloscopus;sibilatrix;Wood Warbler;;Louis A. Hansen;Sweden;Falsterbo, Folkparken (behind church and east of);55.3914;12.8431;Song and calls
70433;Phylloscopus;sibilatrix;Wood Warbler;;Ruud van Beusekom;Netherlands;Spanderswoud, Hilversum;52.2428;5.1459;Song
71732;Phylloscopus;sibilatrix;Wood Warbler;;Mark Doveston;United Kingdom;Strid Woods, Wharfe Valley, North Yorkshire, UK;;;Song
72702;Phylloscopus;sibilatrix;Wood Warbler;;Volker Arnold;Germany;Steinthaleben, Kyffhaeuser, Thueringen;51.391;11.052;song
77376;Phylloscopus;sibilatrix;Wood Warbler;;Willem-Pier Vellinga;Netherlands;Nieuwe Kooi, Vlieland;53.28;5.013;song
77443;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;call
77444;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;song and alternate song
77445;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;alternate song and song
77446;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;call and song
77447;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;agitated songs
77448;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;song and alternate song
77811;Phylloscopus;sibilatrix;Wood Warbler;;Volker Arnold;Germany;Riesewohld, Dithmarschen, Schleswig-Holstein;54.1498;9.2039;song
77846;Phylloscopus;sibilatrix;Wood Warbler;;Bram Piot;France;Vesancy, Ain;46.3475;6.0887;Song
78238;Phylloscopus;sibilatrix;Wood Warbler;;Niels Krabbe;Denmark;Nyrup Hegn;56.0167;12.5167;alternate song and song
79032;Phylloscopus;sibilatrix;Wood Warbler;;Jacques PREVOST;Hungary;Aggtelek National park;;;song
79033;Phylloscopus;sibilatrix;Wood Warbler;;Jacques PREVOST;Poland;Bialowieza;52.7167;23.8334;song
81242;Phylloscopus;sibilatrix;Wood Warbler;;Nils Agster;Germany;Rammert, Tübingen-Bühl, Baden-Württemberg;48.462;9.006;call
81241;Phylloscopus;sibilatrix;Wood Warbler;;Nils Agster;Germany;Rammert, Tübingen-Bühl, Baden-Württemberg;48.462;9.006;song
81346;Phylloscopus;sibilatrix;Wood Warbler;;Alex Ollé;Poland;Białowieża Forest;52.7001;23.8501;Song
83507;Phylloscopus;sibilatrix;Wood Warbler;;Henk-Jan van der Kolk;Netherlands;De Hoge Veluwe National Park;52.0409;5.7439;Song
91195;Phylloscopus;sibilatrix;Wood Warbler;;Lars Lachmann;Poland;Kuligow, Mazowieckie region, Poland;52.4428;21.0939;song
91196;Phylloscopus;sibilatrix;Wood Warbler;;Lars Lachmann;Germany;Vogelsberg;50.527;9.168;song
91197;Phylloscopus;sibilatrix;Wood Warbler;;Lars Lachmann;Poland;Kuligow, Mazowieckie region, Poland;52.4428;21.0939;call
99444;Phylloscopus;sibilatrix;Wood Warbler;;Tony Whitehead;United Kingdom;Yarner Wood, Dartmoor, Devon;50.596;-3.727;Song
99449;Phylloscopus;sibilatrix;Wood Warbler;;Tony Whitehead;United Kingdom;Yarner Wood, Dartmoor, Devon;50.596;-3.727;Song
99932;Phylloscopus;sibilatrix;Wood Warbler;;Krzysiek Deoniziak;Poland;Zielonka (Zielonka Forest Landscape Park);52.569;17.122;song and calls
100105;Phylloscopus;sibilatrix;Wood Warbler;;Franck HIDVEGI;Belgium;Vallée de l'Hermeton;50.201;4.8;
