4693;Piranga;flava;Red Tanager;;Aidan Maccormick;Bolivia;Tariquia, El Cajón, Tarija;-22;-64.48333;Call
4694;Piranga;flava;Red Tanager;;Aidan Maccormick;Bolivia;Tariquia, El Cajón, Tarija;-22;-64.48333;Call
7884;Piranga;flava;Red Tanager;;Alvaro Riccetto;Uruguay;Campanero, near Minas, Lavalleja;-33.6;-55.06667;calls
8409;Piranga;flava;Red Tanager;;Ricardo Gagliardi;Brazil;Taquaril - Petrópolis - RJ;-22.3023;-43.077;call
15000;Piranga;flava;Red Tanager;;Todd Mark;Trinidad  and  Tobago;near Brasso Seco, Northern Range;10.7334;-61.2667;calls
19962;Piranga;flava;Red Tanager;flava;Niels Krabbe;Bolivia;Cerro Palmarcito (Chuquisaca);-18.5334;-64.8834;call
30579;Piranga;flava;Red Tanager;;Fernando Jacobs;Brazil;campus Capão do Leão, UFPel - Capão do Leão, Rio Grande do Sul;;;calls
32462;Piranga;flava;Red Tanager;flava;Niels Krabbe;Argentina;Jujuy: PN Calilegua: Aguas Negras;-23.7501;-64.8501;call of imm. male
38066;Piranga;flava;Red Tanager;;Nunes D´Acosta;Brazil;Goiânia, Goiás.;-16.691448;-49.266815;Vocalização
38067;Piranga;flava;Red Tanager;;Nunes D´Acosta;Brazil;Goiânia, Goias.;;;Vocalização
46353;Piranga;flava;Red Tanager;;Leonardo R. Deconto;Brazil;Vargem Bonita - SC;;;call
47064;Piranga;flava;Red Tanager;;Bernabe Lopez-Lanus;Argentina;Estancia El Potrero (alrededores Puerto Unzue), Gualeguaychu, Entre Rios;;;Call
49947;Piranga;flava;Red Tanager;;Rosendo Fraga;Argentina;Quebrada Las Higueritas, San Luis;;;call
52104;Piranga;flava;Red Tanager;;Bernabe Lopez-Lanus;Argentina;Acambuco, Tartagal, Salta;-22.193127;-63.94455;song
52105;Piranga;flava;Red Tanager;;Bernabe Lopez-Lanus;Argentina;Acambuco, Tartagal, Salta;-22.193127;-63.94455;song
53102;Piranga;flava;Red Tanager;;Carlos Ferrari;Argentina;Icho Cruz, Cordoba;;;song
61245;Piranga;flava;Red Tanager;;Bernabe Lopez-Lanus;Argentina;Campo Avalos, Rio Mirinay-cerca Casco Cambai, Monte Caseros, Corrientes;;;Call
87391;Piranga;flava;Red Tanager;;Leandro Corrêa;Brazil;Rio Charqueada, Nova Laranjeiras, Paraná;-25.4934;-52.675;Song
88210;Piranga;flava;Red Tanager;flava (presumably;Niels Krabbe;Bolivia;Cerro Palmarcito (Chuquisaca);-18.5334;-64.8834;call of a male
95504;Piranga;flava;Red Tanager;;Bernabe Lopez-Lanus;Argentina;Estancia La Aurora del Palmar, Ubajay, Entre Rios;-31.797;-58.3659;Song
