18448;Plocepasser;mahali;White-browed Sparrow-Weaver;;Franck BRUNELIERE, Grandeur Nature Safaris;Namibia;Spitzkoppe;;;Song
28612;Plocepasser;mahali;White-browed Sparrow-Weaver;;Patrik Åberg;South Africa;Witsand;-28.557235;22.488155;Song
37717;Plocepasser;mahali;White-browed Sparrow-Weaver;pectoralis;Bram Piot;Malawi;Mvuu, Liwonde;-14.8509;35.2973;Song, Call
37718;Plocepasser;mahali;White-browed Sparrow-Weaver;pectoralis;Bram Piot;Malawi;Mvuu, Liwonde;-14.8509;35.2973;Song, Call
41466;Plocepasser;mahali;White-browed Sparrow-Weaver;;Derek Solomon;Zambia;South Luangwa National Park Lodge;-13.0667;31.7834;Call
45109;Plocepasser;mahali;White-browed Sparrow-Weaver;;Rory Nefdt;Ethiopia;Link Road to Langano;7.626;38.693;Call, Song
45642;Plocepasser;mahali;White-browed Sparrow-Weaver;;Derek Solomon;Botswana;Mashatu Game Reserve;-22.1778;29.1617;Call
56561;Plocepasser;mahali;White-browed Sparrow-Weaver;melanorhynchus;Mike Nelson;Kenya;Kilaguni Safri Lodge, Tsavo West National Park, Kenya;-2.905;38.063;Call
56562;Plocepasser;mahali;White-browed Sparrow-Weaver;melanorhynchos;Mike Nelson;Kenya;Samburu Lodge, Samburu National Park, Kenya;0.579;37.54;Call/Song
58505;Plocepasser;mahali;White-browed Sparrow-Weaver;mahali;Charles Hesse;Namibia;Avis Dam, Windhoek;-22.573973;17.128608;Calls
58666;Plocepasser;mahali;White-browed Sparrow-Weaver;ansorgei;Charles Hesse;Namibia;Namutoni;-18.812;16.939;Alarm calls in response to playback of screech-owl calls
73413;Plocepasser;mahali;White-browed Sparrow-Weaver;;James Bradley;Kenya;Sagala Lodge, Tsavo West;-3.457;38.618;calls
84310;Plocepasser;mahali;White-browed Sparrow-Weaver;;Derek Solomon;Zambia;South Luangwa National Park Wamilombe;-13.0501;31.7667;Call
