190;Psarocolius;bifasciatus;Olive Oropendola;;Bob Planqué;Peru;Sachavacayoc Lodge, Tambopata;-12.856;-69.362;song
2531;Psarocolius;bifasciatus;Olive Oropendola;;Sjoerd Mayer;Bolivia;Sajta, Cochabamba;-17.1;-64.75;Song
2847;Psarocolius;bifasciatus;Olive Oropendola;;A. Bennett Hennessey;Bolivia;Serranía Pilón, Pilón Lajas Biosphere Reserve, Beni;-15.117;-67.133;Song.
3006;Psarocolius;bifasciatus;Olive Oropendola;;A. Bennett Hennessey;Bolivia;Hotel El Puente, Villa Tunari, Cochabamba;-17.01;-65.4;Song
3009;Psarocolius;bifasciatus;Olive Oropendola;;A. Bennett Hennessey;Bolivia;Hotel El Puente, Villa Tunari, Cochabamba;-17.01;-65.4;Calls. Song
9074;Psarocolius;bifasciatus;Olive Oropendola;bifasciatus;Sidnei de Melo Dantas;Brazil;Tucuruí dam, right margin of the lake, state of Pará;-4.2327;-49.41194;song, calls
28241;Psarocolius;bifasciatus;Olive Oropendola;;Sidnei dantas;Brazil;Novo Progresso, state of Pará;-7.1501;-55.4834;song
35396;Psarocolius;bifasciatus;Olive Oropendola;yuracares;David Geale;Peru;Pantiacolla Lodge, Manu, Madre de Dios;-12.6601;-71.242;Song
38448;Psarocolius;bifasciatus;Olive Oropendola;;Andrew Spencer;Brazil;Cristalino Jungle Lodge, MT;-9.5981;-55.932;song
38449;Psarocolius;bifasciatus;Olive Oropendola;;Andrew Spencer;Brazil;Cristalino Jungle Lodge, MT;-9.5981;-55.932;song
63943;Psarocolius;bifasciatus;Olive Oropendola;;Joseph Tobias and Nathalie Seddon;Bolivia;Noel Kempff Mercado National Park, Los Fierros;;;song
63944;Psarocolius;bifasciatus;Olive Oropendola;;Joseph Tobias and Nathalie Seddon;Bolivia;Noel Kempff Mercado National Park, Huanchaca Dos;;;song
85912;Psarocolius;bifasciatus;Olive Oropendola;;Nargila Moura;Brazil;Paragominas, PA, Brazil, Bacia 443;-3.4284;-46.967;call
91661;Psarocolius;bifasciatus;Olive Oropendola;yuracares;Daniel Lane;Peru;Portillo, S of Iberia, Madre de Dios;-11.476;-69.519;song
95355;Psarocolius;bifasciatus;Olive Oropendola;bifasciatus;Alexander Lees;Brazil;left bank Rio Guama, Com. Menino Jesus;-1.4951;-48.3078;song, calls
