5084;Psarocolius;viridis;Green Oropendola;;Nick Athanas;Brazil;Km63 road off BR-174 north of Manaus, AM;-2.4037;-60.01;song/call
9232;Psarocolius;viridis;Green Oropendola;;Allen T. Chartier;Venezuela;5km west of San Isidro, Bolivar;6.1501;-61.4706;Song
11786;Psarocolius;viridis;Green Oropendola;;Olivier Claessens;French Guiana;Saint-Eugène, Petit Saut lake;;;song, calls
11787;Psarocolius;viridis;Green Oropendola;;Olivier Claessens;French Guiana;camp Aïmara, Trinité Nature Reserve;4.6728;-53.2767;song and wing-drumming
16638;Psarocolius;viridis;Green Oropendola;;Charlie Vogt;Ecuador;Yachana forest reserve, 17km SE Loreto, Napo Province;;;song
16639;Psarocolius;viridis;Green Oropendola;;Charlie Vogt;Ecuador;Yachana forest reserve, 17km SE Loreto, Napo Province;;;call
17213;Psarocolius;viridis;Green Oropendola;;Andrew Spencer;Ecuador;Yasuní Research Station, Parque Nacional Yasuní, Orellana;-0.6742;-76.3978;song
22243;Psarocolius;viridis;Green Oropendola;;Andrew Spencer;Venezuela;Paraitepui, Bolivar;;;song
27893;Psarocolius;viridis;Green Oropendola;;David Edwards;Venezuela;Rio Grande, Sierra de Imataca, Bolivar;8.1101;-61.6714;song
34384;Psarocolius;viridis;Green Oropendola;;David Geale;Peru;Sabalillo, Loreto;-3.36611;-72.28917;Call
44064;Psarocolius;viridis;Green Oropendola;;Alexandre Renaudier;French Guiana;Mana, piste ONF Dardanelles;5.649811;-53.814468;song, wing noise and calls at colony
44165;Psarocolius;viridis;Green Oropendola;;Alexandre Renaudier;French Guiana;Reserve Naturelle de la Trinite;;;song
44665;Psarocolius;viridis;Green Oropendola;;Sidnei Dantas;Brazil;Serra dos Carajás, PA;-6.1603;-50.3459;song
57116;Psarocolius;viridis;Green Oropendola;;Patrick INGREMEAU;French Guiana;Montagne de Kaw - Roura;;;Song with wings beats
57218;Psarocolius;viridis;Green Oropendola;;Patrick INGREMEAU;French Guiana;Montagne de Kaw - Roura;;;'nose' calls
57219;Psarocolius;viridis;Green Oropendola;;Patrick INGREMEAU;French Guiana;Montagne de Kaw - Roura;;;calls, song
58412;Psarocolius;viridis;Green Oropendola;;Gabriela Navarrete Forero;Colombia;Ome Ecological Station, Purite River, Amazonas dep. 70 Km N of Leticia;;;song
58413;Psarocolius;viridis;Green Oropendola;;Gabriela Navarrete Forero;Colombia;Ome Ecological Station, Purite River, Amazonas dep. 70 Km N of Leticia;;;song
65209;Psarocolius;viridis;Green Oropendola;;Alexandre Renaudier;French Guiana;Régina, grande Montagne tortue Bélizon;4.31667;-52.1333;calls
74130;Psarocolius;viridis;Green Oropendola;;Joseph Tobias and Nathalie Seddon;Bolivia;Piedritas, Pando, BO;-9.968805556;-65.37122222;song
74131;Psarocolius;viridis;Green Oropendola;;Joseph Tobias and Nathalie Seddon;Bolivia;Piedritas, Pando, BO;-9.968805556;-65.37122222;song
74904;Psarocolius;viridis;Green Oropendola;;Daniel Lane;Suriname;Foengoe Island, Coppename River;4.725;-56.206;song
87934;Psarocolius;viridis;Green Oropendola;;Nargila Moura;Brazil;Paragominas, PA, Brazil, Bacia 423;-3.519;-47.504;song
