2396;Saltator;grossus;Slate-colored Grosbeak;;Sjoerd Mayer;Bolivia;Km 6 on road to Warnes, Riberalta, Beni;-10.983;-66.05;Song
2397;Saltator;grossus;Slate-colored Grosbeak;;Sjoerd Mayer;Bolivia;Km 6 on road to Warnes, Riberalta, Beni;-10.983;-66.05;Alarm calls. Song. Also the sharp calls.
3147;Saltator;grossus;Slate-colored Grosbeak;;A. Bennett Hennessey;Bolivia;Serranía Cuchilla, Pilón Lajas Biosphere Reserve, Beni;-15.25;-67.167;Song. Calls
6114;Saltator;grossus;Slate-colored Grosbeak;;Otte Ottema;Suriname;Bakhuys mountains;4.7301;-56.7701;song
6223;Saltator;grossus;Slate-colored Grosbeak;grossus;Chris Parrish;Venezuela;Rio Grande, Sierra de Imataca, Bolívar;8.1101;-61.6714;Song.
6643;Saltator;grossus;Slate-colored Grosbeak;saturatus;Nick Athanas;Ecuador;Finca Cuatro Rios, San Miguel de Los Bancos, Pichincha;0.0742;-78.9817;song
8051;Saltator;grossus;Slate-colored Grosbeak;saturatus;Nick Athanas;Ecuador;10km northwest of Alto Tambo, Esmeraldas;0.9834;-78.5167;call/song
8067;Saltator;grossus;Slate-colored Grosbeak;grossus;Nick Athanas;Ecuador;Yarina Lodge, Rio Napo, Orellana;-0.4667;-76.8334;song
8734;Saltator;grossus;Slate-colored Grosbeak;;Herman van Oosten;Peru;Between Imazita and Pedro Ruiz, Amazonas;;;song
9369;Saltator;grossus;Slate-colored Grosbeak;;Allen T. Chartier;Ecuador;La Selva Lodge, Sucumbios/Napo;-0.4;-76.333;Song
9370;Saltator;grossus;Slate-colored Grosbeak;;Allen T. Chartier;Ecuador;La Selva Lodge, Sucumbios/Napo;-0.4;-76.333;Song
10720;Saltator;grossus;Slate-colored Grosbeak;;Hernan Arias;Colombia;RNA El Paujil, Serrania de las Quinchas,Santander, Colombia;5.9334;-74.1834;song
11177;Saltator;grossus;Slate-colored Grosbeak;;Tom Will;Nicaragua;La Lupe;11.1706;-84.2342;song
11352;Saltator;grossus;Slate-colored Grosbeak;;Todd Mark;Peru;near Alto Dorado, Rio San Francisco drainage, Cajamarca;-4.9548;-78.9792;
13219;Saltator;grossus;Slate-colored Grosbeak;saturatus;Roger Ahlman;Ecuador;Lita, Imbabura;0.8667;-78.4667;song
18668;Saltator;grossus;Slate-colored Grosbeak;;Ken Allaire;Panama;Burbayar Lodge, Nusagandi, Panama;9.3334;-78.9667;call
18670;Saltator;grossus;Slate-colored Grosbeak;;Ken Allaire;Panama;Burbayar Lodge, Nusagandi, Panama;9.3334;-78.9667;song
20918;Saltator;grossus;Slate-colored Grosbeak;;Tomas Sigrist;Brazil;Fazenda Fartura, Municipio de Santana do Araguaia, Pará;-9.29722;-50.10194;song
22679;Saltator;grossus;Slate-colored Grosbeak;;Olivier Claessens;French Guiana;crique Limonade amont, Saül;3.5834;-53.2167;song and call
24452;Saltator;grossus;Slate-colored Grosbeak;saturatus;Roger Ahlman;Ecuador;Humedal del Yalare, Esmeraldas;1.1001;-78.8501;song
24453;Saltator;grossus;Slate-colored Grosbeak;;Roger Ahlman;Ecuador;Humedal del Yalare, Esmeraldas;1.1001;-78.8501;call
26937;Saltator;grossus;Slate-colored Grosbeak;;Thomas Donegan;Colombia;Cerro de la Paz, nr. Serrania de los Yariguies, mun. Zapatoca Santande;6.9834;-73.4334;Song
27833;Saltator;grossus;Slate-colored Grosbeak;;David Edwards;Peru;Yanachaga Chemillen;-10.40417;-75.31056;song
27918;Saltator;grossus;Slate-colored Grosbeak;;David Edwards;Venezuela;Caura Forest;;;song
31914;Saltator;grossus;Slate-colored Grosbeak;;Andrew Spencer;Panama;Pipeline Road, Colon;9.1667;-79.7667;call
31994;Saltator;grossus;Slate-colored Grosbeak;;Bradley Davis;Brazil;Pousada Rio Azul, PA;-9.2456;-55.987;song
34531;Saltator;grossus;Slate-colored Grosbeak;grossus;Nick Athanas;Brazil;Serra dos Carajás, PA;-6.1603;-50.3459;song
35145;Saltator;grossus;Slate-colored Grosbeak;saturatus;Nick Athanas;Ecuador;Milpe, Pichincha;0.0287;-78.8628;song
36419;Saltator;grossus;Slate-colored Grosbeak;grossus;Charlie Vogt;Ecuador;El Progreso 10km N Zumba, Zamora-Chinchipe;;;song
39819;Saltator;grossus;Slate-colored Grosbeak;grossus;David Geale;Peru;Pantiacolla Lodge, Manu, Madre de Dios;-12.6601;-71.242;Song
56128;Saltator;grossus;Slate-colored Grosbeak;;Patrick INGREMEAU;French Guiana;Montagne de Fer - Mana;;;song
56129;Saltator;grossus;Slate-colored Grosbeak;;Patrick INGREMEAU;French Guiana;Route de Kaw - Roura;;;song
57227;Saltator;grossus;Slate-colored Grosbeak;;Patrick INGREMEAU;French Guiana;Montagne de Kaw - Roura;;;Song
71257;Saltator;grossus;Slate-colored Grosbeak;;Daniel Lane;Ecuador;17km NW Pedro Vicente Maldonado, Pichincha;0.136;-79.134;call
64153;Saltator;grossus;Slate-colored Grosbeak;;Joseph Tobias and Nathalie Seddon;Peru;Pantiacolla Lodge, Madre de Dios, Peru;-12.6601;-71.2398;song
64154;Saltator;grossus;Slate-colored Grosbeak;;Joseph Tobias and Nathalie Seddon;Peru;Cocha Cashu Biological Station, Manu National Park;-11.8667;-71.3667;song
64155;Saltator;grossus;Slate-colored Grosbeak;;Joseph Tobias and Nathalie Seddon;Peru;Cocha Cashu Biological Station, Manu National Park;-11.8667;-71.3667;song
64156;Saltator;grossus;Slate-colored Grosbeak;;Joseph Tobias and Nathalie Seddon;Bolivia;Noel Kempff Mercado National Park, Lago Caiman;;;song
64157;Saltator;grossus;Slate-colored Grosbeak;;Joseph Tobias and Nathalie Seddon;Ecuador;Bilsa Research Station;;;song
64158;Saltator;grossus;Slate-colored Grosbeak;;Joseph Tobias and Nathalie Seddon;Bolivia;Noel Kempff Mercado National Park, Lago Caiman;;;song
65233;Saltator;grossus;Slate-colored Grosbeak;;Alexandre Renaudier;French Guiana;Régina, grande Montagne tortue Bélizon;4.31667;-52.1333;song and call
