26395;Sporophila;cinnamomea;Chestnut Seedeater;;Fernando Jacobs;Brazil;Rio Grande do Sul;;;calls
41806;Sporophila;cinnamomea;Chestnut Seedeater;;Adrian Eisen Rupp;Brazil;Bom Jardim da Serra, Santa Catarina;-28.4673;-49.6125;call
47162;Sporophila;cinnamomea;Chestnut Seedeater;;Bernabe Lopez-Lanus;Argentina;Estancia Las Cruces, Perdices, Entre Rios;;;Song
47164;Sporophila;cinnamomea;Chestnut Seedeater;;Bernabe Lopez-Lanus;Argentina;Estancia Las Cruces, Perdices, Entre Rios;;;Call
49694;Sporophila;cinnamomea;Chestnut Seedeater;;Rosendo Fraga;Uruguay;Cerca de San Javier, Rio Negro;;;song
49695;Sporophila;cinnamomea;Chestnut Seedeater;;Rosendo Fraga;Uruguay;Cerca de San Javier, Rio Negro;;;song
49696;Sporophila;cinnamomea;Chestnut Seedeater;;Rosendo Fraga;Uruguay;Soriano, Rio Negro;;;song
49697;Sporophila;cinnamomea;Chestnut Seedeater;;Rosendo Fraga;Uruguay;Soriano, Rio Negro;;;song
49698;Sporophila;cinnamomea;Chestnut Seedeater;;Rosendo Fraga;Uruguay;Soriano, Rio Negro;;;song
51907;Sporophila;cinnamomea;Chestnut Seedeater;;Bernabe Lopez-Lanus;Argentina;Las Cruces, Gualeguaychu, Entre Rios;;;song
51908;Sporophila;cinnamomea;Chestnut Seedeater;;Bernabe Lopez-Lanus;Argentina;Gualeguaychu, Entre Rios;-33.014997;-58.51902;song
51909;Sporophila;cinnamomea;Chestnut Seedeater;;Bernabe Lopez-Lanus;Argentina;Gualeguaychu, Entre Rios;-33.014997;-58.51902;song
61758;Sporophila;cinnamomea;Chestnut Seedeater;;Sofia Wasylyk;Argentina;Ceibas, Entre RIos;;;song
65741;Sporophila;cinnamomea;Chestnut Seedeater;;Alvaro Riccetto;Uruguay;La Lorencita,Lavalleja;;;song
