571;Sporophila;leucoptera;White-bellied Seedeater;;Carlos Candia-Gallardo;Brazil;Lorena, Sao Paolo State;-22.884512;-45.42572;song
2445;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Hamburgo, Riberalta, Beni;-11.0167;-66.1001;Song
2590;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Buena Vista, Santa Cruz;-17.468;-63.661;Song
2749;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Near Trinidad, along the road to Santa Cruz, Beni;-14.9167;-64.7501;Song
2762;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Near Trinidad, along the road to Santa Cruz, Beni;-14.9167;-64.7501;Song
2766;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Near Trinidad, along the road to Santa Cruz, Beni;-14.9167;-64.7501;Song
2768;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Near Trinidad, along the road to Santa Cruz, Beni;-14.9167;-64.7501;Song
2787;Sporophila;leucoptera;White-bellied Seedeater;;Sjoerd Mayer;Bolivia;Near Trinidad, along the road to Santa Cruz, Beni;-14.917;-64.75;Partial song.
2999;Sporophila;leucoptera;White-bellied Seedeater;;A. Bennett Hennessey;Bolivia;Santa Rosa. at km 5 along road to Riberalta, Beni;-14.033;-66.817;Song
4873;Sporophila;leucoptera;White-bellied Seedeater;;Sidnei de Melo Dantas;Brazil;Engenho Cachoeira Linda, Barreiros, Pernambuco;-8.8173;-35.4773;calls
7406;Sporophila;leucoptera;White-bellied Seedeater;;Glauco Alves Pereira;Brazil;Engenho Opinioso, Amaraji, Pernambuco;-8.385091;-35.44138;Song
10231;Sporophila;leucoptera;White-bellied Seedeater;;Luiz Fernando Figueiredo;Brazil;Joanópolis, SP;;;song
12852;Sporophila;leucoptera;White-bellied Seedeater;;Leonardo Pimentel;Brazil;Reserva Ecológica de Guapiaçu, RJ;-22.5001;-42.7167;Song
15834;Sporophila;leucoptera;White-bellied Seedeater;;Leonardo Pimentel;Brazil;Reserva Ecológica de Guapiaçu, RJ;-22.5001;-42.7167;Call
16618;Sporophila;leucoptera;White-bellied Seedeater;leucoptera;Nick Athanas;Brazil;Coxipó do Ouro Road near Cuiabá, MT;-15.4681;-56.0209;song
18587;Sporophila;leucoptera;White-bellied Seedeater;;Francisco Ferreira de Miranda Santos;Brazil;Centro Olimpico da UnB(CEO), Brasilia University;;;song
54092;Sporophila;leucoptera;White-bellied Seedeater;;Fabricio Gorleri;Argentina;Establecimiento Los Picasos, Tres Marias, Formosa;;;song
75676;Sporophila;leucoptera;White-bellied Seedeater;leucoptera;Daniel Lane;Brazil;S Pocone on Transpantaneira, Mato Grosso;-16.581;-56.745;song, call, warble intro
75677;Sporophila;leucoptera;White-bellied Seedeater;leucoptera;Daniel Lane;Brazil;S Pocone on Transpantaneira, Mato Grosso;-16.581;-56.745;song
84493;Sporophila;leucoptera;White-bellied Seedeater;cinereola;Jeremy Minns;Brazil;Chapada Diamantina. Pai Inácio/Lençois trail;-12.5167;-41.4167;Calls
84727;Sporophila;leucoptera;White-bellied Seedeater;leucoptera;Jeremy Minns;Brazil;Aquidauana;-20.4834;-55.8167;Song
84728;Sporophila;leucoptera;White-bellied Seedeater;cinereola;Jeremy Minns;Brazil;Perequê - Angra dos Reis - RJ;-23.012;-44.5351;Call and song
84729;Sporophila;leucoptera;White-bellied Seedeater;cinereola;Jeremy Minns;Brazil;Murici, Alagoas;-9.3001;-35.9334;Song
84730;Sporophila;leucoptera;White-bellied Seedeater;cinereola;Jeremy Minns;Brazil;Cunha. Sítio Paraitinga;-23.0501;-45.1167;Song
84731;Sporophila;leucoptera;White-bellied Seedeater;cinereola;Jeremy Minns;Brazil;Jaqueira Private Reserve, State of Pernambuco;-8.72667;-35.79333;Song
84732;Sporophila;leucoptera;White-bellied Seedeater;leucoptera;Jeremy Minns;Brazil;Passo do Lontra, Pantanal de Miranda, MS;-19.26667;-57.01667;Song
95561;Sporophila;leucoptera;White-bellied Seedeater;;Bernabe Lopez-Lanus;Argentina;Laguna Garcia (Reserva Biosfera Laguna de Oca), ciudad de Formosa, Formosa;-26.227;-58.1859;Call
95562;Sporophila;leucoptera;White-bellied Seedeater;;Bernabe Lopez-Lanus;Argentina;Laguna Garcia (Reserva Biosfera Laguna de Oca), ciudad de Formosa, Formosa;-26.227;-58.1859;Call
95563;Sporophila;leucoptera;White-bellied Seedeater;;Bernabe Lopez-Lanus;Argentina;Laguna Garcia (Reserva Biosfera Laguna de Oca), ciudad de Formosa, Formosa;-26.227;-58.1859;Call
96270;Sporophila;leucoptera;White-bellied Seedeater;;Robson Silva e Silva;Brazil;Tapira, Minas Gerais State;-19.922;-46.8231;Song
