17868;Sporophila;palustris;Marsh Seedeater;;Alvaro Riccetto;Uruguay;Ruta 14,cerca de Lascano,Rocha;;;song
17997;Sporophila;palustris;Marsh Seedeater;;Fernando Jacobs;Brazil;Estância Santa Maria - Jaguarão, Rio Grande do Sul;-32.4545;-53.0964;calls and serie calls
42440;Sporophila;palustris;Marsh Seedeater;;Rafael Antunes Dias;Brazil;Estância Leões, Dom Pedrito, Rio Grande do Sul;-30.975;-54.502;Song
45248;Sporophila;palustris;Marsh Seedeater;;Sofia Wasylyk;Argentina;Norte de la provincia de Corrientes;;;Song
47161;Sporophila;palustris;Marsh Seedeater;;Bernabe Lopez-Lanus;Argentina;Estancia El Potrero (alrededores Puerto Unzue), Gualeguaychu, Entre Rios;;;Song
49707;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Ruta 39, Corrientes;;;song
49708;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Ruta 39, Corrientes;;;song
49709;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Ruta 39, Corrientes;;;song
49710;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Alvear, Corrientes;;;song
49711;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Alvear, Corrientes;;;song
49712;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Alvear, Corrientes;;;song
49713;Sporophila;palustris;Marsh Seedeater;;Rosendo Fraga;Argentina;Alvear, Corrientes;;;song
51931;Sporophila;palustris;Marsh Seedeater;;Bernabe Lopez-Lanus;Argentina;Las Cruces, Gualeguaychu, Entre Rios;;;song
51932;Sporophila;palustris;Marsh Seedeater;;Bernabe Lopez-Lanus;Argentina;Las Cruces, Gualeguaychu, Entre Rios;;;song
51933;Sporophila;palustris;Marsh Seedeater;;Bernabe Lopez-Lanus;Argentina;Puerto Boca, Gualeguaychu, Entre Rios;;;song
51934;Sporophila;palustris;Marsh Seedeater;;Bernabe Lopez-Lanus;Argentina;Puerto Boca, Gualeguaychu, Entre Rios;;;song
78147;Sporophila;palustris;Marsh Seedeater;;Rafael Antunes Dias;Brazil;Banhado do Maçarico, Rio Grande, Rio Grande do Sul;-32.316;-52.422;call
82546;Sporophila;palustris;Marsh Seedeater;;Christian Borges Andretti;Brazil;Banhado do Maçarico, Rio Grande, Rio Grande do Sul;-32.316;-52.422;call
84742;Sporophila;palustris;Marsh Seedeater;;Jeremy Minns;Argentina;Santo Tome, Corrientes;-28.3667;-56.1334;Song and calls
94481;Sporophila;palustris;Marsh Seedeater;;Rafael Antunes Dias;Brazil;Banhado do Maçarico region, Rio Grande, Rio Grande do Sul;-32.519;-52.477;song
