19372;Stachyris;strialata;Spot-necked Babbler;;Craig Robson;Thailand;Kaeng Krachan;12.9;99.6;song
23122;Stachyris;strialata;Spot-necked Babbler;striolata;George Wagner;Indonesia;Tapan Road, West Sumatra, Sumatra;-2.0498;101.3073;calls
35759;Stachyris;strialata;Spot-necked Babbler;;Arnold Meijer;Vietnam;Tam Dao;21.4834;105.6334;song
40945;Stachyris;strialata;Spot-necked Babbler;;Brian Cox;Vietnam;Tam Dao;21.4834;105.6334;song
42519;Stachyris;strialata;Spot-necked Babbler;;George Wagner;Thailand;Kaeng Krachan National Park;12.9;99.6;Calls
56550;Stachyris;strialata;Spot-necked Babbler;;David Edwards;Vietnam;Tam Dao;21.4834;105.6334;song
56551;Stachyris;strialata;Spot-necked Babbler;;David Edwards;Vietnam;Tam Dao;21.4834;105.6334;song
69523;Stachyris;strialata;Spot-necked Babbler;;Frank Lambert;Vietnam;Ho Ke Go;18.07;105.97;song
69524;Stachyris;strialata;Spot-necked Babbler;;Frank Lambert;Vietnam;Ho Ke Go;18.07;105.97;call
69525;Stachyris;strialata;Spot-necked Babbler;;Frank Lambert;Vietnam;Ho Ke Go;18.07;105.97;call
69526;Stachyris;strialata;Spot-necked Babbler;;Frank Lambert;Vietnam;Ho Ke Go;18.07;105.97;call
69527;Stachyris;strialata;Spot-necked Babbler;;Frank Lambert;Vietnam;Tam Dao;21.5;105.6;call
92669;Stachyris;strialata;Spot-necked Babbler;;David Edwards;Vietnam;Bach Ma;16.2;107.86667;song
92670;Stachyris;strialata;Spot-necked Babbler;;David Edwards;Vietnam;Tam Dao;21.4834;105.6334;calls
