24722;Sylvia;undata;Dartford Warbler;dartfordiensis;Stuart Fisher;United Kingdom;Horsell, Surrey, England;51.337;-0.5595;calls  and  chatter
28599;Sylvia;undata;Dartford Warbler;dartfordiensis;Stuart Fisher;United Kingdom;Horsell, Surrey, England;51.337;-0.5595;calls
35971;Sylvia;undata;Dartford Warbler;;Jordi Calvet;Spain;Serra de Rubió, Anoia, Catalunya;41.6584;1.6148;call
46356;Sylvia;undata;Dartford Warbler;;Simone balbo;Italy;Padru (OT) Sardinia;40.7667;9.5167;calls
54111;Sylvia;undata;Dartford Warbler;;Marco Dragonetti;Italy;Orbetello lagoon, Orbetello;42.4862;11.2017;call
54914;Sylvia;undata;Dartford Warbler;undata;manuel Grosselet;Spain;North of Aspa;41.525;0.687;song
76050;Sylvia;undata;Dartford Warbler;;Jordi Calvet;Spain;Can Estruc, Esparreguera, Catalunya;41.572;1.854;call
76865;Sylvia;undata;Dartford Warbler;;Marco Dragonetti;Italy;Cala Moresca, Monte Argentario, Grosseto;42.4209;11.0951;call
76866;Sylvia;undata;Dartford Warbler;;Marco Dragonetti;Italy;Cala Moresca, Monte Argentario, Grosseto;42.4209;11.0951;song
91883;Sylvia;undata;Dartford Warbler;;Jordi Calvet;Spain;Coves Salnitre,Collbató,Catalunya;41.577;1.847;call and song
