7208;Tangara;arthus;Golden Tanager;arthus;Nick Athanas;Venezuela;Parque Nacional Yacambú, Lara;9.7031;-69.6048;call
10995;Tangara;arthus;Golden Tanager;;Todd Mark;Peru;Caserio Sabanas, Rio Sta. Agueda drainage, Cajamarca;-4.8834;-78.8531;calls
12358;Tangara;arthus;Golden Tanager;;Oscar Laverde;Colombia;Ricaurte, RN La Planada, Narino;1.0834;-77.8834;song
14827;Tangara;arthus;Golden Tanager;arthus;Andrew Spencer;Venezuela;Rancho Grande, Parque Nacional Henri Pittier, Aragua;10.3492;-67.6851;calls
16570;Tangara;arthus;Golden Tanager;;Frank Lambert;Colombia;RNA Hormiguero de Torcoroma, Ocaña, Norte de Santander;8.2031;-73.3798;
18245;Tangara;arthus;Golden Tanager;;Herman van Oosten;Colombia;Finca Costa Rica, Amalfi, Antioquia;;;calls
20540;Tangara;arthus;Golden Tanager;;Thomas Donegan;Colombia;Ocaña, Agua de la Virgen, Cerro de la virgen, Norte de Santander;8.2167;-73.4001;Calls
27300;Tangara;arthus;Golden Tanager;;Oswaldo Cortes;Colombia;Ibague (Clarita Botero);;;SONGS
30256;Tangara;arthus;Golden Tanager;occidentalis;Andrew Spencer;Colombia;El 18, Valle del Cauca;3.4853;-76.6178;call
30826;Tangara;arthus;Golden Tanager;;Thomas Donegan;Colombia;La Luchata, above Galan, Serrania de los Yariguies, Santander;6.6292;-73.3151;Call
30847;Tangara;arthus;Golden Tanager;;Thomas Donegan;Colombia;La Luchata, above Galan, Serrania de los Yariguies, Santander;6.6292;-73.3151;Calls
38849;Tangara;arthus;Golden Tanager;;Oswaldo Cortes;Colombia;FARALLON DE MEDINA;4.5834;-73.4834;Songs
62181;Tangara;arthus;Golden Tanager;;Willem-Pier Vellinga;Peru;Camino Shueller, Yulitunqui, Pozuzo, Pasco;-10.1682913392949;-75.5791568756104;call
97890;Tangara;arthus;Golden Tanager;aequatorialis;Randy Vickers;Ecuador;Mindo, Pichincha;-0.0523;-78.7764;chatter?
98095;Tangara;arthus;Golden Tanager;aequatorialis;Tayler Brooks;Ecuador;Wildsumaco, 5km NW Guagua Sumaco, Napo;-0.6873;-77.5992;Call
