322;Turdus;grayi;Clay-colored Thrush;;Jorgen Peter Kjeldsen;Nicaragua;El Chocoyero, Ticuantepe, Managua;12.005482;-86.24339;song
321;Turdus;grayi;Clay-colored Thrush;;Jorgen Peter Kjeldsen;Nicaragua;La Cañada, Monte Tabor, Managua;12.051144;-86.34721;call
578;Turdus;grayi;Clay-colored Thrush;;Dan Mennill;Costa Rica;Santa Rosa National Park;10.67;-85.5;song
1092;Turdus;grayi;Clay-colored Thrush;;Robin Carter;Costa Rica;Rancho Naturalista;9.832;-83.5639;song
1093;Turdus;grayi;Clay-colored Thrush;;Robin Carter;Costa Rica;Rancho Naturalista;9.832;-83.5639;song
1094;Turdus;grayi;Clay-colored Thrush;;Robin Carter;Panama;El Valle de Anton, Cocle;8.6001;-80.1251;song
6953;Turdus;grayi;Clay-colored Thrush;;Ken Allaire;Panama;Ammo Dump Ponds;9.123962;-79.71036;song
9072;Turdus;grayi;Clay-colored Thrush;;Allen T. Chartier;Mexico;Tamaulipas, Rancho del Cielo;23.0998;-99.1942;Song
9686;Turdus;grayi;Clay-colored Thrush;;Allen T. Chartier;Mexico;Oaxaca, Oaxaca City;17.0684;-96.7195;Call
9687;Turdus;grayi;Clay-colored Thrush;;Allen T. Chartier;Mexico;Oaxaca, Oaxaca City;17.0684;-96.7195;Calls, song
11126;Turdus;grayi;Clay-colored Thrush;;Doug Knapp;Nicaragua;Managua/El Rama;12.1534;-86.2834;song
11127;Turdus;grayi;Clay-colored Thrush;;Doug Knapp;Nicaragua;Managua/El Rama;12.1534;-86.2834;song
28496;Turdus;grayi;Clay-colored Thrush;grayi;Daniel Lane;Belize;Rio Bravo Research Area, Orange Walk Dist.;17.777;-89.0114;song
28775;Turdus;grayi;Clay-colored Thrush;tamaulipensis;Daniel Lane;Mexico;Rancho Cielito, Tamaulipas;23.1162;-99.1414;calls
35997;Turdus;grayi;Clay-colored Thrush;tamaulipensis;Stuart Fisher;Mexico;Yucatan, Uxmal Ruins;20.3595;-89.7714;Song
40977;Turdus;grayi;Clay-colored Thrush;;Luis E. Vargas;Costa Rica;Santa Ana, San Jose, Costa Rica;;;Song
65681;Turdus;grayi;Clay-colored Thrush;casius;Daniel Lane;Costa Rica;Wilson Garden Research Station, Puntarenas Prov.;8.7851;-82.9645;song
65759;Turdus;grayi;Clay-colored Thrush;;Daniel Lane;Mexico;Hotel Mission los Angeles, Oaxaca City, Oaxaca;17.0739;-96.7228;call (two types)
65810;Turdus;grayi;Clay-colored Thrush;;manuel Grosselet;Mexico;MEX, Oax, oaxaca Jardin Botanico;17.067;-96.722;alarm call
72519;Turdus;grayi;Clay-colored Thrush;;Ryan P. O'Donnell;Costa Rica;San Jose;9.9834;-84.1334;Song
74246;Turdus;grayi;Clay-colored Thrush;;Ezekiel S. Jakub;Costa Rica;Universidad De Costa Rica;9.93699140315212;-84.0503890512628;Song
77118;Turdus;grayi;Clay-colored Thrush;grayi;Doug Knapp;Guatemala;Paraiso Azul;14.5262;-91.1667;Song
77119;Turdus;grayi;Clay-colored Thrush;grayi;Doug Knapp;Guatemala;Paraiso Azul;14.5262;-91.1667;Song
77120;Turdus;grayi;Clay-colored Thrush;grayi;Doug Knapp;Guatemala;Las Cumbres;14.5859;-90.4678;Call
77677;Turdus;grayi;Clay-colored Thrush;;Mary Beth Stowe;Belize;Lamanai Outpost Lodge;17.752;-88.652;Call
78591;Turdus;grayi;Clay-colored Thrush;;William Adsett;Panama;Altos del Torreón, Altos de Cerro Azul;9.166;-79.404;song
78592;Turdus;grayi;Clay-colored Thrush;;William Adsett;Panama;Altos del Torreón, Altos de Cerro Azul;9.166;-79.404;Call
79807;Turdus;grayi;Clay-colored Thrush;;Orlando Jarquín G.;Nicaragua;Somotillo, Chinandega.;;;Call
80597;Turdus;grayi;Clay-colored Thrush;;Orlando Jarquín G.;Nicaragua;Somotillo, Chinandega.;;;Song
87468;Turdus;grayi;Clay-colored Thrush;;Marco Leslie Lieurance;Panama;El Centinela, Los Altos de Cerro Azul;9.215;-79.396;begging calls
88987;Turdus;grayi;Clay-colored Thrush;;Steve Hampton;Nicaragua;Ciudad Dario, Matagalpa;12.731;-86.126;call
93641;Turdus;grayi;Clay-colored Thrush;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;Song
93647;Turdus;grayi;Clay-colored Thrush;;Tom Stevens;Costa Rica;TCU Research Station;10.2501;-84.5501;Song
