1907;Turdus;leucomelas;Pale-breasted Thrush;;Sjoerd Mayer;Bolivia;Las Gamas, Noel Kempff Mercado NP, Santa Cruz;-14.7167;-60.0501;Calls
5435;Turdus;leucomelas;Pale-breasted Thrush;;Richard C. Hoyer;Brazil;Vila Arara, Amazonas;-3.0151;-60.3998;song
5673;Turdus;leucomelas;Pale-breasted Thrush;;Don Jones;Argentina;Iguazu National Park, Misiones;-25.6667;-54.4167;Song
6516;Turdus;leucomelas;Pale-breasted Thrush;;Mauricio Cabral Periquito;Brazil;Praia do Gamela, Sirinhaém, Pernambuco;-8.6114;-35.0392;calls
6843;Turdus;leucomelas;Pale-breasted Thrush;;Mauricio Cabral Periquito;Brazil;Praia do Gamela, Sirinhaém, Pernambuco;-8.6114;-35.0392;song
7419;Turdus;leucomelas;Pale-breasted Thrush;;Glauco Alves Pereira;Brazil;Engenho Jussará, Gravatá, Pernambuco;-8.2834;-35.5834;Song
7716;Turdus;leucomelas;Pale-breasted Thrush;;Fernando Jacobs;Brazil;Figueiras - Pelotas, Rio Grande do Sul;-31.7184;-52.3276;calls
7713;Turdus;leucomelas;Pale-breasted Thrush;;Fernando Jacobs;Brazil;Figueiras - Pelotas, Rio Grande do Sul;-31.7184;-52.3276;song and calls
7777;Turdus;leucomelas;Pale-breasted Thrush;;João Menezes;Brazil;Eldorado, Mato Grosso do Sul state;-23.8501;-54.2537;Song
8386;Turdus;leucomelas;Pale-breasted Thrush;;Herman van Oosten;Peru;Morro de Calzada, San Martin;-6.0295;-77.0459;song
9252;Turdus;leucomelas;Pale-breasted Thrush;;Allen T. Chartier;Venezuela;Bolivar, Guasipati;7.4695;-61.8917;Song
11553;Turdus;leucomelas;Pale-breasted Thrush;albiventer;Nick Athanas;Brazil;Serra de Baturité, Ceará;-4.2334;-38.9167;call
11585;Turdus;leucomelas;Pale-breasted Thrush;albiventer;Nick Athanas;Brazil;Araripe National Forest, Crato, Ceará State;-7.2501;-39.5834;song
12216;Turdus;leucomelas;Pale-breasted Thrush;;Oscar Laverde;Colombia;La Playa de Belen, ANUC Los Estoraques, Sector Piritama, Norte de Santander;8.2167;-73.2334;song
14321;Turdus;leucomelas;Pale-breasted Thrush;;Paul Smith;Paraguay;PROCOSARA, PN San Rafael;-26.48333;-55.71667;harsh call
14735;Turdus;leucomelas;Pale-breasted Thrush;;Alberto Esquivel;Paraguay;PROCOSARA, PN San Rafael;-26.48333;-55.71667;
21982;Turdus;leucomelas;Pale-breasted Thrush;;Guilherme R R Brito;Brazil;Mata Azul district between Palmeirópolis and São Salvador do Tocanti;;;calls
21983;Turdus;leucomelas;Pale-breasted Thrush;;Guilherme R R Brito;Brazil;Mata Azul district between Palmeirópolis and São Salvador do Tocanti;;;song
22327;Turdus;leucomelas;Pale-breasted Thrush;;Teus Luijendijk;Brazil;Chapada dos Guimaraes, MT;-15.456327;-55.774841;song
23859;Turdus;leucomelas;Pale-breasted Thrush;;Renan Campos de Oliveira;Brazil;Embrapa Soja;-23.1839;-51.1848;Song
26149;Turdus;leucomelas;Pale-breasted Thrush;;Ricardo Gagliardi;Brazil;Reserva Ecológica de Guapiaçu, RJ;-22.5001;-42.7167;song
33568;Turdus;leucomelas;Pale-breasted Thrush;;Marcos Melo;Brazil;Bairro do Jaceguava, São Paulo, SP;-23.752501;-46.735334;calls
38855;Turdus;leucomelas;Pale-breasted Thrush;;Oswaldo Cortes;Colombia;FARALLON DE MEDINA;4.5834;-73.4834;Songs
39079;Turdus;leucomelas;Pale-breasted Thrush;;Nunes D´Acosta;Brazil;Cristalina, Goiás;-16.770686;-47.612;Vocalização
43181;Turdus;leucomelas;Pale-breasted Thrush;;Joe Klaiber;Venezuela;Altamira Edo Barinas;8.821126;-70.501328;song
43217;Turdus;leucomelas;Pale-breasted Thrush;;Paul Smith;Paraguay;Isla Yacyreta, Dep Misiones;-27.414443;-56.35849;
45980;Turdus;leucomelas;Pale-breasted Thrush;;Charlie Vogt;Guyana;Rock View Lodge, Annai, Guyana;;;call
45981;Turdus;leucomelas;Pale-breasted Thrush;;Charlie Vogt;Guyana;Rock View Lodge, Annai, Guyana;;;call
46139;Turdus;leucomelas;Pale-breasted Thrush;;Charlie Vogt;Guyana;Surama, Guyana;;;dawn song
46357;Turdus;leucomelas;Pale-breasted Thrush;;Leonardo R. Deconto;Brazil;Vila Campina da Alegria, Vargem Bonita - SC;;;call
46885;Turdus;leucomelas;Pale-breasted Thrush;leucomelas;Bernabe Lopez-Lanus;Argentina;Yacutinga Lodge, Andresito, Misiones;-25.716791;-54.414597;Alarm call
52187;Turdus;leucomelas;Pale-breasted Thrush;;Bernabe Lopez-Lanus;Argentina;Yacutinga Lodge, Andresito, Misiones;-25.716791;-54.414597;song
52188;Turdus;leucomelas;Pale-breasted Thrush;;Bernabe Lopez-Lanus;Argentina;Yacutinga Lodge, Andresito, Misiones;-25.716791;-54.414597;song
55888;Turdus;leucomelas;Pale-breasted Thrush;;Myriam Velazquez;Paraguay;Reserva Limoy, Alto Parana;;;song
55889;Turdus;leucomelas;Pale-breasted Thrush;;Myriam Velazquez;Paraguay;Reserva Arroyo Blanco-Las Ninas, Amambay;;;song
55890;Turdus;leucomelas;Pale-breasted Thrush;;Myriam Velazquez;Paraguay;Refugio Pykyry, Alto Parana;;;song
58362;Turdus;leucomelas;Pale-breasted Thrush;leucomelas;Bernabe Lopez-Lanus;Brazil;Parque Nacional Itatiaia (Hotel Simon), Rio de Janeiro;;;Call
58363;Turdus;leucomelas;Pale-breasted Thrush;leucomelas;Bernabe Lopez-Lanus;Brazil;Parque Nacional Itatiaia (Hotel Simon), Rio de Janeiro;;;Call
63017;Turdus;leucomelas;Pale-breasted Thrush;;Rodrigo Dela Rosa;Brazil;São josé dos Campos/SP;-23.135;-45.95;Song
64353;Turdus;leucomelas;Pale-breasted Thrush;;Joseph Tobias and Nathalie Seddon;Bolivia;Noel Kempff Mercado National Park, Huanchaca Dos;;;song
