419;Turdus;nigriceps;Andean Slaty Thrush;;John van der Woude;Bolivia;Siberia cloud forest;-17.841;-64.724;song
1724;Turdus;nigriceps;Andean Slaty Thrush;southern birds;Sjoerd Mayer;Bolivia;Cambari, Tariquia, Tarija;-22.15;-64.417;Song
3762;Turdus;nigriceps;Andean Slaty Thrush;;Rosendo Fraga;Argentina;Las Lajas, Catamarca;-27.8667;-65.7167;male songs
4035;Turdus;nigriceps;Andean Slaty Thrush;southern birds;Sebastian K. Herzog;Bolivia;Siberia, Santa Cruz;-17.8367;-64.7053;Song
4672;Turdus;nigriceps;Andean Slaty Thrush;;Aidan Maccormick;Bolivia;Tariquia, Los Pinos, Tarija;-21.9144444444444;-64.1772222222222;Song
4673;Turdus;nigriceps;Andean Slaty Thrush;;Aidan Maccormick;Bolivia;Tariquia, Los Pinos, Tarija;-21.9144444444444;-64.1772222222222;Call
4674;Turdus;nigriceps;Andean Slaty Thrush;;Aidan Maccormick;Bolivia;Tariquia, El Cajón, Tarija;-22;-64.48333;Call
5176;Turdus;nigriceps;Andean Slaty Thrush;;Willem-Pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;song
5568;Turdus;nigriceps;Andean Slaty Thrush;;Willem-Pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;song
8728;Turdus;nigriceps;Andean Slaty Thrush;nigriceps;Nick Athanas;Ecuador;Bosque Protector El Tundo, Sozoranga, Loja;-4.3328;-79.8006;call
8732;Turdus;nigriceps;Andean Slaty Thrush;;Willem-Pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;call
16109;Turdus;nigriceps;Andean Slaty Thrush;;Niels Krabbe;Bolivia;7 km n. Sopachuy (Chuquisaca);-19.4334;-64.4667;Calls
16304;Turdus;nigriceps;Andean Slaty Thrush;;Niels Krabbe;Argentina;Jujuy: Termas de Reyes, 17 km W Jujuy;-24.1834;-65.4667;simple song
19957;Turdus;nigriceps;Andean Slaty Thrush;nigriceps;Niels Krabbe;Bolivia;7 km N Sopachuy (Chuquisaca);-19.4334;-64.4667;subsong/song
32478;Turdus;nigriceps;Andean Slaty Thrush;;Niels Krabbe;Argentina;Jujuy: Termas de Reyes, 17 km W Jujuy;-24.1834;-65.4667;song
36231;Turdus;nigriceps;Andean Slaty Thrush;;Frank Lambert;Peru;Gocta, near Chachapoyas, Amazonas;-6.028835;-77.890749;calls
36232;Turdus;nigriceps;Andean Slaty Thrush;;Frank Lambert;Peru;Gocta, near Chachapoyas, Amazonas;-6.028835;-77.890749;calls
38630;Turdus;nigriceps;Andean Slaty Thrush;;Willem-pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;song
46919;Turdus;nigriceps;Andean Slaty Thrush;nigriceps;Bernabe Lopez-Lanus;Argentina;Sierra Chica, Villa Gral Belgrano, Calamuchita, Cordoba;;;Call
46918;Turdus;nigriceps;Andean Slaty Thrush;nigriceps;Bernabe Lopez-Lanus;Argentina;Serrania de Acambuco (camino al pozo Tuyunti), Tartagal, Salta;;;Song
49980;Turdus;nigriceps;Andean Slaty Thrush;;Rosendo Fraga;Argentina;Cornisa Road, Salta-Jujuy;;;song
49981;Turdus;nigriceps;Andean Slaty Thrush;;Rosendo Fraga;Argentina;Quebrada del Gallinato, Salta;;;song
49982;Turdus;nigriceps;Andean Slaty Thrush;;Rosendo Fraga;Argentina;Virasoro, Corrientes;;;call
52199;Turdus;nigriceps;Andean Slaty Thrush;;Bernabe Lopez-Lanus;Argentina;Villa General Belgrano, Cordoba;;;song
52200;Turdus;nigriceps;Andean Slaty Thrush;;Bernabe Lopez-Lanus;Argentina;Acambuco, Tartagal, Salta;-22.193127;-63.94455;song
52201;Turdus;nigriceps;Andean Slaty Thrush;;Bernabe Lopez-Lanus;Argentina;Tuyunti, Acambuco, Salta;;;song
52202;Turdus;nigriceps;Andean Slaty Thrush;;Bernabe Lopez-Lanus;Argentina;Tuyunti, Acambuco, Salta;;;song
52203;Turdus;nigriceps;Andean Slaty Thrush;;Bernabe Lopez-Lanus;Argentina;Acambuco, Tartagal, Salta;-22.193127;-63.94455;song
55892;Turdus;nigriceps;Andean Slaty Thrush;;Myriam Velazquez;Paraguay;Refugio Pykyry, Alo Parana;;;song
60935;Turdus;nigriceps;Andean Slaty Thrush;;Miguel Castelino;Argentina;PN Calilegua, Jujuy;;;song
62877;Turdus;nigriceps;Andean Slaty Thrush;subalaris;Frederico Pereira;Brazil;nova lima, brasil;;;song and call
76347;Turdus;nigriceps;Andean Slaty Thrush;;Roger Ahlman;Peru;ECOAN Lodge, Abra Patricia, San Martin;-5.6712;-77.7587;call
89913;Turdus;nigriceps;Andean Slaty Thrush;;Frank Lambert;Bolivia;SerroDeSiberia (above Comarapa);;;calls
