34030;Turdus;pelios;African Thrush;chiguancoides;Ole Jakobsen and Niels Krabbe;Gambia;Abuko Nature Reserve;13.3951;-16.6462;song
72879;Turdus;pelios;African Thrush;centralis;James Bradley;Kenya;Ndigwa;-0.353;34.307;song
78312;Turdus;pelios;African Thrush;chiguancoides;Bram Piot;Burkina Faso;Forêt de Bängr-Weoogo, Ouagadougou;12.3909;-1.4928;Song
78313;Turdus;pelios;African Thrush;chiguancoides;Bram Piot;Burkina Faso;Forêt de Bängr-Weoogo, Ouagadougou;12.3909;-1.4928;Song
83766;Turdus;pelios;African Thrush;;David C. Moyer;Uganda;Paraa, Murchinson Falls National Park, NW Uganda;2.2662;31.5595;song and alarm at the end
98916;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Foyer du Marin, Douala;4.048;9.692;Song
98917;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Foyer du Marin, Douala;4.048;9.692;Song
98918;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Foyer du Marin, Douala;4.048;9.692;Song
98919;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Foyer du Marin, Douala;4.048;9.692;Song
98920;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Foyer du Marin, Douala;4.048;9.692;Song
98921;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Foyer du Marin, Douala;4.048;9.692;Song
98922;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Hotel Mondial, Bamenda;5.956;10.161;Song
98923;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Hotel Mondial, Bamenda;5.956;10.161;Song
98924;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Kilum Ijim Protected Area, Lake Oku;6.1828;10.4639;Call
98925;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Song
98926;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Song
98927;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Song
98928;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Call
98929;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Call
98930;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Subsong
98931;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Subsong
98932;Turdus;pelios;African Thrush;saturatus;Mike Nelson;Cameroon;Njotin agricultural fields, Mt Oku;6.234;10.507;Subsong
