5525;Xenodacnis;parina;Tit-like Dacnis;???;Nick Athanas;Ecuador;Parque Nacional Cajas, Azuay;-2.83;-79.21;song
14800;Xenodacnis;parina;Tit-like Dacnis;bella;Todd Mark;Peru;upper reaches of Rio Huabayacu valley;-6.9167;-77.7306;song
17307;Xenodacnis;parina;Tit-like Dacnis;;Andrew Spencer;Ecuador;Laguna Toreadora, Parque Nacional Cajas, Azuay;-2.778623;-79.224987;song
36056;Xenodacnis;parina;Tit-like Dacnis;;Frank Lambert;Peru;near Santa Rosa, Maranon valley;;;song/calls
36057;Xenodacnis;parina;Tit-like Dacnis;;Frank Lambert;Peru;near Santa Rosa, Maranon valley;;;song/calls
36777;Xenodacnis;parina;Tit-like Dacnis;;Huw Lloyd;Peru;Mantanay, Cusco;-15.5981;-72.3914;Song
47543;Xenodacnis;parina;Tit-like Dacnis;parina;Niels Krabbe;Peru;7 km NE Cotaruse, Apurímac;-14.3501;-73.1667;song
47544;Xenodacnis;parina;Tit-like Dacnis;parina;Niels Krabbe;Peru;Abra Malaga (Polylepis woodland);-13.1334;-72.1667;contact calls
47545;Xenodacnis;parina;Tit-like Dacnis;petersi;Niels Krabbe;Peru;Quebrada Pucavado, eastern slope Cordillera Blanca (Ancash);-9.6834;-77.2334;song
69730;Xenodacnis;parina;Tit-like Dacnis;;Frank Lambert;Peru;Cuzco. Mantanay, not far from Urubamba;-13;-72;song
74509;Xenodacnis;parina;Tit-like Dacnis;parina;Andrew Spencer;Peru;Soraypampa, Cuzco;-13.4023;-72.5673;song
93857;Xenodacnis;parina;Tit-like Dacnis;;Oswaldo Cortes;Peru;Ollantaytambo, Cusco dept.;-13.2628;-72.2689;songs
