18729;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;Spain;Barranco de la Torre, Fuerteventura;28.372;-13.9023;song of a male;Sedge Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/Sedge Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/Sedge Warbler.png
24896;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Breakish, Isle of Skye, Scotland;57.2539;-5.8331;calls;SedgeWarblercall1.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeWarblercall1.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeWarblercall1.png
24897;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Breakish, Isle of Skye, Scotland;57.2539;-5.8331;calls;SedgeWarblercall2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeWarblercall2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeWarblercall2.png
24926;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Finland;Oulu;65.0167;25.4501;song;1A_579-590-611_Acrocephalus_schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/1A_579-590-611_Acrocephalus_schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/1A_579-590-611_Acrocephalus_schoenobaenus.png
24928;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Finland;Oulu;65.0167;25.4501;song;1A_141-157_Acrocephalus_schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/1A_141-157_Acrocephalus_schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/1A_141-157_Acrocephalus_schoenobaenus.png
24929;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Finland;Akio;64.9834;25.3001;call;1A_678-681_Acrocephalus_schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/1A_678-681_Acrocephalus_schoenobaenus.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/1A_678-681_Acrocephalus_schoenobaenus.png
24933;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Denmark;Tipperne;55.9001;8.2167;alarm call;Acrocephalus_schoenobaenus_call_1982_07_24_Tipperne.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Acrocephalus_schoenobaenus_call_1982_07_24_Tipperne.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Acrocephalus_schoenobaenus_call_1982_07_24_Tipperne.png
24935;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Poland;Budy;53.3667;22.5667;song;Acrocephalus_schoenobaenus_song_1988_06_29_1B_326-332_Poland_Budy.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Acrocephalus_schoenobaenus_song_1988_06_29_1B_326-332_Poland_Budy.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Acrocephalus_schoenobaenus_song_1988_06_29_1B_326-332_Poland_Budy.png
24936;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Poland;Pogorzelce;52.7334;23.8167;song;Acrocephalus_schoenobaenus_song_1988_06_30_2A_47-84_Poland_Bialowiza_Pogorzelce_a.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Acrocephalus_schoenobaenus_song_1988_06_30_2A_47-84_Poland_Bialowiza_Pogorzelce_a.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Acrocephalus_schoenobaenus_song_1988_06_30_2A_47-84_Poland_Bialowiza_Pogorzelce_a.png
24937;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Poland;Pogorzelce;52.7334;23.8167;song;Acrocephalus_schoenobaenus_song_1988_06_30_2A_47-84_Poland_Bialowiza_Pogorzelce_b.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Acrocephalus_schoenobaenus_song_1988_06_30_2A_47-84_Poland_Bialowiza_Pogorzelce_b.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Acrocephalus_schoenobaenus_song_1988_06_30_2A_47-84_Poland_Bialowiza_Pogorzelce_b.png
24953;Acrocephalus;schoenobaenus;Sedge Warbler;;Niels Krabbe;Denmark;Gundsømagle Sø;55.7167;12.1834;song;Acrocephalus_schoenobaenus_song_2005_05_05_Gundsoemagle_Soe_A_154-182.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Acrocephalus_schoenobaenus_song_2005_05_05_Gundsoemagle_Soe_A_154-182.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Acrocephalus_schoenobaenus_song_2005_05_05_Gundsoemagle_Soe_A_154-182.png
24972;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Send, Surrey, England;51.2887;-0.5267;Song  and  (partial mimicry?);SedgeWarbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeWarbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeWarbler1.png
24973;Acrocephalus;schoenobaenus;Sedge Warbler;;Stuart Fisher;United Kingdom;Send, Surrey, England;51.2887;-0.5267;Song;SedgeWarbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/SedgeWarbler2.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/SedgeWarbler2.png
