26537;Aethopyga;saturata;Black-throated Sunbird;annamensis;David Edwards;Vietnam;Ta Nung Valley;;;song;Black-throatedSunbirdannamensisVNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/Black-throatedSunbirdannamensisVNEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/Black-throatedSunbirdannamensisVNEdwards.png
35448;Aethopyga;saturata;Black-throated Sunbird;;Arnold Meijer;India;Arunachal Pradesh;;;song;BLUEROBIN_BlackthroatedSunbird_ArunachalPradesh_India_ArnoldMeijer_090209_LS100133.mp3;http://www.xeno-canto.org/sounds/uploaded/UXOKEACNUT/BLUEROBIN_BlackthroatedSunbird_ArunachalPradesh_India_ArnoldMeijer_090209_LS100133.mp3;http://www.xeno-canto.org/sounds/uploaded/UXOKEACNUT/ffts/tb/BLUEROBIN_BlackthroatedSunbird_ArunachalPradesh_India_ArnoldMeijer_090209_LS100133.png
39351;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls/song;R09_0003 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 25Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/R09_0003 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 25Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/R09_0003 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 25Sept09 1300m xeno.png
39352;Aethopyga;saturata;Black-throated Sunbird;;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls;R09_0008 FL-Aethopygia saturata wrayi  (calls) FrasersHill 25Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/R09_0008 FL-Aethopygia saturata wrayi  (calls) FrasersHill 25Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/R09_0008 FL-Aethopygia saturata wrayi  (calls) FrasersHill 25Sept09 1300m xeno.png
39353;Aethopyga;saturata;Black-throated Sunbird;;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;calls/song;R09_0078 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/R09_0078 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/R09_0078 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.png
39354;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song;R09_0080 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/R09_0080 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/R09_0080 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.png
39355;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Bukit Fraser, border of Pahang and Selangor;3.712;101.7381;song/calls;R09_0082 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/R09_0082 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/R09_0082 FL-Aethopygia saturata wrayi  (song_calls) FrasersHill 26Sept09 1300m xeno.png
67546;Aethopyga;saturata;Black-throated Sunbird;;Frank Lambert;Malaysia;Selangor. Fraser's Hill;3.712;101.728;song;Aethopyga_saturata_Fraser'sHill-25Sept09-FRL_MY_R09.0001_0-16_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Aethopyga_saturata_Fraser'sHill-25Sept09-FRL_MY_R09.0001_0-16_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Aethopyga_saturata_Fraser'sHill-25Sept09-FRL_MY_R09.0001_0-16_1_S.png
74073;Aethopyga;saturata;Black-throated Sunbird;petersi;Herman van Oosten;Vietnam;Cuc Phuong NP;20.8998;106.4001;song?;fork-tailed sunbird AethopygaSaturata_CucPhuongNP_0759_21211.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/fork-tailed sunbird AethopygaSaturata_CucPhuongNP_0759_21211.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/fork-tailed sunbird AethopygaSaturata_CucPhuongNP_0759_21211.png
88512;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7118769;101.736488;male calls;Aethopygia_saturata_wrayi-FL male Frasers 11June11 1150m R09_0007.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Aethopygia_saturata_wrayi-FL male Frasers 11June11 1150m R09_0007.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Aethopygia_saturata_wrayi-FL male Frasers 11June11 1150m R09_0007.png
88513;Aethopyga;saturata;Black-throated Sunbird;wrayi;Frank Lambert;Malaysia;Fraser's Hill, Pahang;3.7117;101.7364;male calls;Aethopygia_saturata_wrayi-FL male Frasers 11June11 1150m R09_0008.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Aethopygia_saturata_wrayi-FL male Frasers 11June11 1150m R09_0008.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Aethopygia_saturata_wrayi-FL male Frasers 11June11 1150m R09_0008.png
94307;Aethopyga;saturata;Black-throated Sunbird;anomala;Mike Nelson;Thailand;Ban Krang, KM 15-18, Kaeng Krachan NP, Phetchaburi;12.7989;99.4539;Call;RubycheekedSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/RubycheekedSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/RubycheekedSunbird.png
