2044;Agelaioides;badius;Baywing;;Sjoerd Mayer;Bolivia;Camillaya, near Inquisivi, La Paz;-16.917;-67.017;Calls;38/a12.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/38/a12.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/38_a12.png
2045;Agelaioides;badius;Baywing;;Sjoerd Mayer;Bolivia;Camillaya, near Inquisivi, La Paz;-16.917;-67.017;Calls;38/a13a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/38/a13a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/38_a13a.png
2096;Agelaioides;badius;Baywing;;Sjoerd Mayer;Bolivia;Along road down to the Río Khatu. near Inquisivi, La Paz;-16.883;-67.133;Calls;42/a04.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/42/a04.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/42_a04.png
4548;Agelaioides;badius;Baywing;fringillarius;Glauco Alves Pereira;Brazil;Porteiras, Altinho, Pernambuco;-8.3;-37.75;Calls;Agelaioides badius_Porteiras, Altinho, Pe_24.12.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Agelaioides badius_Porteiras, Altinho, Pe_24.12.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Agelaioides badius_Porteiras, Altinho, Pe_24.12.png
4805;Agelaioides;badius;Baywing;;Aidan Maccormick;Bolivia;Entre Rios, Paraiso del Tordo, Tarija;-21.4927777777778;-65.07;Song;217.mp3;http://www.xeno-canto.org/sounds/uploaded/SCTZBYJFRC/217.mp3;http://www.xeno-canto.org/sounds/uploaded/SCTZBYJFRC/ffts/tb/217.png
5754;Agelaioides;badius;Baywing;;Alvaro Riccetto;Uruguay;Estación Ortiz,Lavalleja;;;Calls;musico1.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/musico1.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/ffts/tb/musico1.alvaricc.png
7253;Agelaioides;badius;Baywing;fringillarius;Glauco Alves Pereira;Brazil;Fazenda Nova, Brejo da Madre de Deus, Pernambuco;-8.140295;-36.362858;Calls;Agelaioides fringillarius (song)_Fazenda Nova, Brejo da Madre de Deus_PE_17.05.03_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Agelaioides fringillarius (song)_Fazenda Nova, Brejo da Madre de Deus_PE_17.05.03_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Agelaioides fringillarius (song)_Fazenda Nova, Brejo da Madre de Deus_PE_17.05.03_Glauco.png
7377;Agelaioides;badius;Baywing;;Fernando Jacobs;Brazil;Estância Santa Maria - Jaguarão, Rio Grande do Sul;-32.4501;-53.1117;song;Agelaoides_badius.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Agelaoides_badius.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Agelaoides_badius.png
7889;Agelaioides;badius;Baywing;;Alvaro Riccetto;Uruguay;Campanero, near Minas, Lavalleja;-33.6;-55.06667;calls and song;musico2.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/musico2.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/ffts/tb/musico2.alvaricc.png
13911;Agelaioides;badius;Baywing;;Fernando Jacobs;Brazil;Hidráulica - Capão do Leão, Rio Grande do Sul;-31.72889;-52.48944;calls;Asa-de-telha - Molothrus badius.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Asa-de-telha - Molothrus badius.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Asa-de-telha - Molothrus badius.png
15608;Agelaioides;badius;Baywing;;Paul Smith;Paraguay;Laguna Capitan, Cuenca Upper Yacare Sur, Dpto Presidente Hayes;-22.55;-59.7;calls;Agelaoides badiuslagcapxc.mp3;http://www.xeno-canto.org/sounds/uploaded/QEQQOPLWSO/Agelaoides badiuslagcapxc.mp3;http://www.xeno-canto.org/sounds/uploaded/QEQQOPLWSO/ffts/tb/Agelaoides badiuslagcapxc.png
