24895;Anthus;petrosus;Eurasian Rock Pipit;petrosus;Stuart Fisher;United Kingdom;Bagh Stithcliet, Isle of Harris, Scotland;57.8995;-6.8495;territorial calls;RockPipit.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/RockPipit.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/RockPipit.png
24931;Anthus;petrosus;Eurasian Rock Pipit;presumed littoralis;Stuart Fisher;United Kingdom;Terrington Marsh, Norfolk;52.8153;0.3123;alarm and flight calls;RockPipitflight.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/RockPipitflight.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/RockPipitflight.png
29044;Anthus;petrosus;Eurasian Rock Pipit;petrosus;Stuart Fisher;United Kingdom;Purbeck, Dorset, England;50.5889;-2.0228;Quiet calls, then song in flight, followed by louder calls again;RockpipitPB.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/RockpipitPB.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/RockpipitPB.png
39339;Anthus;petrosus;Eurasian Rock Pipit;;Herman van Oosten;Netherlands;island Schiermonnikoog;53.4714;6.1378;calls in flight;Anthus petrosus flightcall 27909 1358.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Anthus petrosus flightcall 27909 1358.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Anthus petrosus flightcall 27909 1358.png
53805;Anthus;petrosus;Eurasian Rock Pipit;littoralis;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;alarm and flight calls;Anthus_petrosus_littoralis,_56.43_12.57,_5_m,_Hallands_Vaederoe,_Sweden,_27_May_2010,_1100_hrs,_NKrabbe,_alarm_and_flight_call.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Anthus_petrosus_littoralis,_56.43_12.57,_5_m,_Hallands_Vaederoe,_Sweden,_27_May_2010,_1100_hrs,_NKrabbe,_alarm_and_flight_call.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Anthus_petrosus_littoralis,_56.43_12.57,_5_m,_Hallands_Vaederoe,_Sweden,_27_May_2010,_1100_hrs,_NKrabbe,_alarm_and_flight_call.png
53806;Anthus;petrosus;Eurasian Rock Pipit;littoralis;Niels Krabbe;Sweden;Hallands Väderö;56.4334;12.5667;alarm and flight calls;Anthus_petrosus_littoralis,_56.43_12.57,_5_m,_Hallands_Vaederoe,_Sweden,_28_May_2010,_0730_hrs,_NKrabbe,_alarm_and_flight_call.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Anthus_petrosus_littoralis,_56.43_12.57,_5_m,_Hallands_Vaederoe,_Sweden,_28_May_2010,_0730_hrs,_NKrabbe,_alarm_and_flight_call.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Anthus_petrosus_littoralis,_56.43_12.57,_5_m,_Hallands_Vaederoe,_Sweden,_28_May_2010,_0730_hrs,_NKrabbe,_alarm_and_flight_call.png
65452;Anthus;petrosus;Eurasian Rock Pipit;;Sander Bot;Netherlands;Kobbeduinen, Schiermonnikoog;53.487;6.2198;call;RockPipit22Sept2010SchierNetherlands.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/RockPipit22Sept2010SchierNetherlands.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/RockPipit22Sept2010SchierNetherlands.png
89987;Anthus;petrosus;Eurasian Rock Pipit;presumed littoralis;Stuart Fisher;United Kingdom;Terrington Marsh, Norfolk;52.8153;0.3123;calls;RockPipitAd.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/RockPipitAd.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/RockPipitAd.png
92938;Anthus;petrosus;Eurasian Rock Pipit;montanus;Alexander Lees;United Kingdom;Frampton Marsh, Lincolnshire;52.926;0.027;flight calls;R09_0085RockPipit_ACL.mp3;http://www.xeno-canto.org/sounds/uploaded/INDDBZAFJL/R09_0085RockPipit_ACL.mp3;http://www.xeno-canto.org/sounds/uploaded/INDDBZAFJL/ffts/tb/R09_0085RockPipit_ACL.png
94443;Anthus;petrosus;Eurasian Rock Pipit;;Frank Lambert;United Kingdom;west of Telscombe Cliffs;50.795;-0.025;calls;RockPipit-FL Telscombe 5Feb12 LS110087.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/RockPipit-FL Telscombe 5Feb12 LS110087.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/RockPipit-FL Telscombe 5Feb12 LS110087.png
94444;Anthus;petrosus;Eurasian Rock Pipit;;Frank Lambert;United Kingdom;west of Telscombe Cliffs;50.795;-0.025;calls;RockPipit-FL Telscombe 5Feb12 LS110086.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/RockPipit-FL Telscombe 5Feb12 LS110086.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/RockPipit-FL Telscombe 5Feb12 LS110086.png
