24785;Anthus;richardi;Richard's Pipit;richardi;Herman van Oosten;Netherlands;River Rhine floodplains, Wageningen;51.9537;5.6617;calls;AnthusRichardi_flight_291108.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/AnthusRichardi_flight_291108.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/AnthusRichardi_flight_291108.png
26779;Anthus;richardi;Richard's Pipit;;Ruud van Beusekom;Netherlands;De Cocksdorp, Texel;53.1559;4.8712;call;grotepieperTexel10sep1988.mp3;http://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/grotepieperTexel10sep1988.mp3;http://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/tb/grotepieperTexel10sep1988.png
27254;Anthus;richardi;Richard's Pipit;;Wouter Halfwerk;Laos;Kiat Ngong wetland;14.7501;106.0667;call;RichardsPipit_KiatNgong-20-12-08.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/RichardsPipit_KiatNgong-20-12-08.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/ffts/tb/RichardsPipit_KiatNgong-20-12-08.png
27256;Anthus;richardi;Richard's Pipit;;Wouter Halfwerk;Laos;Kiat Ngong wetland;14.7501;106.0667;call;RichardsPipit_KiatNgong-20-12-08-02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/RichardsPipit_KiatNgong-20-12-08-02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/ffts/tb/RichardsPipit_KiatNgong-20-12-08-02.png
27259;Anthus;richardi;Richard's Pipit;;Wouter Halfwerk;Laos;Kiat Ngong wetland;14.7501;106.0667;call;RichardsPipit_KiatNgong-20-12-08-2.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/RichardsPipit_KiatNgong-20-12-08-2.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/ffts/tb/RichardsPipit_KiatNgong-20-12-08-2.png
44797;Anthus;richardi;Richard's Pipit;;Sander Bot;India;Baga Fields, Goa;15.562;73.757;call;RichardsPipit06Jan2010BagaGoaIndia.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/RichardsPipit06Jan2010BagaGoaIndia.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/RichardsPipit06Jan2010BagaGoaIndia.png
44798;Anthus;richardi;Richard's Pipit;;Sander Bot;India;Baga Fields, Goa;15.562;73.757;call;RichardsPipit06Jan2010BagaGoaIndia2.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/RichardsPipit06Jan2010BagaGoaIndia2.mp3;http://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/tb/RichardsPipit06Jan2010BagaGoaIndia2.png
61943;Anthus;richardi;Richard's Pipit;;Christoph Bock;Mongolia;Erkhee Nuur;48.3817;113.2356;Alarm calls;100731 richards pipit AC 01.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/100731 richards pipit AC 01.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/ffts/tb/100731 richards pipit AC 01.png
61944;Anthus;richardi;Richard's Pipit;;Christoph Bock;Mongolia;Erkhee Nuur;48.3817;113.2356;Calls;100731 richards pipit C 01.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/100731 richards pipit C 01.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/ffts/tb/100731 richards pipit C 01.png
61959;Anthus;richardi;Richard's Pipit;;Christoph Bock;Mongolia;Buir Nuur Laguna #1;47.7709;117.8351;Calls;100806 richards pipit C 01.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/100806 richards pipit C 01.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/ffts/tb/100806 richards pipit C 01.png
61960;Anthus;richardi;Richard's Pipit;;Christoph Bock;Mongolia;Buir Nuur Laguna #1;47.7709;117.8351;Calls;100806 richards pipit C 02.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/100806 richards pipit C 02.mp3;http://www.xeno-canto.org/sounds/uploaded/RWKZQCNIFF/ffts/tb/100806 richards pipit C 02.png
65137;Anthus;richardi;Richard's Pipit;;Richard Dunn;United Kingdom;Sleddale;54.4992;-1.0478;flight call;Richards Pipit.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Richards Pipit.mp3;http://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/ffts/tb/Richards Pipit.png
65790;Anthus;richardi;Richard's Pipit;;David Marques;China;Happy Island, Hebei;39.136452;118.830185;flight call;20100926_HappyIsland_RichardsPipit_flightcall.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/20100926_HappyIsland_RichardsPipit_flightcall.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/ffts/tb/20100926_HappyIsland_RichardsPipit_flightcall.png
