26113;Apalis;thoracica;Bar-throated Apalis;;Late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Song-duet;16 Apalis thoracica-song-duet-one-sing-one-interupt_or_replies_with-chatter.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/16 Apalis thoracica-song-duet-one-sing-one-interupt_or_replies_with-chatter.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/16 Apalis thoracica-song-duet-one-sing-one-interupt_or_replies_with-chatter.png
29275;Apalis;thoracica;Bar-throated Apalis;uluguru;Louis A. Hansen, Louise Pedersen, Henrik Kisbye;Tanzania;Kimhandu Hill, at Kipalu camp, Uluguru South F.R, Morogoro Region;-7.1737;37.6764;Song;Barth-Apalis_Uluguru_Kipalu_Oct-22-1992_at_2145m_at_0557hrs_Repeated1time.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Barth-Apalis_Uluguru_Kipalu_Oct-22-1992_at_2145m_at_0557hrs_Repeated1time.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Barth-Apalis_Uluguru_Kipalu_Oct-22-1992_at_2145m_at_0557hrs_Repeated1time.png
43409;Apalis;thoracica;Bar-throated Apalis;;Don Jones;South Africa;Gravel road from Buffeljagrivier to Malgas, Western Cape;-34.1006;20.5503;call;barthroatedapalis2.sa03.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/barthroatedapalis2.sa03.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/barthroatedapalis2.sa03.png
43868;Apalis;thoracica;Bar-throated Apalis;;Don Jones;South Africa;Woodbush Forest, Limpopo;-23.8306;29.9951;call;barthroatedapalis5.sa03.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/barthroatedapalis5.sa03.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/barthroatedapalis5.sa03.png
48077;Apalis;thoracica;Bar-throated Apalis;griseiceps Reichenow;Louis A. Hansen, Henrik Kisbye, Louise Pedersen, Marcel Rahner, the late Jens Otto Svendsen;Tanzania;Kimhandu Hill, at Kipalu camp, Uluguru South F.R, Morogoro Region;-7.1737;37.6764;Song;Apali-thoracica_song_1993-10-22_Kipalu2145m_0557hrs.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Apali-thoracica_song_1993-10-22_Kipalu2145m_0557hrs.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Apali-thoracica_song_1993-10-22_Kipalu2145m_0557hrs.png
48078;Apalis;thoracica;Bar-throated Apalis;griseiceps Reichenow;Louis A. Hansen, Henrik Kisbye, Louise Pedersen, Marcel Rahner, the late Jens Otto Svendsen;Tanzania;Kimhandu Hill, at Kipalu camp, Uluguru South F.R, Morogoro Region;-7.1737;37.6764;Song;Apali-thoracica_song_1993-10-22_Kipalu2145m_0559hrs.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Apali-thoracica_song_1993-10-22_Kipalu2145m_0559hrs.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Apali-thoracica_song_1993-10-22_Kipalu2145m_0559hrs.png
48079;Apalis;thoracica;Bar-throated Apalis;griseiceps Reichenow;Louis A. Hansen, Henrik Kisbye, Louise Pedersen, Marcel Rahner, the late Jens Otto Svendsen;Tanzania;Kimhandu Hill, at Kipalu camp, Uluguru South F.R, Morogoro Region;-7.1737;37.6764;Song;Apali-thoracica_songSlow_wingbeat_1993-10-22_Kipalu2145m_0604hrs.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/Apali-thoracica_songSlow_wingbeat_1993-10-22_Kipalu2145m_0604hrs.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/Apali-thoracica_songSlow_wingbeat_1993-10-22_Kipalu2145m_0604hrs.png
62416;Apalis;thoracica;Bar-throated Apalis;griseopyga;Charles Hesse;South Africa;Koeberg Nature Reserve;-33.639;18.425;Call;865BTAPA1005280933SAKO2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/865BTAPA1005280933SAKO2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/865BTAPA1005280933SAKO2.png
62426;Apalis;thoracica;Bar-throated Apalis;griseopyga;Charles Hesse;South Africa;Koeberg Nature Reserve;-33.639;18.425;Song;910BTAPA1005301107SAKO2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/910BTAPA1005301107SAKO2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/910BTAPA1005301107SAKO2.png
62548;Apalis;thoracica;Bar-throated Apalis;venusta;Charles Hesse;South Africa;Pigeon Valley;-29.864;30.987;Calls;092BTAPA_1007080807SAPV2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/092BTAPA_1007080807SAPV2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/092BTAPA_1007080807SAPV2.png
62658;Apalis;thoracica;Bar-throated Apalis;thoracica;Charles Hesse;South Africa;Bathurst;-33.501;26.818;Calls;494BTAPA1009090812SABH2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/494BTAPA1009090812SABH2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/494BTAPA1009090812SABH2.png
65623;Apalis;thoracica;Bar-throated Apalis;rhodesiae;Bram Piot;Zimbabwe;Gosho Park, Marondera;-18.183;31.623;Call;Apalis_thoracica_Gosho_20101114_1.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/Apalis_thoracica_Gosho_20101114_1.mp3;http://www.xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/tb/Apalis_thoracica_Gosho_20101114_1.png
69868;Apalis;thoracica;Bar-throated Apalis;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Call;16 Apalis thoracica-call_or_and_warning-notes-one-note-repeated-medium-fast.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/16 Apalis thoracica-call_or_and_warning-notes-one-note-repeated-medium-fast.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/16 Apalis thoracica-call_or_and_warning-notes-one-note-repeated-medium-fast.png
77949;Apalis;thoracica;Bar-throated Apalis;;Alan Collett;South Africa;Bergplaas road, Wilderness, S. Cape;-33.902;22.675;call;Bar-throated Apalis.mp3;http://www.xeno-canto.org/sounds/uploaded/DVHUWNPXNS/Bar-throated Apalis.mp3;http://www.xeno-canto.org/sounds/uploaded/DVHUWNPXNS/ffts/tb/Bar-throated Apalis.png
78779;Apalis;thoracica;Bar-throated Apalis;;Derek Solomon;South Africa;Magoebaskloof;-23.8428;29.9878;Call;Bar-throated Apalis KM 9-09.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/Bar-throated Apalis KM 9-09.mp3;http://www.xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/ffts/tb/Bar-throated Apalis KM 9-09.png
