745;Atlapetes;latinuchus;Rufous-naped Brush Finch;comptus;Willem-Pier Vellinga;Peru;Bosque de Cuyas, Ayabaca, Piura;-4.6476;-79.74426;song;ZonCapayabaca1-1dot54.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ZonCapayabaca1-1dot54.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/ZonCapayabaca1-1dot54.png
6484;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Thomas Donegan;Colombia;Serrania de los Yariguies;6.8492;-73.3642;Song;Atlapetes latinuchus yariguierum.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Atlapetes latinuchus yariguierum.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Atlapetes latinuchus yariguierum.png
6667;Atlapetes;latinuchus;Rufous-naped Brush Finch;spodionotus;Nick Athanas;Ecuador;Tandayapa Valley, Pichincha;-0.0167;-78.6834;call;001-121-Rufous-naped-Brush-Finch.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/001-121-Rufous-naped-Brush-Finch.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/001-121-Rufous-naped-Brush-Finch.png
9285;Atlapetes;latinuchus;Rufous-naped Brush Finch;spodionotus;Allen T. Chartier;Ecuador;Cotopaxi NP, Pichincha;-0.6501;-78.4806;Calls;Atlapetes_latinuchus_EC-CNP_19910216_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Atlapetes_latinuchus_EC-CNP_19910216_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Atlapetes_latinuchus_EC-CNP_19910216_C1_ATC.png
9286;Atlapetes;latinuchus;Rufous-naped Brush Finch;spodionotus;Allen T. Chartier;Ecuador;Old Chiriboga Road, Pichincha;-0.2501;-78.7501;Song;Atlapetes_rufinucha_EC-UpChir_19910218_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Atlapetes_rufinucha_EC-UpChir_19910218_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Atlapetes_rufinucha_EC-UpChir_19910218_S1_ATC.png
12679;Atlapetes;latinuchus;Rufous-naped Brush Finch;;Oscar Laverde;Colombia;Soatá, Alto Onzaga, Santander;6.5667;-72.7334;song;17741.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17741.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17741.png
12680;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Oscar Laverde;Colombia;Soatá, Alto Onzaga, Santander;6.5667;-72.7334;song;17742.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17742.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17742.png
12681;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Oscar Laverde;Colombia;Soatá, Alto Onzaga, Santander;6.5667;-72.7334;song;17744.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17744.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17744.png
12705;Atlapetes;latinuchus;Rufous-naped Brush Finch;spodionotus;Oscar Laverde;Colombia;San Juan de Pasto, Corregimiento de Daza, Nariño;1.2667;-77.2501;song;17790.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17790.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17790.png
14443;Atlapetes;latinuchus;Rufous-naped Brush Finch;latinuchus;Roger Ahlman;Peru;ACP Abra Patricia-Alto Nieva, San Martín;-5.7009;-77.8123;song;Rufous-naped Brush-finch.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Rufous-naped Brush-finch.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Rufous-naped Brush-finch.png
16436;Atlapetes;latinuchus;Rufous-naped Brush Finch;comptus;Charlie Vogt;Ecuador;Quebrada Las Vegas, E Alamor, Loja;;;song;Rufous-naped Brush-Finch ssp comptus.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/Rufous-naped Brush-Finch ssp comptus.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/ffts/tb/Rufous-naped Brush-Finch ssp comptus.png
20263;Atlapetes;latinuchus;Rufous-naped Brush Finch;latinuchus;Charlie Vogt;Ecuador;Reserva Tapichalaca, Valladolid, Zamora-Chinchipe;-4.4959;-79.1323;song and cascade;Rufous-naped Brush-Finch R096_0121.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/Rufous-naped Brush-Finch R096_0121.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/ffts/tb/Rufous-naped Brush-Finch R096_0121.png
23534;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Thomas Donegan;Colombia;Lepipuerto, Serrania de los Yariguies;6.4581;-73.4576;Song;Atlapetes latinuchus II (Chlorospingus background) Lepipuerto MD 4 Track 25.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Atlapetes latinuchus II (Chlorospingus background) Lepipuerto MD 4 Track 25.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Atlapetes latinuchus II (Chlorospingus background) Lepipuerto MD 4 Track 25.png
23537;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Thomas Donegan;Colombia;Lepipuerto, Serrania de los Yariguies;6.4581;-73.4576;Song;Atlapetes latinuchus yariguierum (Chlorospingus background) Lepipuerto MD 4 Track 25.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Atlapetes latinuchus yariguierum (Chlorospingus background) Lepipuerto MD 4 Track 25.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Atlapetes latinuchus yariguierum (Chlorospingus background) Lepipuerto MD 4 Track 25.png
23620;Atlapetes;latinuchus;Rufous-naped Brush Finch;latinuchus;Willem-Pier Vellinga;Peru;Bosque protector Pagaibamba, Chotas, Cajamarca;-6.4334;-79.0667;song at dawn;14082008_159AtlLatPagaibamba.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/14082008_159AtlLatPagaibamba.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/14082008_159AtlLatPagaibamba.png
23665;Atlapetes;latinuchus;Rufous-naped Brush Finch;latinuchus;Willem-Pier Vellinga;Peru;Bosque protector Pagaibamba, Chotas, Cajamarca;-6.4334;-79.0667;song at dawn;14082008_106AtlLatPagaibamba.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/14082008_106AtlLatPagaibamba.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/14082008_106AtlLatPagaibamba.png
23666;Atlapetes;latinuchus;Rufous-naped Brush Finch;latinuchus;Willem-Pier Vellinga;Peru;Bosque protector Pagaibamba, Chotas, Cajamarca;-6.4334;-79.0667;call;14082008_104AtlLatchipPagaibamba.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/14082008_104AtlLatchipPagaibamba.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/14082008_104AtlLatchipPagaibamba.png
24013;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Thomas Donegan;Colombia;Lepipuerto, Serrania de los Yariguies;6.4581;-73.4576;Song;Lepipuerto MD 5 track 9 Atlapetes latinchus 2.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Lepipuerto MD 5 track 9 Atlapetes latinchus 2.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Lepipuerto MD 5 track 9 Atlapetes latinchus 2.png
24014;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Thomas Donegan;Colombia;Lepipuerto, Serrania de los Yariguies;6.4581;-73.4576;Song;Lepipuerto MD 5 track 9 Atlapetes latinuchus.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Lepipuerto MD 5 track 9 Atlapetes latinuchus.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Lepipuerto MD 5 track 9 Atlapetes latinuchus.png
24716;Atlapetes;latinuchus;Rufous-naped Brush Finch;yariguierum;Thomas Donegan;Colombia;Lepipuerto, Serrania de los Yariguies;6.4581;-73.4576;Call;Lepipuerto MD 5 track 43 A latinuchus probable.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Lepipuerto MD 5 track 43 A latinuchus probable.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Lepipuerto MD 5 track 43 A latinuchus probable.png
