44673;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;Rory Nefdt;Ethiopia;Addis Ababa;9.0148;38.7145;Song;584_Cinamon_Bracken_Warbler_Gib_14Feb10_1120.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/584_Cinamon_Bracken_Warbler_Gib_14Feb10_1120.mp3;http://www.xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/tb/584_Cinamon_Bracken_Warbler_Gib_14Feb10_1120.png
48380;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;call (duet);CinnamonBracken-Warbler(B2)(Bradypteruscinnamomeus).mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/CinnamonBracken-Warbler(B2)(Bradypteruscinnamomeus).mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/CinnamonBracken-Warbler(B2)(Bradypteruscinnamomeus).png
48379;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;Marcell Claassen;Rwanda;Sabinyo Silverback Lodge, Kinigi;-1.409;29.577;call (duet);CinnamonBracken-Warbler(Bradypteruscinnamomeus).mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/CinnamonBracken-Warbler(Bradypteruscinnamomeus).mp3;http://www.xeno-canto.org/sounds/uploaded/AAIESTNDCJ/ffts/tb/CinnamonBracken-Warbler(Bradypteruscinnamomeus).png
57942;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;Charles Davies;Kenya;Marmanet Forest, Kenya;0.044;36.365;song;Cinnamon Bracken-Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/LKTQGFXQRF/Cinnamon Bracken-Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/LKTQGFXQRF/ffts/tb/Cinnamon Bracken-Warbler.png
69866;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Call;15 Bradypterus cinnamomeus-call-notes-possible-also-used-as-warning.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/15 Bradypterus cinnamomeus-call-notes-possible-also-used-as-warning.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/15 Bradypterus cinnamomeus-call-notes-possible-also-used-as-warning.png
69867;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Song;15 Bradypterus cinnamomeus-Song-duet_one-bird-sings-another-answers-by-call-notes.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/15 Bradypterus cinnamomeus-Song-duet_one-bird-sings-another-answers-by-call-notes.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/15 Bradypterus cinnamomeus-Song-duet_one-bird-sings-another-answers-by-call-notes.png
72986;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;cinnamomeus;James Bradley;Kenya;Mau Forest;-0.379;35.374;call;Cinnamon Bracken Warbler_1a_Kericho_17Jan.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/Cinnamon Bracken Warbler_1a_Kericho_17Jan.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/tb/Cinnamon Bracken Warbler_1a_Kericho_17Jan.png
75615;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;;Jason Anderson;Rwanda;Volcanoes National Park;-1.4459;29.5039;Song;Cinnamon Bracken Warbler Rw 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/Cinnamon Bracken Warbler Rw 01.mp3;http://www.xeno-canto.org/sounds/uploaded/VOEGHWZWDL/ffts/tb/Cinnamon Bracken Warbler Rw 01.png
82643;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;cinnamomeus;David Marques;Ethiopia;Dinsho Park Headquarters;7.0959;39.7898;song;20110201_Dinsho_CinnamonBrackenWarbler.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/20110201_Dinsho_CinnamonBrackenWarbler.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/ffts/tb/20110201_Dinsho_CinnamonBrackenWarbler.png
96069;Bradypterus;cinnamomeus;Cinnamon Bracken Warbler;nyassae;Martin St-Michel;Tanzania;Luwalo-area, Ndundulu forest, Udzungwa Mts.;-7.7501;36.5001;Song;Cinnamon Bracken Warbler (Luwalo-2011-10-29-16h19) LS110330.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/Cinnamon Bracken Warbler (Luwalo-2011-10-29-16h19) LS110330.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/ffts/tb/Cinnamon Bracken Warbler (Luwalo-2011-10-29-16h19) LS110330.png
