6140;Campylorhynchus;griseus;Bicolored Wren;minor;Chris Parrish;Venezuela;Hato el Frio, 5 km W Mantecal, Apure;7.5539;-69.1937;Foraging notes.;Campylorhynchus_griseus_11a0007_841209.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/Campylorhynchus_griseus_11a0007_841209.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/Campylorhynchus_griseus_11a0007_841209.png
9017;Campylorhynchus;griseus;Bicolored Wren;;Allen T. Chartier;Venezuela;Apure, Hato el Cedral;7.4334;-69.3167;Song duet;Campylorhynchus_griseus_VE-HEC_19921031_S1-duet_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Campylorhynchus_griseus_VE-HEC_19921031_S1-duet_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Campylorhynchus_griseus_VE-HEC_19921031_S1-duet_ATC.png
13084;Campylorhynchus;griseus;Bicolored Wren;albicilius;Nick Athanas;Venezuela;10km northeast of Cabimas, Zulia;10.4792;-71.4176;song;HI-0812-Bicolored-Wren.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/HI-0812-Bicolored-Wren.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/HI-0812-Bicolored-Wren.png
14597;Campylorhynchus;griseus;Bicolored Wren;bicolor;Oswaldo Cortes;Colombia;Soata, vereda La Costa, cerca al rio Chocho;4.01;-72.01;song;Campylorhynchus griseus bicolor.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/Campylorhynchus griseus bicolor.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/Campylorhynchus griseus bicolor.png
14598;Campylorhynchus;griseus;Bicolored Wren;bicolor;Oswaldo Cortes;Colombia;soata cerca al rio Chicamocha;4.01;-72.01;call;RECLAMOS DE CAMPYLORHYNCHUS GRISEUS.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/RECLAMOS DE CAMPYLORHYNCHUS GRISEUS.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/RECLAMOS DE CAMPYLORHYNCHUS GRISEUS.png
27871;Campylorhynchus;griseus;Bicolored Wren;;David Edwards;Venezuela;Hato Masagual;;;song;BicolouredWrenEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/BicolouredWrenEdwards.mp3;http://www.xeno-canto.org/sounds/uploaded/AFEHYCAHZR/ffts/tb/BicolouredWrenEdwards.png
28629;Campylorhynchus;griseus;Bicolored Wren;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;Song;Campylorhycnhus griseus II (soata).mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/Campylorhycnhus griseus II (soata).mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/Campylorhycnhus griseus II (soata).png
43032;Campylorhynchus;griseus;Bicolored Wren;;Joe Klaiber;Venezuela;Caura - Las Trincheras;6.963;-64.899;song;Bicollared_Wren.mp3;http://www.xeno-canto.org/sounds/uploaded/TNPOVFLZMY/Bicollared_Wren.mp3;http://www.xeno-canto.org/sounds/uploaded/TNPOVFLZMY/ffts/tb/Bicollared_Wren.png
55768;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;bicolor;;;Song;Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_3JUL2000 1000hs a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_3JUL2000 1000hs a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_3JUL2000 1000hs a_Bernabe Lopez-Lanus.png
55769;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;Barrio El Poblado (alrededores de San Gil), Vereda Buenos Aires, municipio San Gil, Santander;;;Song;Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs f_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs f_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs f_Bernabe Lopez-Lanus.png
55770;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;Barrio El Poblado (alrededores de San Gil), Vereda Buenos Aires, municipio San Gil, Santander;;;Song;Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs e_Bernabe Lopez-Lanus.png
55771;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;Barrio El Poblado (alrededores de San Gil), Vereda Buenos Aires, municipio San Gil, Santander;;;Song;Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus song_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs d_Bernabe Lopez-Lanus.png
55772;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;Barrio El Poblado (alrededores de San Gil), Vereda Buenos Aires, municipio San Gil, Santander;;;Call;Campylorhuychus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs ff_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhuychus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs ff_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhuychus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs ff_Bernabe Lopez-Lanus.png
55773;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;Barrio El Poblado (alrededores de San Gil), Vereda Buenos Aires, municipio San Gil, Santander;;;Call;Campylorhynchus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs h_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs h_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs h_Bernabe Lopez-Lanus.png
55774;Campylorhynchus;griseus;Bicolored Wren;bicolor;Bernabe Lopez-Lanus;Colombia;Barrio El Poblado (alrededores de San Gil), Vereda Buenos Aires, municipio San Gil, Santander;;;Call;Campylorhynchus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs hh_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs hh_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus call_San Gil (Barrio El Poblado-Vereda Buenos Aires)_Santander_Colombia_2JUL2000 1438hs hh_Bernabe Lopez-Lanus.png
56597;Campylorhynchus;griseus;Bicolored Wren;albicilius?;Bernabe Lopez-Lanus;Colombia;Sabana Grande (aprox 20 km al W de la ciudad de Riohacha), Municipio Riohacha, La Guajira;;;Song;Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs mx_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs mx_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs mx_Bernabe Lopez-Lanus.png
56598;Campylorhynchus;griseus;Bicolored Wren;albicilius?;Bernabe Lopez-Lanus;Colombia;Sabana Grande (aprox 20 km al W de la ciudad de Riohacha), Municipio Riohacha, La Guajira;;;Song;Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs n_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs n_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs n_Bernabe Lopez-Lanus.png
56599;Campylorhynchus;griseus;Bicolored Wren;albicilius?;Bernabe Lopez-Lanus;Colombia;Sabana Grande (aprox 20 km al W de la ciudad de Riohacha), Municipio Riohacha, La Guajira;;;Song;Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs x_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs x_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Sabana Grande_Riohacha_La Guajira_Colombia_1NOV2000  0700hs x_Bernabe Lopez-Lanus.png
56955;Campylorhynchus;griseus;Bicolored Wren;albicilius;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song;Campylorhynchus griseus_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0630 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0630 c_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0630 c_Bernabe Lopez-Lanus.png
56957;Campylorhynchus;griseus;Bicolored Wren;albicilius;Bernabe Lopez-Lanus;Colombia;Cano Clarin Viejo, Palermo, Isla de Salamanca, Magdalena;10.9901;-74.7451;Song;Campylorhynchus griseus_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0930 e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0930 e_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Alrededores de Cano Clarin Viejo_Palermo (frente a Barranquilla)_Isla Salamanca_Magdalena_Colombia_15MAY2001 0930 e_Bernabe Lopez-Lanus.png
56983;Campylorhynchus;griseus;Bicolored Wren;albicilius;Bernabe Lopez-Lanus;Colombia;Cienaga del Convento (Parque Crocodilia), Vereda El Puerto, Sabanagrande, Atlantico;10.854;-74.761;Song;Campylorhynchus griseus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 a_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 a_Bernabe Lopez-Lanus.png
56984;Campylorhynchus;griseus;Bicolored Wren;albicilius;Bernabe Lopez-Lanus;Colombia;Cienaga del Convento (Parque Crocodilia), Vereda El Puerto, Sabanagrande, Atlantico;10.854;-74.761;Song;Campylorhynchus griseus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Campylorhynchus griseus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Campylorhynchus griseus_Cienaga del Convento (Parque Cocodrilia)_Vereda El Puerto_Sabana Grande_Atlantico_Colombia_15MAY2001 1654 b_Bernabe Lopez-Lanus.png
78854;Campylorhynchus;griseus;Bicolored Wren;;Oswaldo Cortes;Colombia;desierto de la Tatacoa_Huila;;;song;Campylorhynchus griseus_tatacoa.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/Campylorhynchus griseus_tatacoa.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/Campylorhynchus griseus_tatacoa.png
79781;Campylorhynchus;griseus;Bicolored Wren;;Oswaldo Cortes;Colombia;desierto de la Tatacoa_Huila;;;song;campylorhynchus griseus_tatacoa.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/campylorhynchus griseus_tatacoa.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/campylorhynchus griseus_tatacoa.png
86181;Campylorhynchus;griseus;Bicolored Wren;;Oswaldo Cortes;Colombia;Coloso, Sucre, Montes de Maria;9.505;-75.369;call;cAMPYLORHYNCHUS GRISEUS MONTES.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/cAMPYLORHYNCHUS GRISEUS MONTES.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/cAMPYLORHYNCHUS GRISEUS MONTES.png
94398;Campylorhynchus;griseus;Bicolored Wren;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;call;campylorhynchus grisesus CON NICEFORI de soata1.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/campylorhynchus grisesus CON NICEFORI de soata1.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/campylorhynchus grisesus CON NICEFORI de soata1.png
94399;Campylorhynchus;griseus;Bicolored Wren;;Oswaldo Cortes;Colombia;Soata (Reserva de Aves para Amazilia castaneiventris y Macroagelaius);6.3001;-72.7167;call;campylorhynchus grisesus de soata1.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/campylorhynchus grisesus de soata1.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/campylorhynchus grisesus de soata1.png
97519;Campylorhynchus;griseus;Bicolored Wren;;Thomas Donegan;Colombia;Santa Rosa;;;Song;Disc 17 track 009 Campylorhynchus griseus Santa Rosa 4 Jan 2010.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Disc 17 track 009 Campylorhynchus griseus Santa Rosa 4 Jan 2010.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Disc 17 track 009 Campylorhynchus griseus Santa Rosa 4 Jan 2010.png
