6868;Carduelis;spinescens;Andean Siskin;spinescens;Nick Athanas;Venezuela;Santo Domingo, Mérida;8.8589;-70.7042;song;HI-0746-Andean-Siskin.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/HI-0746-Andean-Siskin.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/HI-0746-Andean-Siskin.png
11324;Carduelis;spinescens;Andean Siskin;;Doug Knapp;Colombia;Bogota, Quebrada la Vieja;4.6231;-74.0562;Song;Carduelis_spinescens-song2-DK-Col.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Carduelis_spinescens-song2-DK-Col.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Carduelis_spinescens-song2-DK-Col.png
20443;Carduelis;spinescens;Andean Siskin;;Oswaldo Cortes;Colombia;Fusagasuga, Vereda San Miguel,  cerca al nacimiento del rio Chocho;4.01;-74.01;songs;CARDUELIS SPINENCIS.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/CARDUELIS SPINENCIS.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/CARDUELIS SPINENCIS.png
20556;Carduelis;spinescens;Andean Siskin;;Oswaldo Cortes;Colombia;Parque Natural Cocuy;;;Songs;Andean Siskins ( Carduelis spinescens) song.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/Andean Siskins ( Carduelis spinescens) song.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/Andean Siskins ( Carduelis spinescens) song.png
27414;Carduelis;spinescens;Andean Siskin;nigricauda;Niels Krabbe;Colombia;Páramo de Frontino;6.4334;-76.0834;flight calls group;Carspi110804.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Carspi110804.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Carspi110804.png
27415;Carduelis;spinescens;Andean Siskin;;Niels Krabbe;Colombia;Páramo de Frontino;6.4334;-76.0834;flight calls group;Carspi120804.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Carspi120804.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Carspi120804.png
43789;Carduelis;spinescens;Andean Siskin;;Thomas Donegan;Colombia;RNA El Dorado, Sierra de Santa Marta, Magdalena;11.1078;-74.0487;Call notes;Santa Marta Jan 2009 track 103 Andean Siskin w Green violetear.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/Santa Marta Jan 2009 track 103 Andean Siskin w Green violetear.mp3;http://www.xeno-canto.org/sounds/uploaded/OXSIOLJJUP/ffts/tb/Santa Marta Jan 2009 track 103 Andean Siskin w Green violetear.png
53672;Carduelis;spinescens;Andean Siskin;;Bernabe Lopez-Lanus;Colombia;Pantanos del Quindio (Paramillo del Quindio), PN Los Nevados, Quindio;;;Song;Carduelis spinescens_Pantanos del Quindio (Paramillo del quindio)_PN Los Nevados_Quindio_ Colombia_25NOV1998 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Carduelis spinescens_Pantanos del Quindio (Paramillo del quindio)_PN Los Nevados_Quindio_ Colombia_25NOV1998 b_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Carduelis spinescens_Pantanos del Quindio (Paramillo del quindio)_PN Los Nevados_Quindio_ Colombia_25NOV1998 b_Bernabe Lopez-Lanus.png
53910;Carduelis;spinescens;Andean Siskin;;Bernabe Lopez-Lanus;Colombia;Reserva Acaime, vereda Quindio, Quindio;;;Calls;Carduelis spinescens_Reserva Acaime_Vereda Quindio_Quindio_Colombia_13DIC1998 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Carduelis spinescens_Reserva Acaime_Vereda Quindio_Quindio_Colombia_13DIC1998 d_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Carduelis spinescens_Reserva Acaime_Vereda Quindio_Quindio_Colombia_13DIC1998 d_Bernabe Lopez-Lanus.png
77160;Carduelis;spinescens;Andean Siskin;;Pablo Florez;Colombia;Paramo Belmira;6.62;-75.638;;Carduelis spinescens.mp3;http://www.xeno-canto.org/sounds/uploaded/ISWBQKPBGS/Carduelis spinescens.mp3;http://www.xeno-canto.org/sounds/uploaded/ISWBQKPBGS/ffts/tb/Carduelis spinescens.png
86440;Carduelis;spinescens;Andean Siskin;;Oswaldo Cortes;Colombia;Parque Natural Sumapaz, Laguna de Chisaca;;;songs;carduelis spinencens_suamapaz 00000.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/carduelis spinencens_suamapaz 00000.mp3;http://www.xeno-canto.org/sounds/uploaded/VVDRVZCVWW/ffts/tb/carduelis spinencens_suamapaz 00000.png
