5822;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;frantzii;Richard Garrigues;Costa Rica;San Gerardo de Dota, San Jose Prov.;9.815299;-83.908081;Song;ruddy-capped nightingale-thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/JEMUWXXHFG/ruddy-capped nightingale-thrush.mp3;http://www.xeno-canto.org/sounds/uploaded/JEMUWXXHFG/ffts/tb/ruddy-capped nightingale-thrush.png
8889;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Allen T. Chartier;Costa Rica;Bajo Gloria, Genesis II Natural Area;9.7084;-83.9084;Song;Catharus_frantzii_CR-GII_19920325_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Catharus_frantzii_CR-GII_19920325_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Catharus_frantzii_CR-GII_19920325_S1_ATC.png
9125;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Allen T. Chartier;Costa Rica;Bajo Gloria, Genesis II Natural Area;9.7084;-83.9084;Song;Catharus_frantzii_CR-GII_19920324_S4_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Catharus_frantzii_CR-GII_19920324_S4_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Catharus_frantzii_CR-GII_19920324_S4_ATC.png
9126;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Allen T. Chartier;Costa Rica;Bajo Gloria, Genesis II Natural Area;9.7084;-83.9084;Song;Catharus_frantzii_CR-GII_19920324_S6_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Catharus_frantzii_CR-GII_19920324_S6_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Catharus_frantzii_CR-GII_19920324_S6_ATC.png
11131;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Tom Will;Nicaragua;Selva Negra;13.0728;-85.9559;song;54b2.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/54b2.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/54b2.png
22118;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Jelle Scharringa;Guatemala;Fuentes Georginas, Zunil;;;call;catfra01.mp3;http://www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/catfra01.mp3;http://www.xeno-canto.org/sounds/uploaded/KDTMIWOGNC/ffts/tb/catfra01.png
31768;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Andrew Spencer;Panama;Sendero Los Quetzales, Chiriqui Province;8.85;-82.53333;song;Ruddy-capped Nightingale-Thrush2009-3-21-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Ruddy-capped Nightingale-Thrush2009-3-21-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Ruddy-capped Nightingale-Thrush2009-3-21-1.png
58044;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Jon King;Mexico;Nevado de Colima, Jalisco;;;call;Nightingale_Thrush_Ruddy_capped_call_0194_270510_2006.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Ruddy_capped_call_0194_270510_2006.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Ruddy_capped_call_0194_270510_2006.png
58045;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Jon King;Mexico;Las Minas road, near Xalapa, Veracruz;;;call;Nightingale_Thrush_Ruddy_capped_call_0293_220610_1916.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Ruddy_capped_call_0293_220610_1916.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Ruddy_capped_call_0293_220610_1916.png
58046;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Jon King;Mexico;Nevado de Colima, Jalisco;;;song;Nightingale_Thrush_Ruddy_capped_song_0217_280510_2041.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Ruddy_capped_song_0217_280510_2041.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Ruddy_capped_song_0217_280510_2041.png
58047;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Jon King;Mexico;Las Minas road, near Xalapa, Veracruz;;;song;Nightingale_Thrush_Ruddy_capped_song_0291_220610_1911.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Ruddy_capped_song_0291_220610_1911.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Ruddy_capped_song_0291_220610_1911.png
58048;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Jon King;Mexico;Las Minas road, near Xalapa, Veracruz;;;song;Nightingale_Thrush_Ruddy_capped_song_0295_220610_1923.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/Nightingale_Thrush_Ruddy_capped_song_0295_220610_1923.mp3;http://www.xeno-canto.org/sounds/uploaded/LNEEOOWCQR/ffts/tb/Nightingale_Thrush_Ruddy_capped_song_0295_220610_1923.png
73251;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Joseph Tobias and Nathalie Seddon;Panama;?;;;song;Catharus_frantzii_T2261.mp3;http://www.xeno-canto.org/sounds/uploaded/IKMWQIXRNV/Catharus_frantzii_T2261.mp3;http://www.xeno-canto.org/sounds/uploaded/IKMWQIXRNV/ffts/tb/Catharus_frantzii_T2261.png
83094;Catharus;frantzii;Ruddy-capped Nightingale-Thrush;;Brian Cox;Panama;Los Quetzales Ecolodge, Chirique Province, Panama.;8.8837;-82.5659;call;ruddy-capped_nightingalethrush_los_quetz.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ruddy-capped_nightingalethrush_los_quetz.mp3;http://www.xeno-canto.org/sounds/uploaded/OKSKESEOLP/ffts/tb/ruddy-capped_nightingalethrush_los_quetz.png
