3602;Catherpes;mexicanus;Canyon Wren;;Don Jones;United States;Sheelite Canyon, Huachuca Mtns, Arizona;31.4653;-110.357;call;CNWR_C_.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/CNWR_C_.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/CNWR_C_.png
3603;Catherpes;mexicanus;Canyon Wren;;Don Jones;United States;Sheelite Canyon, Huachuca Mtns, Arizona;31.4653;-110.357;song;CNWR_S_.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/CNWR_S_.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/CNWR_S_.png
11618;Catherpes;mexicanus;Canyon Wren;;Todd Mark;Mexico;Cuarenta Casas, Sierra Madre Occidental, Chihuahua;29.5501;-108.1667;song;TMIItapeIVCatCany.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/TMIItapeIVCatCany.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/ffts/tb/TMIItapeIVCatCany.png
11636;Catherpes;mexicanus;Canyon Wren;;Nathan Pieplow;United States;Hall Ranch, Boulder County, Colorado;;;call;NDP2007-CANWc-HallRnch-Bou-CO-3-18.mp3;http://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/NDP2007-CANWc-HallRnch-Bou-CO-3-18.mp3;http://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/ffts/tb/NDP2007-CANWc-HallRnch-Bou-CO-3-18.png
11637;Catherpes;mexicanus;Canyon Wren;;Nathan Pieplow;United States;Hall Ranch, Boulder County, Colorado;;;song and calls;NDP2007-CANWcs-HallRnch-Bou-CO-3-18.mp3;http://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/NDP2007-CANWcs-HallRnch-Bou-CO-3-18.mp3;http://www.xeno-canto.org/sounds/uploaded/EKKJJJRDJY/ffts/tb/NDP2007-CANWcs-HallRnch-Bou-CO-3-18.png
14176;Catherpes;mexicanus;Canyon Wren;;Chris Parrish;United States;Cave Creek, Chiricahua Mountains, Cochise County, Arizona;31.8848;-109.1756;song;cp0512_xc_Catherpes_mexicanus_07jul2007_CaveCreek.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/cp0512_xc_Catherpes_mexicanus_07jul2007_CaveCreek.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/cp0512_xc_Catherpes_mexicanus_07jul2007_CaveCreek.png
14399;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;Yellowjacket Canyon, Montezuma Co., Colorado;38.74915;-108.76899;calls;CANW2007-7-12calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2007-7-12calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2007-7-12calls1.png
18126;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;Montosa Canyon, Santa Cruz Co., Arizona;31.68981;-111.04481;song;CANW2008-2-21-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2008-2-21-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2008-2-21-2.png
21446;Catherpes;mexicanus;Canyon Wren;punctulatus of Grinnell = conspersus of Unitt;Richard E Webster;Mexico;Comondu, Baja Sur;25.9742;-111.9184;song;Canyon Wren s No 2 Comundu BajaS 031707.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/Canyon Wren s No 2 Comundu BajaS 031707.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/tb/Canyon Wren s No 2 Comundu BajaS 031707.png
21447;Catherpes;mexicanus;Canyon Wren;conspersus (incl punctulatus);Richard E Webster;Mexico;Comondu, Baja Sur;25.9742;-111.9184;song;Canyon Wren s 1x Comundu BajaS 031707.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/Canyon Wren s 1x Comundu BajaS 031707.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/tb/Canyon Wren s 1x Comundu BajaS 031707.png
21448;Catherpes;mexicanus;Canyon Wren;;Richard E Webster;Mexico;Comondu, Baja Sur;25.9742;-111.9184;call;Canyon Wren c Comundu BajaS 031707.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/Canyon Wren c Comundu BajaS 031707.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/tb/Canyon Wren c Comundu BajaS 031707.png
33159;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;Picture Canyon, Baca Co., Colorado;37.0117;-102.7445;calls;CANW2008-5-29alarm1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2008-5-29alarm1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2008-5-29alarm1.png
33160;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;Picture Canyon, Baca Co., Colorado;37.0117;-102.7445;calls;CANW2008-5-29alarm2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2008-5-29alarm2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2008-5-29alarm2.png
33161;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;Picture Canyon, Baca Co., Colorado;37.0117;-102.7445;calls;CANW2008-5-29alarm3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2008-5-29alarm3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2008-5-29alarm3.png
33162;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;Picture Canyon, Baca Co., Colorado;37.0117;-102.7445;calls;CANW2008-5-29alarm4.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2008-5-29alarm4.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2008-5-29alarm4.png
33724;Catherpes;mexicanus;Canyon Wren;;Sandra Gallo-Corona;Mexico;Coapan, Jalisco;;;song;Catherpes mexicanus SG.mp3;http://www.xeno-canto.org/sounds/uploaded/IIVTZCBUCH/Catherpes mexicanus SG.mp3;http://www.xeno-canto.org/sounds/uploaded/IIVTZCBUCH/ffts/tb/Catherpes mexicanus SG.png
34441;Catherpes;mexicanus;Canyon Wren;;Andrew Spencer;United States;California Gulch, Santa Cruz Co., Arizona;31.4173;-111.2387;song;CANW2009-5-22-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/CANW2009-5-22-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/CANW2009-5-22-1.png
56772;Catherpes;mexicanus;Canyon Wren;;manuel Grosselet;Mexico;Mx, Oaxaca Monte Albán;17.039;-96.765;song;canyonwren.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/canyonwren.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/canyonwren.png
57656;Catherpes;mexicanus;Canyon Wren;conspersus;Mike Nelson;United States;Cottonwood Canyon, Comanche Grasslands, Baca County, Colorado;37.132;-102.9978;Song;CanyonWren1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/CanyonWren1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/CanyonWren1.png
57658;Catherpes;mexicanus;Canyon Wren;conspersus;Mike Nelson;United States;Canon City, Colorado;38.4351;-105.242;Song;CanyonWren2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/CanyonWren2.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/CanyonWren2.png
72412;Catherpes;mexicanus;Canyon Wren;punctulatus;Richard E Webster;Mexico;La Corona Arriba, Sierra San Pedro Martir, Baja California;30.98;-115.504;songs;WREN_Canyon punctulatus 2400m SSPM 051106 0720.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/WREN_Canyon punctulatus 2400m SSPM 051106 0720.mp3;http://www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/tb/WREN_Canyon punctulatus 2400m SSPM 051106 0720.png
87639;Catherpes;mexicanus;Canyon Wren;conspersus;Andrew Spencer;United States;Two Buttes SWA, Baca County, Colorado;37.56112;-102.39769;song;Canyon Wren2011-4-30-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Canyon Wren2011-4-30-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Canyon Wren2011-4-30-2.png
87640;Catherpes;mexicanus;Canyon Wren;conspersus;Andrew Spencer;United States;Two Buttes SWA, Baca County, Colorado;37.56112;-102.39769;song;Canyon Wren2011-4-30-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Canyon Wren2011-4-30-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Canyon Wren2011-4-30-1.png
