12356;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Oscar Laverde;Colombia;Ricaurte, RN La Planada, Narino;1.0834;-77.8834;song;17146.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17146.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17146.png
12382;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Oscar Laverde;Colombia;Altaquer, RN Rio Nambi, Narino;1.3001;-78.0834;song;17208.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17208.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17208.png
12384;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Oscar Laverde;Colombia;Altaquer, RN Rio Nambi, Narino;1.3001;-78.0834;calls?;17211.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/17211.mp3;http://www.xeno-canto.org/sounds/uploaded/WKVKSVMNDZ/ffts/tb/17211.png
13272;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Nick Athanas;Ecuador;Cristal, Esmeraldas;0.8237;-78.5139;call;R09_0576-Glistening-green-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/R09_0576-Glistening-green-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/R09_0576-Glistening-green-Tanager.png
18311;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Herman van Oosten;Colombia;Near El Cairo, Choco;;;calls;Chlorochrysa phoenicotis_1345_15208.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/Chlorochrysa phoenicotis_1345_15208.mp3;http://www.xeno-canto.org/sounds/uploaded/SNUDCZVUQK/ffts/tb/Chlorochrysa phoenicotis_1345_15208.png
22204;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Andrew Spencer;Colombia;Road to San Jose del Palmar, Serrania de las Paraguas, Choco;4.8412;-76.2153;song;Glistening-green Tanager2008-7-31-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Glistening-green Tanager2008-7-31-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Glistening-green Tanager2008-7-31-1.png
22205;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Andrew Spencer;Colombia;Road to San Jose del Palmar, Serrania de las Paraguas, Choco;4.8412;-76.2153;song;Glistening-green Tanager2008-7-31-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Glistening-green Tanager2008-7-31-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Glistening-green Tanager2008-7-31-2.png
82537;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Andrew Spencer;Colombia;RNA Las Tangaras, Choco;5.7289;-76.2439;call?;Glistening-green Tanager2011-6-26-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Glistening-green Tanager2011-6-26-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Glistening-green Tanager2011-6-26-3.png
82538;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Andrew Spencer;Colombia;RNA Las Tangaras, Choco;5.7289;-76.2439;call?;Glistening-green Tanager2011-6-26-4.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Glistening-green Tanager2011-6-26-4.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Glistening-green Tanager2011-6-26-4.png
82539;Chlorochrysa;phoenicotis;Glistening-green Tanager;;Andrew Spencer;Colombia;RNA Las Tangaras, Choco;5.7289;-76.2439;call?;Glistening-green Tanager2011-6-24-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Glistening-green Tanager2011-6-24-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Glistening-green Tanager2011-6-24-1.png
