20487;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Sander Pieterse  and  Ben Wielstra;Indonesia;Mului, Gunung Lumut Protection Forest, East Kalimantan, Borneo;-1.4512;115.9984;song, calls;2005_east_kalimantan_-_blue-winged_leafbird_64kbps_edit.mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/2005_east_kalimantan_-_blue-winged_leafbird_64kbps_edit.mp3;http://www.xeno-canto.org/sounds/uploaded/HMLZGZJENG/ffts/tb/2005_east_kalimantan_-_blue-winged_leafbird_64kbps_edit.png
33658;Chloropsis;cochinchinensis;Blue-winged Leafbird;viridinucha;Tjalle Boorsma;Indonesia;Swanslutung, Gunung Lumut Protection Forest, East Kalimantan, Borneo;-1.4001;115.8667;Call;049. Blue-winged Leafbird (Call).mp3;http://www.xeno-canto.org/sounds/uploaded/YXENFOVUZX/049. Blue-winged Leafbird (Call).mp3;http://www.xeno-canto.org/sounds/uploaded/YXENFOVUZX/ffts/tb/049. Blue-winged Leafbird (Call).png
61884;Chloropsis;cochinchinensis;Blue-winged Leafbird;moluccensis;Frank Lambert;Malaysia;Banding Dam area, logging road, Perak;5.5678;101.4009;calls of male;Chloropsis_cochinchinensis_moluccensis-FL male logging rd nrTambingDam Perak MY 322m 4Sept2010 FL042.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Chloropsis_cochinchinensis_moluccensis-FL male logging rd nrTambingDam Perak MY 322m 4Sept2010 FL042.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Chloropsis_cochinchinensis_moluccensis-FL male logging rd nrTambingDam Perak MY 322m 4Sept2010 FL042.png
64641;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Iain Woxvold;Laos;Vilabouly District, Savannakhet Province;16.9501;105.9334;Song;Blue-winged_Leafbird_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Blue-winged_Leafbird_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Blue-winged_Leafbird_IW1.png
65348;Chloropsis;cochinchinensis;Blue-winged Leafbird;moluccensis;Rolf A. de By;Malaysia;Johor, Panti Forest Reserve, Bunker Trail;1.8773;103.9184;calls;rdb2010_1026_065129.mp3;http://www.xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/rdb2010_1026_065129.mp3;http://www.xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/tb/rdb2010_1026_065129.png
65379;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Iain Woxvold;Indonesia;Sungai Mahkam,  Berau District, East Kalimantan;2.192;116.7351;Calls;Blue-winged_Leafbird_Berau07_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Blue-winged_Leafbird_Berau07_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Blue-winged_Leafbird_Berau07_IW1.png
65380;Chloropsis;cochinchinensis;Blue-winged Leafbird;;Iain Woxvold;Indonesia;Sungai Mahkam,  Berau District, East Kalimantan;2.192;116.7351;Calls;Blue-winged_Leafbird_Berau07_IW2.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Blue-winged_Leafbird_Berau07_IW2.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Blue-winged_Leafbird_Berau07_IW2.png
71614;Chloropsis;cochinchinensis;Blue-winged Leafbird;icterocephala;Bas van Balen;Indonesia;Martabe, North Sumatra;;;call  note;Chlococh_27vi03_700_174B424.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/Chlococh_27vi03_700_174B424.mp3;http://www.xeno-canto.org/sounds/uploaded/VSXHBVQJDA/ffts/tb/Chlococh_27vi03_700_174B424.png
90268;Chloropsis;cochinchinensis;Blue-winged Leafbird;moluccensis;Frank Lambert;Malaysia;Ulu Mudah, Kedah (nr Earth Lodge);6.1151;100.9634;calls male;Chloropsis_cochinchinensis_moluccensis-FL male calls UluMuda Kedah MY 13Nov11 R05_0123.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Chloropsis_cochinchinensis_moluccensis-FL male calls UluMuda Kedah MY 13Nov11 R05_0123.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Chloropsis_cochinchinensis_moluccensis-FL male calls UluMuda Kedah MY 13Nov11 R05_0123.png
91192;Chloropsis;cochinchinensis;Blue-winged Leafbird;icterocephala;Fabian Ducry  and  David Marques;Indonesia;Way Kambas NP, Lampung, Sumatra;-4.9178;105.7489;song;20090915_WayKambas_BluewingedLeafbird_song.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/20090915_WayKambas_BluewingedLeafbird_song.mp3;http://www.xeno-canto.org/sounds/uploaded/VLLMNTIBZB/ffts/tb/20090915_WayKambas_BluewingedLeafbird_song.png
