4874;Conirostrum;bicolor;Bicolored Conebill;;Sidnei de Melo Dantas;Brazil;Recife, state of Pernambuco;-8.2617;-34.8884;calls, song;Conirostrum bicolor Recife.mp3;http://www.xeno-canto.org/sounds/uploaded/NNCKQMBGPH/Conirostrum bicolor Recife.mp3;http://www.xeno-canto.org/sounds/uploaded/NNCKQMBGPH/ffts/tb/Conirostrum bicolor Recife.png
5384;Conirostrum;bicolor;Bicolored Conebill;bicolor;Richard C. Hoyer;Brazil;São Francisco do Conde, Bahia;-12.6231;-38.6492;song or call;Bicolored_Conebill_Hoyer.mp3;http://www.xeno-canto.org/sounds/uploaded/SRRRBQPENI/Bicolored_Conebill_Hoyer.mp3;http://www.xeno-canto.org/sounds/uploaded/SRRRBQPENI/ffts/tb/Bicolored_Conebill_Hoyer.png
5805;Conirostrum;bicolor;Bicolored Conebill;;Mauricio Cabral Periquito;Brazil;Guadalupe, Sirinhaém - Pernambuco;-8.68333;-35.1;calls;C. bicolor.mp3;http://www.xeno-canto.org/sounds/uploaded/HERKCTHDZI/C. bicolor.mp3;http://www.xeno-canto.org/sounds/uploaded/HERKCTHDZI/ffts/tb/C. bicolor.png
7478;Conirostrum;bicolor;Bicolored Conebill;;Glauco Alves Pereira;Brazil;Parque dos Manguezais, Pina, Recife, Pernambuco;-8.09781;-34.899015;Song;Conirostrum bicolor_Pina_Recife, Pe_18.12.04_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Conirostrum bicolor_Pina_Recife, Pe_18.12.04_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Conirostrum bicolor_Pina_Recife, Pe_18.12.04_Glauco.png
11410;Conirostrum;bicolor;Bicolored Conebill;;Robson Silva e Silva;Brazil;Mangroves of Quilombo River, Santos, São Paulo State;;;;Conirostrum_bicolor_Santos_SP_Rio_Quilombo_19_Abr_2005.mp3;http://www.xeno-canto.org/sounds/uploaded/WZSVLIHYQF/Conirostrum_bicolor_Santos_SP_Rio_Quilombo_19_Abr_2005.mp3;http://www.xeno-canto.org/sounds/uploaded/WZSVLIHYQF/ffts/tb/Conirostrum_bicolor_Santos_SP_Rio_Quilombo_19_Abr_2005.png
11950;Conirostrum;bicolor;Bicolored Conebill;;Frank Lambert;Peru;Padre Island, near Cumaceba Lodge;-3.660761;-73.167572;song;BicolConeBl-FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BicolConeBl-FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/BicolConeBl-FL.png
11951;Conirostrum;bicolor;Bicolored Conebill;;Frank Lambert;Peru;Padre Island, near Cumaceba Lodge;-3.660761;-73.167572;song;BicolConeBl2-FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BicolConeBl2-FL.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/BicolConeBl2-FL.png
44055;Conirostrum;bicolor;Bicolored Conebill;;Alexandre Renaudier;French Guiana;Mana, Amana Nature Reserve;;;song;20081030CONBICsong.mp3;http://www.xeno-canto.org/sounds/uploaded/GKADEITXTH/20081030CONBICsong.mp3;http://www.xeno-canto.org/sounds/uploaded/GKADEITXTH/ffts/tb/20081030CONBICsong.png
46271;Conirostrum;bicolor;Bicolored Conebill;;Charlie Vogt;Guyana;Abary Creek, 65km SE Georgetown, Guyana;6.5501;-57.7501;song;Bicolored Conebill R0926_0142.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/Bicolored Conebill R0926_0142.mp3;http://www.xeno-canto.org/sounds/uploaded/NYTXYAQSTH/ffts/tb/Bicolored Conebill R0926_0142.png
56616;Conirostrum;bicolor;Bicolored Conebill;;Patrick INGREMEAU;French Guiana;Guatemala - Kourou;;;calls;Conirostrum bicolor B07h56m26s + B07h57m12s 20jun2010.mp3;http://www.xeno-canto.org/sounds/uploaded/IIVTYSKEYX/Conirostrum bicolor B07h56m26s + B07h57m12s 20jun2010.mp3;http://www.xeno-canto.org/sounds/uploaded/IIVTYSKEYX/ffts/tb/Conirostrum bicolor B07h56m26s + B07h57m12s 20jun2010.png
