20023;Conostoma;aemodium;Great Parrotbill;;Nick Athanas;China;Wu Yi-Peng, Sichuan;30.9939;103.1601;call;HI-0529-Great-Parrotbill.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/HI-0529-Great-Parrotbill.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/HI-0529-Great-Parrotbill.png
43425;Conostoma;aemodium;Great Parrotbill;;Chubzang Tangbi;Bhutan;Pelela Pass;37.16;76.992;;Great_parrotbill.mp3;http://www.xeno-canto.org/sounds/uploaded/AAEANZYXHM/Great_parrotbill.mp3;http://www.xeno-canto.org/sounds/uploaded/AAEANZYXHM/ffts/tb/Great_parrotbill.png
56192;Conostoma;aemodium;Great Parrotbill;;Jan Hein van Steenis;China;Wuyipeng Research Station, Wolong, China [GPS: N30.98832, E103.16220];;;song;GreatParrotbillsong.mp3;http://www.xeno-canto.org/sounds/uploaded/PVOFDSYTIW/GreatParrotbillsong.mp3;http://www.xeno-canto.org/sounds/uploaded/PVOFDSYTIW/ffts/tb/GreatParrotbillsong.png
67983;Conostoma;aemodium;Great Parrotbill;;Frank Lambert;China;Wolong, near the Wo Yu Ping research station;31;103;song;Conostoma_oemodium_Sichuan-99a-FRL_CN_12.1_1.3-20.8_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Conostoma_oemodium_Sichuan-99a-FRL_CN_12.1_1.3-20.8_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Conostoma_oemodium_Sichuan-99a-FRL_CN_12.1_1.3-20.8_1_s.png
67984;Conostoma;aemodium;Great Parrotbill;;Frank Lambert;China;Wolong, near the Wo Yu Ping research station;31;103;song;Conostoma_oemodium_Sichuan-99a-FRL_CN_12.2_20.8-67.3_2_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Conostoma_oemodium_Sichuan-99a-FRL_CN_12.2_20.8-67.3_2_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Conostoma_oemodium_Sichuan-99a-FRL_CN_12.2_20.8-67.3_2_s.png
67985;Conostoma;aemodium;Great Parrotbill;;Frank Lambert;China;Wolong, near the Wo Yu Ping research station;31;103;song;Conostoma_oemodium_Sichuan-99a-FRL_CN_12.3_67.3-95_3_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Conostoma_oemodium_Sichuan-99a-FRL_CN_12.3_67.3-95_3_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Conostoma_oemodium_Sichuan-99a-FRL_CN_12.3_67.3-95_3_s.png
67986;Conostoma;aemodium;Great Parrotbill;;Frank Lambert;China;Wolong, near the Wo Yu Ping research station;31;103;song;Conostoma_oemodium_Sichuan-99a-FRL_CN_13_721-827_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Conostoma_oemodium_Sichuan-99a-FRL_CN_13_721-827_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Conostoma_oemodium_Sichuan-99a-FRL_CN_13_721-827_1_s.png
67987;Conostoma;aemodium;Great Parrotbill;;Frank Lambert;China;Wolong, near the Wo Yu Ping research station;31;103;song;Conostoma_oemodium_Sichuan-99a-FRL_CN_14_861-889_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Conostoma_oemodium_Sichuan-99a-FRL_CN_14_861-889_1_s.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Conostoma_oemodium_Sichuan-99a-FRL_CN_14_861-889_1_s.png
80983;Conostoma;aemodium;Great Parrotbill;;Yong Ding Li;China;Wawu Shan (entrance road), Sichuan;29.6987;102.9542;Song;Great Parrotbill_Wawushan.mp3;http://www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/Great Parrotbill_Wawushan.mp3;http://www.xeno-canto.org/sounds/uploaded/NWTKEXMKCA/ffts/tb/Great Parrotbill_Wawushan.png
88668;Conostoma;aemodium;Great Parrotbill;;Norbu;Bhutan;Thrumsing La;27.1301;90.6839;Song;Great Parrotbill-2.mp3;http://www.xeno-canto.org/sounds/uploaded/VIKPYZTNYJ/Great Parrotbill-2.mp3;http://www.xeno-canto.org/sounds/uploaded/VIKPYZTNYJ/ffts/tb/Great Parrotbill-2.png
88669;Conostoma;aemodium;Great Parrotbill;;Norbu;Bhutan;Thrumsing La;27.1301;90.6839;Song;Great Parrotbill-3.mp3;http://www.xeno-canto.org/sounds/uploaded/VIKPYZTNYJ/Great Parrotbill-3.mp3;http://www.xeno-canto.org/sounds/uploaded/VIKPYZTNYJ/ffts/tb/Great Parrotbill-3.png
