28652;Cyanomitra;olivacea;Olive Sunbird;;Patrik Åberg;South Africa;Orbi Gorge;-30.696383;30.259438;Song;OlivSunbirdOrbiGorge2006-12-30.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/OlivSunbirdOrbiGorge2006-12-30.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/OlivSunbirdOrbiGorge2006-12-30.png
46401;Cyanomitra;olivacea;Olive Sunbird;obscura;Mike Nelson;Ghana;Antwikwaa, Ghana;5.4306;-1.4145;Call;WesternOliveSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/WesternOliveSunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/WesternOliveSunbird.png
48062;Cyanomitra;olivacea;Olive Sunbird;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Alarm call;OliveSunbird_warning_1991-08-04_Nd.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/OliveSunbird_warning_1991-08-04_Nd.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/OliveSunbird_warning_1991-08-04_Nd.png
49844;Cyanomitra;olivacea;Olive Sunbird;;Louis A. Hansen;Tanzania;Nyumbanitu, Udzungwa Mts, Iringa Region;-7.8334;36.3834;Call;OliveSun_call-odd_Nyumbanitu1660m_2002-Dec-11_highPass_Rept2.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/OliveSun_call-odd_Nyumbanitu1660m_2002-Dec-11_highPass_Rept2.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/OliveSun_call-odd_Nyumbanitu1660m_2002-Dec-11_highPass_Rept2.png
62393;Cyanomitra;olivacea;Olive Sunbird;olivacina;Charles Hesse;South Africa;Enseleni Nature Reserve;-28.693;31.999;Song;740EOSUN_pctur1001070901SAEN2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/740EOSUN_pctur1001070901SAEN2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/740EOSUN_pctur1001070901SAEN2.png
62549;Cyanomitra;olivacea;Olive Sunbird;olivacea;Charles Hesse;South Africa;Pigeon Valley;-29.864;30.987;Calls;094EOSUN1007080814SAPV2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/094EOSUN1007080814SAPV2.mp3;http://www.xeno-canto.org/sounds/uploaded/FMQSRXIRTH/ffts/tb/094EOSUN1007080814SAPV2.png
69864;Cyanomitra;olivacea;Olive Sunbird;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Song;13 Nectarinia olivacea-Song.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/13 Nectarinia olivacea-Song.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/13 Nectarinia olivacea-Song.png
69865;Cyanomitra;olivacea;Olive Sunbird;;The late Jens O. Svendsen and Louis A. Hansen;Tanzania;Ndundulu, Udzungwa Mts, Iringa Region;-7.7834;36.4995;Call;13 Nectarinia olivacea-Warning-two-types.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/13 Nectarinia olivacea-Warning-two-types.mp3;http://www.xeno-canto.org/sounds/uploaded/SGNUEQHVBW/ffts/tb/13 Nectarinia olivacea-Warning-two-types.png
73297;Cyanomitra;olivacea;Olive Sunbird;changamwensis;James Bradley;Kenya;Msambweni;-4.495;39.473;song;Olive Sunbird_1a_Msambweni_3Feb.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/Olive Sunbird_1a_Msambweni_3Feb.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/tb/Olive Sunbird_1a_Msambweni_3Feb.png
73298;Cyanomitra;olivacea;Olive Sunbird;changamwensis;James Bradley;Kenya;Kaya Kinondo, coastal province;-4.394;39.546;song;Olive Sunbird_1a_KayaKinondo_3Feb.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/Olive Sunbird_1a_KayaKinondo_3Feb.mp3;http://www.xeno-canto.org/sounds/uploaded/ITRQTFVLNT/ffts/tb/Olive Sunbird_1a_KayaKinondo_3Feb.png
92548;Cyanomitra;olivacea;Olive Sunbird;;Martin St-Michel;Tanzania;Luwalo-area, Ndundulu forest, Udzungwa Mts.;-7.7501;36.5001;Song;Olive Sunbird (Luala-2011-10-30-07h47) LS110360.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/Olive Sunbird (Luala-2011-10-30-07h47) LS110360.mp3;http://www.xeno-canto.org/sounds/uploaded/WOPORNCCSX/ffts/tb/Olive Sunbird (Luala-2011-10-30-07h47) LS110360.png
