2140;Diglossa;mystacalis;Moustached Flowerpiercer;mystacalis;Sjoerd Mayer;Bolivia;Obrajes, 40 minutes downstream from Pelechuco, La Paz;-14.8;-69.067;Song;45/b08a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/45/b08a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/45_b08a.png
2142;Diglossa;mystacalis;Moustached Flowerpiercer;mystacalis;Sjoerd Mayer;Bolivia;Obrajes, 40 minutes downstream from Pelechuco, La Paz;-14.8;-69.067;Song;45/b13.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/45/b13.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/45_b13.png
3390;Diglossa;mystacalis;Moustached Flowerpiercer;mystacalis;Sebastian K. Herzog;Bolivia;Old rd Cochabamba - V. Tunari, Camp 1. Carrasco NP, Cochabamba;-17.1667;-65.5834;Song;2080/b16.mp3;http://www.xeno-canto.org/sounds/uploaded/UYGLRGKDEF/2080/b16.mp3;http://www.xeno-canto.org/sounds/uploaded/UYGLRGKDEF/ffts/tb/2080_b16.png
10350;Diglossa;mystacalis;Moustached Flowerpiercer;;Todd Mark;Peru;Bosque Huaylaspampa, Cordillera Carpish, Huanuco;-9.7001;-76.0334;song;TMIItapeVDigMys.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/TMIItapeVDigMys.mp3;http://www.xeno-canto.org/sounds/uploaded/CLKPHLYUHA/ffts/tb/TMIItapeVDigMys.png
15458;Diglossa;mystacalis;Moustached Flowerpiercer;;Juan Mazar Barnett;Bolivia;El Cañadon, Cochabamba;-17.1667;-65.9001;Calls;Moustached Flowerpiercer (Diglossa mystacalis) 3.mp3;http://www.xeno-canto.org/sounds/uploaded/KVDIDMAVLE/Moustached Flowerpiercer (Diglossa mystacalis) 3.mp3;http://www.xeno-canto.org/sounds/uploaded/KVDIDMAVLE/ffts/tb/Moustached Flowerpiercer (Diglossa mystacalis) 3.png
22973;Diglossa;mystacalis;Moustached Flowerpiercer;;David Geale;Peru;Jocha, Marcapata, Cusco;-13.5898;-70.9364;song;digmys01.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/digmys01.mp3;http://www.xeno-canto.org/sounds/uploaded/SBFBVYGIJC/ffts/tb/digmys01.png
29851;Diglossa;mystacalis;Moustached Flowerpiercer;;Ramiro Yabar;Peru;Satipo road, Junin;-11.4026;-74.7509;calls?;Moustached Flowerpiercer.mp3;http://www.xeno-canto.org/sounds/uploaded/AOAQPHUGAD/Moustached Flowerpiercer.mp3;http://www.xeno-canto.org/sounds/uploaded/AOAQPHUGAD/ffts/tb/Moustached Flowerpiercer.png
47022;Diglossa;mystacalis;Moustached Flowerpiercer;;Andrew Spencer;Peru;Puente Carrizales area, Satipo Road, Junin;-11.4867;-74.8859;song;Moustached Flowerpiercer2009-11-25-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Moustached Flowerpiercer2009-11-25-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Moustached Flowerpiercer2009-11-25-1.png
47023;Diglossa;mystacalis;Moustached Flowerpiercer;;Andrew Spencer;Peru;Puente Carrizales area, Satipo Road, Junin;-11.4867;-74.8859;song;Moustached Flowerpiercer2009-11-25-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Moustached Flowerpiercer2009-11-25-3.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Moustached Flowerpiercer2009-11-25-3.png
47024;Diglossa;mystacalis;Moustached Flowerpiercer;;Andrew Spencer;Peru;Puente Carrizales area, Satipo Road, Junin;-11.4867;-74.8859;call;Moustached Flowerpiercer2009-11-25-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Moustached Flowerpiercer2009-11-25-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Moustached Flowerpiercer2009-11-25-2.png
73520;Diglossa;mystacalis;Moustached Flowerpiercer;;Joseph Tobias and Nathalie Seddon;Bolivia;Muñamachay, La Paz, BO;-14.7;-69.01666667;song;Diglossa_mystacalis_T1133.mp3;http://www.xeno-canto.org/sounds/uploaded/IKMWQIXRNV/Diglossa_mystacalis_T1133.mp3;http://www.xeno-canto.org/sounds/uploaded/IKMWQIXRNV/ffts/tb/Diglossa_mystacalis_T1133.png
