2032;Diuca;speculifera;White-winged Diuca Finch;;Sjoerd Mayer;Bolivia;La Cumbre, near La Paz, La Paz;-16.317;-68.033;Calls;37/b02a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/37/b02a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/37_b02a.png
24262;Diuca;speculifera;White-winged Diuca Finch;;Niels Krabbe;Bolivia;La Cumbre, near La Paz, La Paz;-16.317;-68.033;calls from ground and in flight;Diuca_speculifera_1984_03_03.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Diuca_speculifera_1984_03_03.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Diuca_speculifera_1984_03_03.png
37699;Diuca;speculifera;White-winged Diuca Finch;speculifera;Rodrigo Tapia;Chile;Surire;;;song;DiucaspeculiferaSurireSep08.mp3;http://www.xeno-canto.org/sounds/uploaded/KPOOQRYCPY/DiucaspeculiferaSurireSep08.mp3;http://www.xeno-canto.org/sounds/uploaded/KPOOQRYCPY/ffts/tb/DiucaspeculiferaSurireSep08.png
47386;Diuca;speculifera;White-winged Diuca Finch;speculifera;Niels Krabbe;Peru;La Cumbre, La Paz;-13.0667;-72.3834;calls from ground and in flight;Diuca_s._speculifera,_La_Cumbre,_La_Paz,_1620S_6802W,_4600_m,_03_Mar_1984,_NKrabbe,_calls_ground_and_flight.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Diuca_s._speculifera,_La_Cumbre,_La_Paz,_1620S_6802W,_4600_m,_03_Mar_1984,_NKrabbe,_calls_ground_and_flight.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Diuca_s._speculifera,_La_Cumbre,_La_Paz,_1620S_6802W,_4600_m,_03_Mar_1984,_NKrabbe,_calls_ground_and_flight.png
59902;Diuca;speculifera;White-winged Diuca Finch;;Alvaro Jaramillo;Chile;PN Lauca, XV Region;-18.1692;-69.4309;song;DIUCA-FINCH White-winged_01_PN Lauca_I Region_CH_11FEB04_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/DIUCA-FINCH White-winged_01_PN Lauca_I Region_CH_11FEB04_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/ffts/tb/DIUCA-FINCH White-winged_01_PN Lauca_I Region_CH_11FEB04_Alvaro Jaramillo.png
59903;Diuca;speculifera;White-winged Diuca Finch;;Alvaro Jaramillo;Chile;PN Lauca, XV Region;-18.1692;-69.4309;song;DIUCA-FINCH White-winged_02_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/DIUCA-FINCH White-winged_02_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/ffts/tb/DIUCA-FINCH White-winged_02_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.png
59904;Diuca;speculifera;White-winged Diuca Finch;;Alvaro Jaramillo;Chile;PN Lauca, XV Region;-18.1692;-69.4309;song;DIUCA-FINCH White-winged_03_PN Lauca_Putre_Parinacota_I Region_CH_3NOV99_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/DIUCA-FINCH White-winged_03_PN Lauca_Putre_Parinacota_I Region_CH_3NOV99_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/ffts/tb/DIUCA-FINCH White-winged_03_PN Lauca_Putre_Parinacota_I Region_CH_3NOV99_Alvaro Jaramillo.png
59905;Diuca;speculifera;White-winged Diuca Finch;;Alvaro Jaramillo;Chile;PN Lauca, XV Region;-18.1692;-69.4309;song;DIUCA-FINCH White-winged_04_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/DIUCA-FINCH White-winged_04_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/ffts/tb/DIUCA-FINCH White-winged_04_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.png
59906;Diuca;speculifera;White-winged Diuca Finch;;Alvaro Jaramillo;Chile;PN Lauca, XV Region;-18.1692;-69.4309;song;DIUCA-FINCH White-winged_05_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/DIUCA-FINCH White-winged_05_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.mp3;http://www.xeno-canto.org/sounds/uploaded/XQEVNREHJY/ffts/tb/DIUCA-FINCH White-winged_05_PN Lauca_Parinacota_I Region_CH_30JUL01_Alvaro Jaramillo.png
74855;Diuca;speculifera;White-winged Diuca Finch;magnirostris;Andrew Spencer;Peru;Milloc Bog, Junin;-11.5334;-76.2834;calls;White-winged Diuca-Finch2011-3-16-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-winged Diuca-Finch2011-3-16-2.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-winged Diuca-Finch2011-3-16-2.png
90525;Diuca;speculifera;White-winged Diuca Finch;speculifera;Andrew Spencer;Chile;Parinacota, Parque Nacional Lauca, XV Region;-18.209;-69.273;calls;White-winged Diuca-Finch2011-11-20-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/White-winged Diuca-Finch2011-11-20-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/White-winged Diuca-Finch2011-11-20-1.png
