1640;Embernagra;platensis;Pampa Finch;;Sjoerd Mayer;Bolivia;Honduras, Tariquia, Tarija;-21.967;-64.617;Song;15/b14.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/15/b14.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/15_b14.png
2038;Embernagra;platensis;Pampa Finch;;Sjoerd Mayer;Bolivia;Camillaya, near Inquisivi, La Paz;-16.917;-67.017;Song;38/a05a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/38/a05a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/38_a05a.png
2039;Embernagra;platensis;Pampa Finch;;Sjoerd Mayer;Bolivia;Camillaya, near Inquisivi, La Paz;-16.917;-67.017;Song;38/a08a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/38/a08a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/38_a08a.png
2040;Embernagra;platensis;Pampa Finch;;Sjoerd Mayer;Bolivia;Camillaya, near Inquisivi, La Paz;-16.917;-67.017;Alarm calls (two kinds);38/a08c.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/38/a08c.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/38_a08c.png
2097;Embernagra;platensis;Pampa Finch;;Sjoerd Mayer;Bolivia;Along road down to the Río Khatu. near Inquisivi, La Paz;-16.883;-67.133;Song;42/a05a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/42/a05a.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/42_a05a.png
2748;Embernagra;platensis;Pampa Finch;;Sjoerd Mayer;Bolivia;Near Trinidad, along the road to Santa Cruz, Beni;-14.9167;-64.7501;Song;88/b03.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/88/b03.mp3;http://www.xeno-canto.org/sounds/uploaded/KOIEAHGHNX/ffts/tb/88_b03.png
5620;Embernagra;platensis;Pampa Finch;;Don Jones;Argentina;Estancia S. Juan Poriahu, Corrientes;-27.7001;-57.1834;Song and calls;grpamfin.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/grpamfin.mp3;http://www.xeno-canto.org/sounds/uploaded/BCWZQTGMSO/ffts/tb/grpamfin.png
5749;Embernagra;platensis;Pampa Finch;;Alvaro Riccetto;Uruguay;Piriápolis;-34.9001;-55.2834;song;verdon1.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/verdon1.alvaricc.mp3;http://www.xeno-canto.org/sounds/uploaded/IGDDGNGPAL/ffts/tb/verdon1.alvaricc.png
6749;Embernagra;platensis;Pampa Finch;;Gustavo S Cabanne  and  Frank Rheindt;Brazil;Serra da Canastra, Minas Gerais;-20.2551;-46.4101;song;Colibriserrirostris - Embernagra platensis.mp3;http://www.xeno-canto.org/sounds/uploaded/XXVEEPYYBD/Colibriserrirostris - Embernagra platensis.mp3;http://www.xeno-canto.org/sounds/uploaded/XXVEEPYYBD/ffts/tb/Colibriserrirostris - Embernagra platensis.png
7358;Embernagra;platensis;Pampa Finch;;Fernando Jacobs;Brazil;Estância Santa Maria - Jaguarão, Rio Grande do Sul;-32.4531;-53.0975;song;Embernagra_platensis07.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Embernagra_platensis07.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Embernagra_platensis07.png
7552;Embernagra;platensis;Pampa Finch;;Fernando Jacobs;Brazil;Estância Santa Maria - Jaguarão, Rio Grande do Sul;-32.4531;-53.0975;song;Embernagra_platensis.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/Embernagra_platensis.mp3;http://www.xeno-canto.org/sounds/uploaded/MHHPJBCUXC/ffts/tb/Embernagra_platensis.png
13002;Embernagra;platensis;Pampa Finch;olivascens;Nick Athanas;Argentina;Yavi, Jujuy;-22.1345;-65.4645;song;R09_0090-Great-Pampa-Finch.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/R09_0090-Great-Pampa-Finch.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/R09_0090-Great-Pampa-Finch.png
15432;Embernagra;platensis;Pampa Finch;;Juan Mazar Barnett;Argentina;Sierra Santa Victoria;-22.2501;-65.01;Song;Great Pampa-Finch (Embernagra platensis) 6.mp3;http://www.xeno-canto.org/sounds/uploaded/KVDIDMAVLE/Great Pampa-Finch (Embernagra platensis) 6.mp3;http://www.xeno-canto.org/sounds/uploaded/KVDIDMAVLE/ffts/tb/Great Pampa-Finch (Embernagra platensis) 6.png
