4870;Helmitheros;vermivorum;Worm-eating Warbler;;Darrell L. Peterson;United States;Roanoke, VA;37.272414;-79.93721;song;wewa.mp3;http://www.xeno-canto.org/sounds/uploaded/XARDMMZZCD/wewa.mp3;http://www.xeno-canto.org/sounds/uploaded/XARDMMZZCD/ffts/tb/wewa.png
7837;Helmitheros;vermivorum;Worm-eating Warbler;;Robin Carter;United States;Congaree NP, SC;33.8751;-80.7501;call;WormeatingWarbler20060829M03.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/WormeatingWarbler20060829M03.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/ffts/tb/WormeatingWarbler20060829M03.png
12995;Helmitheros;vermivorum;Worm-eating Warbler;;Chris Parrish;United States;Sewanee, Franklin County, Tennessee;35.2176;-85.922;Chip notes.;cp0096xc_Helmitheros_vermivorus_26apr2007_Sewanee.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/cp0096xc_Helmitheros_vermivorus_26apr2007_Sewanee.mp3;http://www.xeno-canto.org/sounds/uploaded/IHIOGGZVQA/ffts/tb/cp0096xc_Helmitheros_vermivorus_26apr2007_Sewanee.png
20982;Helmitheros;vermivorum;Worm-eating Warbler;;Paul Driver;United States;Glassboro, NJ;39.70289;-75.11184;call;WORM-EATING WARBLER calls Glassboro WMA 6707.mp3;http://www.xeno-canto.org/sounds/uploaded/FSCGENVPXK/WORM-EATING WARBLER calls Glassboro WMA 6707.mp3;http://www.xeno-canto.org/sounds/uploaded/FSCGENVPXK/ffts/tb/WORM-EATING WARBLER calls Glassboro WMA 6707.png
21000;Helmitheros;vermivorum;Worm-eating Warbler;;Jelmer Poelstra;United States;Lindsay-Parsons Preserve, West Danby, NY;42.7334;-76.8187;song;21000_080607_Worm-eatingWarbler(7June08,LindsayParsons).mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/21000_080607_Worm-eatingWarbler(7June08,LindsayParsons).mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/ffts/tb/21000_080607_Worm-eatingWarbler(7June08,LindsayParsons).png
32010;Helmitheros;vermivorum;Worm-eating Warbler;;Manuel Grosselet;Mexico;Minatitlan, refineria de SAnta Alejandrina, Veracruz;18.002407;-94.565334;call;Worm-eating Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/Worm-eating Warbler.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/Worm-eating Warbler.png
33469;Helmitheros;vermivorum;Worm-eating Warbler;;Andrew Spencer;United States;Steel Creek, Buffalo National River, Madison Co., Arkansas;36.0403;-93.3406;song;WEWA2009-4-26-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/WEWA2009-4-26-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/WEWA2009-4-26-1.png
33777;Helmitheros;vermivorum;Worm-eating Warbler;;Andrew Spencer;United States;Steel Creek, Buffalo National River, Madison Co., Arkansas;36.0403;-93.3406;call;WEWA2009-4-26calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/WEWA2009-4-26calls1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/WEWA2009-4-26calls1.png
41502;Helmitheros;vermivorum;Worm-eating Warbler;;Bill Hubick;United States;Dorchester County, Maryland;;;Calls;Worm-eating_Warbler_Chips_Dorchester_Co_MD_01.mp3;http://www.xeno-canto.org/sounds/uploaded/FMLBWLTITB/Worm-eating_Warbler_Chips_Dorchester_Co_MD_01.mp3;http://www.xeno-canto.org/sounds/uploaded/FMLBWLTITB/ffts/tb/Worm-eating_Warbler_Chips_Dorchester_Co_MD_01.png
54770;Helmitheros;vermivorum;Worm-eating Warbler;;Mike Nelson;United States;Schoolhouse Gap Trail, Great Smoky Mountains NP, Tennessee;35.6276;-83.7267;Song;WormEatingWarbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/WormEatingWarbler1.mp3;http://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/tb/WormEatingWarbler1.png
