5557;Icterus;gularis;Altamira Oriole;;Antonio Celis Murillo;Mexico;Yucatan;;;Llamado y Canto;Altamira Oriole-ACelisM.mp3;http://www.xeno-canto.org/sounds/uploaded/FINCMQOETV/Altamira Oriole-ACelisM.mp3;http://www.xeno-canto.org/sounds/uploaded/FINCMQOETV/ffts/tb/Altamira Oriole-ACelisM.png
7511;Icterus;gularis;Altamira Oriole;;Robin Carter;Mexico;Santa Engracia, Tamaulipas;24.0259;-99.2695;song;AltamiraOriole20051220s29.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/AltamiraOriole20051220s29.mp3;http://www.xeno-canto.org/sounds/uploaded/LNBKSKKLXO/ffts/tb/AltamiraOriole20051220s29.png
8856;Icterus;gularis;Altamira Oriole;;Allen T. Chartier;Mexico;Yucatan, Uxmal Ruins;20.3595;-89.7714;Songs, calls;Icterus_gularis_MX-Uxm_19901015_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Icterus_gularis_MX-Uxm_19901015_S1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Icterus_gularis_MX-Uxm_19901015_S1_ATC.png
8857;Icterus;gularis;Altamira Oriole;;Allen T. Chartier;Mexico;Yucatan, Uxmal Ruins;20.3595;-89.7714;Call;Icterus_gularis_MX-Uxm_19901016_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Icterus_gularis_MX-Uxm_19901016_C1_ATC.mp3;http://www.xeno-canto.org/sounds/uploaded/AZXTZTQJRO/ffts/tb/Icterus_gularis_MX-Uxm_19901016_C1_ATC.png
11188;Icterus;gularis;Altamira Oriole;;Doug Knapp;Nicaragua;Managua;12.1534;-86.2834;song;86b2_a.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/86b2_a.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/86b2_a.png
31458;Icterus;gularis;Altamira Oriole;;Daniel Lane;Mexico;Near Jardin Botanico S of Puerto Morelos, Quintana Roo;20.8042;-86.947;songs, calls;Icterus.gularis9911-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus.gularis9911-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus.gularis9911-1.png
31459;Icterus;gularis;Altamira Oriole;;Daniel Lane;Mexico;Near Jardin Botanico S of Puerto Morelos, Quintana Roo;20.8042;-86.947;calls;Icterus.gularisMaybe9911-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus.gularisMaybe9911-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus.gularisMaybe9911-1.png
31465;Icterus;gularis;Altamira Oriole;;Daniel Lane;Mexico;Near Jardin Botanico S of Puerto Morelos, Quintana Roo;20.8042;-86.947;calls;Icterus.gularis9911-2.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Icterus.gularis9911-2.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Icterus.gularis9911-2.png
76732;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Song;Icterus_gularis_song3_16jan11-f2c-MOG3.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Icterus_gularis_song3_16jan11-f2c-MOG3.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Icterus_gularis_song3_16jan11-f2c-MOG3.png
76733;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Song;Icterus_gularis_song2_11-01-16_f4c-MOG5.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Icterus_gularis_song2_11-01-16_f4c-MOG5.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Icterus_gularis_song2_11-01-16_f4c-MOG5.png
76734;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Song;Icterus_gularis_song1_16jan11-f2c-MOG5.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Icterus_gularis_song1_16jan11-f2c-MOG5.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Icterus_gularis_song1_16jan11-f2c-MOG5.png
76735;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Call;Icterus_gularis_calls-buzz_11-01-16-f1k-MOG4.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Icterus_gularis_calls-buzz_11-01-16-f1k-MOG4.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Icterus_gularis_calls-buzz_11-01-16-f1k-MOG4.png
76736;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Call;Icterus_gularis_calls7_16jan11-f1k-MOG4.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Icterus_gularis_calls7_16jan11-f1k-MOG4.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Icterus_gularis_calls7_16jan11-f1k-MOG4.png
76737;Icterus;gularis;Altamira Oriole;;Doug Knapp;Guatemala;Motagua Valley;14.9209;-90.1045;Call;Icterus_gularis_calls4_11-01-16-f2c-MOG5.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/Icterus_gularis_calls4_11-01-16-f2c-MOG5.mp3;http://www.xeno-canto.org/sounds/uploaded/BHRXQZEQFL/ffts/tb/Icterus_gularis_calls4_11-01-16-f2c-MOG5.png
82515;Icterus;gularis;Altamira Oriole;;manuel Grosselet;Mexico;Minatitlan, refineria de SAnta Alejandrina, Veracruz;18.002407;-94.565334;song;AltamiraOriole1.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/AltamiraOriole1.mp3;http://www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/tb/AltamiraOriole1.png
