41139;Leptocoma;sericea;Black Sunbird;;John Dumbacher;Papua New Guinea;Tubetube Island (Slade Island), Engineer Group, Milne Bay Province;-10.586709;151.196594;call;Black Sunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/HTVQRHPYDG/Black Sunbird.mp3;http://www.xeno-canto.org/sounds/uploaded/HTVQRHPYDG/ffts/tb/Black Sunbird.png
68821;Leptocoma;sericea;Black Sunbird;;Frank Lambert;Indonesia;Buru. Barat Mada area;-3.25;126.15;call;Nectarinia_aspasia_Buru98a-FRL_ID_31_2112-2153_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Nectarinia_aspasia_Buru98a-FRL_ID_31_2112-2153_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Nectarinia_aspasia_Buru98a-FRL_ID_31_2112-2153_1_C.png
68822;Leptocoma;sericea;Black Sunbird;;Frank Lambert;Indonesia;Siau Island;2.73;125.39;call;Nectarinia_aspasia_Siau-98-FRL_ID_19_1438-1483_1_c.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Nectarinia_aspasia_Siau-98-FRL_ID_19_1438-1483_1_c.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Nectarinia_aspasia_Siau-98-FRL_ID_19_1438-1483_1_c.png
68823;Leptocoma;sericea;Black Sunbird;;Frank Lambert;Indonesia;Siau Island;2.73;125.39;song;Nectarinia_aspasia_Siau-98-FRL_ID_5_214-271_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Nectarinia_aspasia_Siau-98-FRL_ID_5_214-271_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Nectarinia_aspasia_Siau-98-FRL_ID_5_214-271_1_S.png
68824;Leptocoma;sericea;Black Sunbird;;Frank Lambert;Indonesia;Talaud;4.4;126.8;call;Nectarinia_aspasia_Talaud-99.1b-FRL_ID_9_426-485_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Nectarinia_aspasia_Talaud-99.1b-FRL_ID_9_426-485_1_C.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Nectarinia_aspasia_Talaud-99.1b-FRL_ID_9_426-485_1_C.png
85611;Leptocoma;sericea;Black Sunbird;aspasia;Iain Woxvold;Papua New Guinea;Iniok, East Sepik Province;-4.2884;142.0206;Calls;Black_Sunbird_ESepik_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Black_Sunbird_ESepik_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Black_Sunbird_ESepik_IW1.png
85612;Leptocoma;sericea;Black Sunbird;aspasia;Iain Woxvold;Papua New Guinea;Iniok, East Sepik Province;-4.2884;142.0206;Calls;Black_Sunbird_ESepik_IW2.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Black_Sunbird_ESepik_IW2.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Black_Sunbird_ESepik_IW2.png
85613;Leptocoma;sericea;Black Sunbird;aspasia;Iain Woxvold;Papua New Guinea;Iniok, East Sepik Province;-4.2884;142.0206;Calls;Black_Sunbird_ESepik_IW3.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Black_Sunbird_ESepik_IW3.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Black_Sunbird_ESepik_IW3.png
85614;Leptocoma;sericea;Black Sunbird;aspasia;Iain Woxvold;Papua New Guinea;Wario-Wogamush Plains, East Sepik Province;-4.4053;142.2934;Song/Calls;Black_Sunbird_ESepik_IW4.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Black_Sunbird_ESepik_IW4.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Black_Sunbird_ESepik_IW4.png
87529;Leptocoma;sericea;Black Sunbird;;Iain Woxvold;Papua New Guinea;Baia River, Western Province;-5.9912;142.6706;Call;Black_Sunbird_WProv_BaiaR_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/Black_Sunbird_WProv_BaiaR_IW1.mp3;http://www.xeno-canto.org/sounds/uploaded/IASEWSJZCS/ffts/tb/Black_Sunbird_WProv_BaiaR_IW1.png
