24720;Loxia;pytyopsittacus;Parrot Crossbill;;Stuart Fisher;United Kingdom;Coylumbridge, Rothiemurchus National Park, Scotland;57.1748;-3.7834;flight calls;PaXbill.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/PaXbill.mp3;http://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/tb/PaXbill.png
25657;Loxia;pytyopsittacus;Parrot Crossbill;;Niels Krabbe;Denmark;Tisvilde;56.0501;12.0834;calls of a flock in flight and perched;Loxia pytyopsittacus flight and contact calls 1982 11 22 1A 52-90 Tisvilde.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Loxia pytyopsittacus flight and contact calls 1982 11 22 1A 52-90 Tisvilde.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Loxia pytyopsittacus flight and contact calls 1982 11 22 1A 52-90 Tisvilde.png
25735;Loxia;pytyopsittacus;Parrot Crossbill;;Niels Krabbe;Denmark;Lohals;55.1334;10.9001;flight calls of a flock;Loxia pytyopsittacus flight calls of flock of 10 1983 01 03 1A 572-578 Lohals.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Loxia pytyopsittacus flight calls of flock of 10 1983 01 03 1A 572-578 Lohals.mp3;http://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/tb/Loxia pytyopsittacus flight calls of flock of 10 1983 01 03 1A 572-578 Lohals.png
27703;Loxia;pytyopsittacus;Parrot Crossbill;;Patrik Åberg;Sweden;Tivedens National Park, Västergötland;58.709763;14.620056;Calls;StorrekorsnabbintermediartlocklateTiveden.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/StorrekorsnabbintermediartlocklateTiveden.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/StorrekorsnabbintermediartlocklateTiveden.png
78145;Loxia;pytyopsittacus;Parrot Crossbill;;Sindre Molværsmyr;Norway;Storholmskjølen;61.345;11.814;Call;Furukorsnebb.mp3;http://www.xeno-canto.org/sounds/uploaded/SUCMVQASGH/Furukorsnebb.mp3;http://www.xeno-canto.org/sounds/uploaded/SUCMVQASGH/ffts/tb/Furukorsnebb.png
84219;Loxia;pytyopsittacus;Parrot Crossbill;;Patrik Åberg;Sweden;Tivedens National Park, Västergötland;58.7098;14.6201;Call;Storre-korsnabb-fodosokande-flock-med-bade-adulta-och-juvenila-Ormsjon-Tiveden-2011-07-08-kl-09.43-03.43.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Storre-korsnabb-fodosokande-flock-med-bade-adulta-och-juvenila-Ormsjon-Tiveden-2011-07-08-kl-09.43-03.43.mp3;http://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/tb/Storre-korsnabb-fodosokande-flock-med-bade-adulta-och-juvenila-Ormsjon-Tiveden-2011-07-08-kl-09.43-03.43.png
84317;Loxia;pytyopsittacus;Parrot Crossbill;;Jelmer Poelstra;Sweden;Biotestjön, near Forsmarks kärnkraftverk, Uppland, Sweden;60.417;18.1978;flight call;091108_01b_Parrot(andTypeC)Crossbill_FlightFlock_Biotestsjon.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/091108_01b_Parrot(andTypeC)Crossbill_FlightFlock_Biotestsjon.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/ffts/tb/091108_01b_Parrot(andTypeC)Crossbill_FlightFlock_Biotestsjon.png
89066;Loxia;pytyopsittacus;Parrot Crossbill;;Jelmer Poelstra;Sweden;Björn, Uppland;60.637;17.98;call;111023_21_ParrotCrossbill_Bjorn_short_.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/111023_21_ParrotCrossbill_Bjorn_short_.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/ffts/tb/111023_21_ParrotCrossbill_Bjorn_short_.png
96824;Loxia;pytyopsittacus;Parrot Crossbill;;Jelmer Poelstra;Sweden;Östervåla area, Uppland, Sweden;60.2328;17.1609;flight call;120303_05_ParrotCrossbill_NofHorsskog.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/120303_05_ParrotCrossbill_NofHorsskog.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/ffts/tb/120303_05_ParrotCrossbill_NofHorsskog.png
96825;Loxia;pytyopsittacus;Parrot Crossbill;;Jelmer Poelstra;Sweden;Östervåla area, Uppland, Sweden;60.2328;17.1609;flight call;120303_06_ParrotCrossbill_Horsskog.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/120303_06_ParrotCrossbill_Horsskog.mp3;http://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/ffts/tb/120303_06_ParrotCrossbill_Horsskog.png
