5013;Nemosia;pileata;Hooded Tanager;pileata;Nick Athanas;Brazil;10km east of São João dos Patos, MA;-6.4895;-43.6162;song;015-013-Hooded-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/015-013-Hooded-Tanager.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/015-013-Hooded-Tanager.png
5854;Nemosia;pileata;Hooded Tanager;;Otte Ottema;Suriname;Belwaarde;5.8501;-54.8201;calls;nepi_ot.mp3;http://www.xeno-canto.org/sounds/uploaded/ASEUAUOXZA/nepi_ot.mp3;http://www.xeno-canto.org/sounds/uploaded/ASEUAUOXZA/ffts/tb/nepi_ot.png
8602;Nemosia;pileata;Hooded Tanager;;Glauco Alves pereira;Brazil;Mata das Cobras, Us. trapiche, Sirinhaém, Pernambuco;;;Calls;Nemosia pileata (Calls)_Mata das Cobras, Us. Trapiche, Sirinhaem, PE_25.11.06_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Nemosia pileata (Calls)_Mata das Cobras, Us. Trapiche, Sirinhaem, PE_25.11.06_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Nemosia pileata (Calls)_Mata das Cobras, Us. Trapiche, Sirinhaem, PE_25.11.06_Glauco.png
10202;Nemosia;pileata;Hooded Tanager;;Glauco Alves Pereira;Brazil;Mata de Sto Anônio, Us. Trapiche, Sirinhaém, Pernambuco;;;Song;Nemosia pileata_Mata de Sto Antonio_Us_Trapiche_Sirinhaem_28.01.07_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/Nemosia pileata_Mata de Sto Antonio_Us_Trapiche_Sirinhaem_28.01.07_Glauco.mp3;http://www.xeno-canto.org/sounds/uploaded/ZWEROGGYVP/ffts/tb/Nemosia pileata_Mata de Sto Antonio_Us_Trapiche_Sirinhaem_28.01.07_Glauco.png
15437;Nemosia;pileata;Hooded Tanager;;Juan Mazar Barnett;Brazil;Curaçá, Bahia;-9.01;-39.9001;Calls;Hooded Tanager (Nemosia pileata) 1.mp3;http://www.xeno-canto.org/sounds/uploaded/KVDIDMAVLE/Hooded Tanager (Nemosia pileata) 1.mp3;http://www.xeno-canto.org/sounds/uploaded/KVDIDMAVLE/ffts/tb/Hooded Tanager (Nemosia pileata) 1.png
26475;Nemosia;pileata;Hooded Tanager;;Eduardo Patrial;Brazil;Estância Patrial, Londrina, PR;;;song;Nemosia_pileata_(Hooded_Tanager)e.p.25.11.08.mp3;http://www.xeno-canto.org/sounds/uploaded/QEFRRVCRRP/Nemosia_pileata_(Hooded_Tanager)e.p.25.11.08.mp3;http://www.xeno-canto.org/sounds/uploaded/QEFRRVCRRP/ffts/tb/Nemosia_pileata_(Hooded_Tanager)e.p.25.11.08.png
28971;Nemosia;pileata;Hooded Tanager;;Hermann Redies;Brazil;Reserva Ecológica Mãe-da-Lua, Itapajé, Ceará;-3.8114;-39.4737;calls, song;0320_nemosia_pileata_A3_16_20090120_0655_hredies.mp3;http://www.xeno-canto.org/sounds/uploaded/VKWSROQKWH/0320_nemosia_pileata_A3_16_20090120_0655_hredies.mp3;http://www.xeno-canto.org/sounds/uploaded/VKWSROQKWH/ffts/tb/0320_nemosia_pileata_A3_16_20090120_0655_hredies.png
47702;Nemosia;pileata;Hooded Tanager;;Andrew Spencer;Peru;River Island opposite Iquitos, Loreto;-3.707;-73.2064;call;Hooded Tanager2009-12-30-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Hooded Tanager2009-12-30-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Hooded Tanager2009-12-30-1.png
47718;Nemosia;pileata;Hooded Tanager;;Andrew Spencer;Peru;Yarinacocha, Ucayali;-8.3323;-74.6534;calls;Hooded Tanager2009-12-7-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/Hooded Tanager2009-12-7-1.mp3;http://www.xeno-canto.org/sounds/uploaded/CDTGHVBGZP/ffts/tb/Hooded Tanager2009-12-7-1.png
49948;Nemosia;pileata;Hooded Tanager;;Rosendo Fraga;Argentina;?;;;call;TANAGER Hooded_02_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/TANAGER Hooded_02_Rosendo Fraga.mp3;http://www.xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/tb/TANAGER Hooded_02_Rosendo Fraga.png
