4263;Orchesticus;abeillei;Brown Tanager;;Bob Planqué;Brazil;Parque Estadual Intervales, SP;-24.2759;-48.4181;dawn song;Brown-Tanager_intervales.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Brown-Tanager_intervales.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/ffts/tb/Brown-Tanager_intervales.png
11823;Orchesticus;abeillei;Brown Tanager;;Leonardo Pimentel;Brazil;Reserva Ecológica de Guapiaçu, RJ;-22.5001;-42.7167;Song and Call;08-Orchesticus abeilei.mp3;http://www.xeno-canto.org/sounds/uploaded/JHBOHGJALL/08-Orchesticus abeilei.mp3;http://www.xeno-canto.org/sounds/uploaded/JHBOHGJALL/ffts/tb/08-Orchesticus abeilei.png
20379;Orchesticus;abeillei;Brown Tanager;;Bradley Davis;Brazil;Parque Estadual Intervales, SP;-24.2759;-48.4181;calls;BD_2008-04-08_Orchesticus_abeilleiXC.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/BD_2008-04-08_Orchesticus_abeilleiXC.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/ffts/tb/BD_2008-04-08_Orchesticus_abeilleiXC.png
20380;Orchesticus;abeillei;Brown Tanager;;Bradley Davis;Brazil;Parque Estadual Intervales, SP;-24.2759;-48.4181;calls;BD_2008-04-08_Orchesticus_abeillei2xc.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/BD_2008-04-08_Orchesticus_abeillei2xc.mp3;http://www.xeno-canto.org/sounds/uploaded/YNXJLOESBB/ffts/tb/BD_2008-04-08_Orchesticus_abeillei2xc.png
31795;Orchesticus;abeillei;Brown Tanager;;Glauco Kohler, Tiago Cadorin and Evair Legal;Brazil;Morro do Barão, Nova Trento, Santa Catarina;;;song;Orchesticus abeillei.mp3;http://www.xeno-canto.org/sounds/uploaded/JDNMEJOJEQ/Orchesticus abeillei.mp3;http://www.xeno-canto.org/sounds/uploaded/JDNMEJOJEQ/ffts/tb/Orchesticus abeillei.png
24397;Orchesticus;abeillei;Brown Tanager;;Glauco Kohler;Brazil;Parque Nacional da Serra do Itajaí, Santa Catarina;;;calls;Orchesticus abeillei Terceira Vargem 29 de abril de 2007.mp3;http://www.xeno-canto.org/sounds/uploaded/JDNMEJOJEQ/Orchesticus abeillei Terceira Vargem 29 de abril de 2007.mp3;http://www.xeno-canto.org/sounds/uploaded/JDNMEJOJEQ/ffts/tb/Orchesticus abeillei Terceira Vargem 29 de abril de 2007.png
28421;Orchesticus;abeillei;Brown Tanager;;Adrian Eisen Rupp;Brazil;Morro do Cachorro, Blumenau, Santa Catarina;-26.7776;-49.0401;song, call;Orchesticus abeillei_Morro do Cachorro_Blumenau_SC_13-I-2009.mp3;http://www.xeno-canto.org/sounds/uploaded/AOPMSCIDIA/Orchesticus abeillei_Morro do Cachorro_Blumenau_SC_13-I-2009.mp3;http://www.xeno-canto.org/sounds/uploaded/AOPMSCIDIA/ffts/tb/Orchesticus abeillei_Morro do Cachorro_Blumenau_SC_13-I-2009.png
39604;Orchesticus;abeillei;Brown Tanager;;Ricardo Gagliardi;Brazil;Serra dos Órgãos National Park - RJ;-22.448;-43.01;song;Orchesticus_abeillei_PNSO_090709_1135.mp3;http://www.xeno-canto.org/sounds/uploaded/YRDADNREOP/Orchesticus_abeillei_PNSO_090709_1135.mp3;http://www.xeno-canto.org/sounds/uploaded/YRDADNREOP/ffts/tb/Orchesticus_abeillei_PNSO_090709_1135.png
41890;Orchesticus;abeillei;Brown Tanager;;Adrian Eisen Rupp;Brazil;Agrião, Parque Nacional da Serra do Itajaí, Presidente Nereu, Santa Catarina;-27.1737;-49.2151;song;Orchesthicus abeillei_Agriao_PNSI_Presidente Nereu_SC_16-07-2009.mp3;http://www.xeno-canto.org/sounds/uploaded/AOPMSCIDIA/Orchesthicus abeillei_Agriao_PNSI_Presidente Nereu_SC_16-07-2009.mp3;http://www.xeno-canto.org/sounds/uploaded/AOPMSCIDIA/ffts/tb/Orchesthicus abeillei_Agriao_PNSI_Presidente Nereu_SC_16-07-2009.png
58290;Orchesticus;abeillei;Brown Tanager;;Bernabe Lopez-Lanus;Brazil;Parque Nacional Itatiaia (Hotel Simon), Rio de Janeiro;;;Song;Orchesticus abellei_Hotel Simon_PN Itatiaia_Rio de Janeiro_Brasil_24FEB2004 am aa_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Orchesticus abellei_Hotel Simon_PN Itatiaia_Rio de Janeiro_Brasil_24FEB2004 am aa_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Orchesticus abellei_Hotel Simon_PN Itatiaia_Rio de Janeiro_Brasil_24FEB2004 am aa_Bernabe Lopez-Lanus.png
58291;Orchesticus;abeillei;Brown Tanager;;Bernabe Lopez-Lanus;Brazil;Parque Nacional Itatiaia (Hotel Simon), Rio de Janeiro;;;Song;Orchesticus abellei_Hotel Simon_PN Itatiaia_Rio de Janeiro_Brasil_24FEB2004 am sss_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/Orchesticus abellei_Hotel Simon_PN Itatiaia_Rio de Janeiro_Brasil_24FEB2004 am sss_Bernabe Lopez-Lanus.mp3;http://www.xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/tb/Orchesticus abellei_Hotel Simon_PN Itatiaia_Rio de Janeiro_Brasil_24FEB2004 am sss_Bernabe Lopez-Lanus.png
70811;Orchesticus;abeillei;Brown Tanager;;Daniel Lane;Brazil;Estrada da Graciosa, Paraná state;-25.3334;-48.9001;song, flight calls;Orchesticus abeillei0607-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Orchesticus abeillei0607-1.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Orchesticus abeillei0607-1.png
70832;Orchesticus;abeillei;Brown Tanager;;Daniel Lane;Brazil;Hotel Simone, Itatiaia NP,  Rio de Janeiro state;-22.438;-44.607;call;Orchesticus abeillei0607-3.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Orchesticus abeillei0607-3.mp3;http://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/tb/Orchesticus abeillei0607-3.png
84586;Orchesticus;abeillei;Brown Tanager;;Jeremy Minns;Brazil;Boraceia Biological Station, SP state;-23.6334;-45.8667;Song and calls;ORCABE02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ORCABE02.mp3;http://www.xeno-canto.org/sounds/uploaded/DGVLLRYDXS/ffts/tb/ORCABE02.png
96809;Orchesticus;abeillei;Brown Tanager;;Evair Legal;Brazil;Salseiro, Vidal Ramos, Santa Catarina;-27.39726;-49.379082;song;Thraupidae._Orchesticus_abeillei_Salseiro_Vidal_Ramos_19.12.2011_ELW.mp3;http://www.xeno-canto.org/sounds/uploaded/SMJXFKLATM/Thraupidae._Orchesticus_abeillei_Salseiro_Vidal_Ramos_19.12.2011_ELW.mp3;http://www.xeno-canto.org/sounds/uploaded/SMJXFKLATM/ffts/tb/Thraupidae._Orchesticus_abeillei_Salseiro_Vidal_Ramos_19.12.2011_ELW.png
