4244;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Wouter Halfwerk;Ecuador;Jorupe reserve, east of Macará, Loja;-4.3667;-79.9001;song;SYG_P-chrysogaster_Jo.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/SYG_P-chrysogaster_Jo.mp3;http://www.xeno-canto.org/sounds/uploaded/DGHUWNTDBO/ffts/tb/SYG_P-chrysogaster_Jo.png
5182;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Willem-Pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;song;LaquiV18PheChr.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/LaquiV18PheChr.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/LaquiV18PheChr.png
5239;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Willem-Pier Vellinga;Peru;Quebrada Negrahuasi, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3498;-79.4848;call;LaquiNegra14PheChr.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/LaquiNegra14PheChr.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/LaquiNegra14PheChr.png
8003;Pheucticus;chrysogaster;Southern Yellow Grosbeak;chrysogaster;Nick Athanas;Ecuador;Parque Nacional Machalilla, Manabí;-1.4959;-80.7912;call;003-050-Southern-Yellow-Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/003-050-Southern-Yellow-Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/XRABICUARW/ffts/tb/003-050-Southern-Yellow-Grosbeak.png
8655;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Willem-Pier Vellinga;Peru;Quebrada Shambo, Zona Reservada Laquipampa, Ferrenafe, Lambayeque;-6.3014;-79.4623;alarm calls;Laquitm16PheChr948.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/Laquitm16PheChr948.mp3;http://www.xeno-canto.org/sounds/uploaded/AEFZWKWLMO/ffts/tb/Laquitm16PheChr948.png
14065;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Roger Ahlman;Peru;San Marcos, Cajamarca;-7.3273;-78.1956;call;Golden-bellied Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Golden-bellied Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Golden-bellied Grosbeak.png
16722;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Fernando Angulo;Peru;Quebrada Negrahuasi, Laquipampa;-6.3576;-79.4776;call;Golden-bellied Grosbeak_01_Laquipampa 2007 01_A.mp3;http://www.xeno-canto.org/sounds/uploaded/WVXVJOLONJ/Golden-bellied Grosbeak_01_Laquipampa 2007 01_A.mp3;http://www.xeno-canto.org/sounds/uploaded/WVXVJOLONJ/ffts/tb/Golden-bellied Grosbeak_01_Laquipampa 2007 01_A.png
37663;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Bob Planqué;Peru;Bosque de Pómac, north of Chiclayo, Lambayeque;-6.4867;-79.7525;calls;GoldenbelliedGrosbeak_calls_Pomac_010808_730.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/GoldenbelliedGrosbeak_calls_Pomac_010808_730.mp3;http://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/ffts/tb/GoldenbelliedGrosbeak_calls_Pomac_010808_730.png
69035;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Frank Lambert;Ecuador;near Sozoranga, Loja;-4.3;-79.8;song;Pheucticus_chrysogaster_1991b-FRL_EC_3_103-155_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Pheucticus_chrysogaster_1991b-FRL_EC_3_103-155_1_S.mp3;http://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/tb/Pheucticus_chrysogaster_1991b-FRL_EC_3_103-155_1_S.png
77085;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;C. Jonathan Schmitt;Peru;Bosque Cachil;-7.3948;-78.7778;calls;Pheucticus chrysogaster100725_08_nv_calls.mp3;http://www.xeno-canto.org/sounds/uploaded/KNKSMVYXNX/Pheucticus chrysogaster100725_08_nv_calls.mp3;http://www.xeno-canto.org/sounds/uploaded/KNKSMVYXNX/ffts/tb/Pheucticus chrysogaster100725_08_nv_calls.png
81333;Pheucticus;chrysogaster;Southern Yellow Grosbeak;;Leonardo Ordóñez-Delgado;Ecuador;Loja, El Cisne - Ambocas Road;-3.8162;-79.4964;Song;Pheucticus chrysogaster.mp3;http://www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/Pheucticus chrysogaster.mp3;http://www.xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/tb/Pheucticus chrysogaster.png
92860;Pheucticus;chrysogaster;Southern Yellow Grosbeak;chrysogaster;Roger Ahlman;Ecuador;Jardin Botanico, Quito;-0.1864;-78.4848;call;Yellow Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/Yellow Grosbeak.mp3;http://www.xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/tb/Yellow Grosbeak.png
